,CDLDOJI,CDLLONGLEGGEDDOJI,CORREL,HT_DCPHASE,HT_PHASOR,HT_TRENDMODE,MAXINDEX,MININDEX
CDLDOJI,1.0,0.9986402483082499,0.07624176155485628,0.06857866725101568,-0.020193867170336006,0.6806369454709668,0.6936141139834153,0.7003756180646833
CDLLONGLEGGEDDOJI,0.9986402483082499,1.0,0.07517281975275814,0.06991789476602094,-0.020361243485368503,0.6796080307370905,0.6925933846590913,0.6993840335729926
CORREL,0.07624176155485628,0.07517281975275814,1.0,-0.026569524594829853,-0.0013303981897478498,0.14822173092411578,0.08942337543563497,0.07561892130919615
HT_DCPHASE,0.06857866725101568,0.06991789476602094,-0.026569524594829853,1.0,0.22227419841344637,0.07472410392950407,0.1890514616999231,0.010869874065945332
HT_PHASOR,-0.020193867170336006,-0.020361243485368503,-0.0013303981897478498,0.22227419841344637,1.0,-0.017262867779867266,-0.003544793111809675,-0.037986980473927394
HT_TRENDMODE,0.6806369454709668,0.6796080307370905,0.14822173092411578,0.07472410392950407,-0.017262867779867266,1.0,0.8463445737177329,0.8588543253127542
MAXINDEX,0.6936141139834153,0.6925933846590913,0.08942337543563497,0.1890514616999231,-0.003544793111809675,0.8463445737177329,1.0,0.8406970619334023
MININDEX,0.7003756180646833,0.6993840335729926,0.07561892130919615,0.010869874065945332,-0.037986980473927394,0.8588543253127542,0.8406970619334023,1.0
