class,tf,rule,pit,n_names,years,exposure,cagr,cashmatch_bench_cagr,cashmatch_excess_cagr,cashmatch_ratio,win_rate,profit_factor,n_trades,sharpe,bench_sharpe,dsharpe,boot_t,dsr,alpha_vs_bh_ann,alpha_vs_bh_t,avg_breadth,bars,start,end,vol,bench_vol,dd,bench_dd,bench_cagr,wealth,bench_wealth,avg_win,avg_loss,boot_se,boot_p_gt0,boot_ci_lo,boot_ci_hi,fold_dsharpe,fold_sd,fold_t,n_folds_scored,fold_edges,cash_w,cashmatch_bench_dd,cashmatch_bench_wealth,cashmatch_beats,edge_wealth,edge_headroom,cost_drag_ann,roe_ann,const_weight,const_mar,mar,vs_constant,index_symbol,index_cagr,index_wealth,index_sharpe,index_vol,index_dd,idx_cash_w,idx_cashmatch_bench_cagr,idx_cashmatch_bench_dd,idx_cashmatch_excess_cagr,idx_cashmatch_ratio,idx_cashmatch_beats,volmatch_k,volmatch_wealth,volmatch_dd,volmatch_beats,alpha_ann,alpha_t,alpha_p,r2,factor_n,beta_Mkt-RF,beta_SMB,beta_HML,beta_RMW,beta_CMA,beta_Mom,beta_ST_Rev,t_Mkt-RF,t_SMB,t_HML,t_RMW,t_CMA,t_Mom,t_ST_Rev,alpha_vs_bh_p,beta_BH,r2_vs_bh,fill,skew,kurtosis,n_trials,sr_star_ann,psr,dsr_pass,n_trials_ledger,n_trials_measured,n_trials_source,trial_dispersion,dispersion_source,rand_sharpe,vs_random,t_bar_maxt,t_bar_bonferroni,n_candidates_maxt,edge_gate_dsharpe,edge_gate_t,edge_gate_vs_random,edge_gate_vs_constant,edge_gate_wealth,edge_gate_headroom,edge_passed,edge_n,edge_powered,edge_rankable,edge_verdict,boot_draws
commodities,1d,MININDEX~MIDPOINT_9|vote,False,5,23.982498700268923,0.6032713868837353,0.10104289847932924,0.0845953379202109,0.016447560559118335,1.434702207840157,0.34419263456090654,1.3419522706964246,2824,0.7128833292360751,0.6132587719151468,0.09962455732092834,0.7715381333466058,0.22629378739369915,0.0411933397053098,1.7702395048574515,4.075257256949778,6511,2003-01-03,2026-08-08,0.15110851836562847,0.22734101652253927,-0.2503487592235697,-0.5532213483825545,0.12011706589568139,100593.55000012011,151865.72400103282,0.043858580296730953,-0.01715310643812359,0.12912460579077173,0.778,-0.15111963151366842,0.34683927701260564,0.1086397909503186,0.7333984765271936,0.6788261517414724,21,-0.455288;-0.528205;0.692482;-0.855510;-0.518163;0.641012;0.009548;0.866239;1.719826;-0.079424;1.060863;-0.494310;-0.424714;-1.022750;0.477563;0.038123;-0.359580;1.224912;0.430416;-0.433405;0.291798,0.6646777632871502,-0.4011902157657903,70114.58506888103,True,30478.964931239087,2.0,0.011330206667065076,0.17299432418772853,0.6032713868837353,0.20966194448703807,0.4036085451060478,0.19394660061900976,XAU/USD,0.111340801956191,125756.9045976513,0.687347342000812,0.17623921161504782,-0.44745194969578783,0.8574057780948809,0.09682533287282769,-0.3938518964547971,0.00421756560650155,1.0964106628019832,True,1.0,100593.55000012011,-0.2503487592235697,False,0.09767293764735127,3.255425046940983,0.00113222777466504,0.002101122600286165,5907,-0.015225061377474992,0.050023006436368096,-0.010491502847851494,0.005396815019973805,-0.03777762648199156,0.0031900694361070726,-0.023138294875826377,-0.9324330968240061,1.875013588424121,-0.42483532052446965,0.17215759811330159,-1.022629563736652,0.2241345905697851,-1.1637577105252301,0.07668725093652684,0.4370755981506336,0.4353963662750757,open,-0.44957967948784877,12.471844653252731,1331,0.8681622030121974,0.9997179656080293,False,1048,283,run+ledger,0.2602741795027038,this run,0.40638088969427605,0.30650243954179907,3.577415734631839,3.7149398551154498,246,True,False,True,True,True,False,4,6,True,True,fail,2000.0
commodities,1d,MININDEX~MIDPOINT_9|and,False,5,23.982498700268923,0.44906312394409464,0.09035168082213474,0.07675693820534613,0.013594742616788613,1.3510725844114186,0.36359338061465724,1.420248446919628,2115,0.705805278035395,0.6132587719151468,0.09254650612024817,0.6704358493929748,0.21662549669791098,0.036921805798325595,1.800442932524672,4.075257256949778,6511,2003-01-03,2026-08-08,0.1356475648634101,0.22734101652253927,-0.250727982911776,-0.5532213483825545,0.12011706589568139,79605.09651410977,151865.72400103282,0.04372633485032012,-0.017589764829797027,0.1380393160718382,0.7385,-0.18055820207616977,0.3661486325095179,0.1872756514703459,0.7838379598507199,1.094875334754738,21,-0.686819;-0.235463;0.777512;-1.008478;-0.872362;0.859481;0.030676;0.435983;1.881406;-0.237355;0.865510;1.022585;0.003526;-0.489638;0.760372;0.233281;-0.260064;1.401022;-0.224165;-0.790056;0.465835,0.596670002352882,-0.36632464495990225,58919.92586674308,True,20685.170647366693,2.0,0.008556795348894652,0.21242670564465316,0.44906312394409464,0.20662580850144086,0.36035738720845895,0.1537315787070181,XAU/USD,0.111340801956191,125756.9045976513,0.687347342000812,0.17623921161504782,-0.44745194969578783,0.769678686260238,0.08764631330180994,-0.359175568503045,0.0027053675203247973,1.0613896417176085,True,1.0,79605.09651410977,-0.250727982911776,False,0.09102578810694775,3.2864853916126693,0.001014460356012492,0.0029654184590629518,5907,-0.026602717379935026,0.048021761717406394,-0.013700823714547814,0.009343814540341252,-0.04157245423050904,0.005146672871549922,-0.009573791366749889,-1.9843178972415734,2.0599296618893503,-0.6227428233429149,0.34063714609769924,-1.2304312312162295,0.41206836899355825,-0.5788076746170474,0.07179072691535637,0.4186915504274495,0.49503228318337045,open,-0.5173807890091507,16.52554700663144,1331,0.8681622030121974,0.999671206318747,False,1048,283,run+ledger,0.2602741795027038,this run,0.3874717973441152,0.31833348069127976,3.577415734631839,3.7149398551154498,246,True,False,True,True,True,False,4,6,True,True,fail,2000.0
commodities,1d,volmanaged,False,5,23.982498700268923,0.8595642896744627,0.10906611048576376,0.09584000688068617,0.013226103605077588,1.3333851416191476,0.5184568415209547,1.1293346578751107,14412,0.6820695672130223,0.6132587719151468,0.06881079529787548,1.0942946856013593,0.1827123778402157,0.015623091040230963,1.4253546677129423,4.075257256949778,6511,2003-01-03,2026-08-08,0.17404264066740305,0.22734101652253927,-0.5504080848116635,-0.5532213483825545,0.12011706589568139,119726.86828232478,151865.72400103282,0.01221950780570228,-0.01164953122029132,0.06288141229531893,0.8425,-0.044744728915374156,0.20079733450433462,0.030399597993835552,0.2522647579388829,0.5522311560330193,21,0.035331;0.037702;0.472085;-0.048142;-0.085550;0.097633;-0.101297;-0.233136;0.057852;-0.483351;-0.096159;-0.070966;-0.126175;0.139557;0.630140;-0.082068;0.207288;-0.166787;0.131451;0.437310;-0.114327,0.7655575897811997,-0.45036409678284095,89791.66224766748,True,29935.20603465729,10.0,0.0006965083518613581,0.12798308110382006,0.8595642896744627,0.2145777096268502,0.19815499353190566,-0.01642271609494453,XAU/USD,0.111340801956191,125756.9045976513,0.687347342000812,0.17623921161504782,-0.44745194969578783,0.9875364232084591,0.11009256146834612,-0.44290287342499157,-0.001026450982582361,0.9780585337908825,False,1.0,119726.86828232478,-0.5504080848116635,False,0.11065788355306866,2.983687684918332,0.00284797308311191,0.0010765702228974217,5907,-0.019797465356096958,0.04350234846340984,0.012832034517607043,0.01866760213694879,-0.0480155488184789,0.0013450118589315376,-0.0038612402655571892,-1.2168237676658868,1.6590036460104427,0.49935977919673435,0.5174271161903657,-1.169688520000195,0.08761253745968815,-0.1935511287413315,0.1540547050022507,0.7354405891007753,0.9163818857073702,open,-0.28708664392353356,5.270982101270328,1331,0.8681622030121974,0.9995455416795258,False,1048,283,run+ledger,0.2602741795027038,this run,0.5563077199519582,0.1257618472610641,3.577415734631839,3.7149398551154498,246,False,False,True,False,True,True,3,6,True,True,fail,2000.0
commodities,1d,MININDEX~SAREXT|vote,False,5,23.982498700268923,0.5969436338504072,0.09557492347218344,0.08316604412591055,0.012408879346272883,1.3141427055844328,0.44358974358974357,1.3790304547628616,1560,0.6900953385470525,0.6132587719151468,0.07683656663190574,0.515021453073182,0.19435367110653634,0.04174993557704245,1.8381706885287117,4.075257256949778,6511,2003-01-03,2026-08-08,0.14825895375569692,0.22734101652253927,-0.3032264921553808,-0.5532213483825545,0.12011706589568139,89272.19391670558,151865.72400103282,0.05293731796439546,-0.030603735951832918,0.1491910019930522,0.6865,-0.21784421548923058,0.36984435110579106,0.08996085210772792,0.6506485562914728,0.6336022886396954,21,-0.746938;-0.407721;1.000554;-0.242198;-0.791193;-0.443979;-0.086308;1.081995;0.795324;0.356570;1.433854;0.407393;-0.400006;-0.364334;0.889128;0.243046;-0.701703;0.033631;-0.291496;-0.204266;0.327825,0.6521434452238322,-0.39486872138604756,67931.88710582536,True,21340.306810880225,2.0,0.006228152809823429,0.1652213120943531,0.5969436338504072,0.20953791830566368,0.31519318379084266,0.10565526548517898,XAU/USD,0.111340801956191,125756.9045976513,0.687347342000812,0.17623921161504782,-0.44745194969578783,0.8412370459278549,0.09514754429612093,-0.3875584205062229,0.0004273791760625034,1.0094012136312325,True,1.0,89272.19391670558,-0.3032264921553808,False,0.09560537237448184,3.1805569192425867,0.0014699225974275087,0.002271385880913246,5907,-0.020440571099861957,0.04814104738752605,-0.02619723595521445,0.0429425185568979,-0.020245408920719115,-0.0007991207615386034,8.825999390169449e-05,-1.3856239137028268,1.9464095703284743,-1.0786932583846214,1.37636799960314,-0.5795978936096491,-0.06286796905096213,0.005509557149484825,0.06603725751507072,0.4167681447743264,0.4160831858395123,open,-0.40678510202843393,15.349685814760743,1331,0.8681622030121974,0.9995819035429838,False,1048,283,run+ledger,0.2602741795027038,this run,0.406778328307765,0.2833170102392875,3.577415734631839,3.7149398551154498,246,False,False,True,True,True,False,3,6,True,True,fail,2000.0
commodities,1d,MININDEX~SAREXT|and,False,5,23.982498700268923,0.4422336558644345,0.08791394143572684,0.07573027276938071,0.012183668666346126,1.310092735382243,0.45568561872909696,1.4699581346446124,1196,0.6976090479232449,0.6132587719151468,0.08435027600809808,0.6075097485115702,0.2057140751675095,0.04050418930646571,2.113460475530335,4.075257256949778,6511,2003-01-03,2026-08-08,0.13365166452919833,0.22734101652253927,-0.20387633122063664,-0.5532213483825545,0.12011706589568139,75444.66957632224,151865.72400103282,0.05288463566619325,-0.030118966436584748,0.13884596290802007,0.709,-0.18258136400692118,0.36863837369208535,0.15197388595987332,0.7301430475107752,0.9538293056983855,21,-0.547010;-0.842584;0.751897;-0.416155;-0.626999;-0.114174;0.381202;1.276725;1.253216;0.188278;0.727415;1.491004;-0.413294;-0.190726;1.235258;0.396663;0.075379;0.064683;-0.815755;-0.515592;-0.167978,0.5878906788293863,-0.3617221370653986,57587.27419728032,True,17857.39537904192,3.0,0.004835053599538665,0.20989961313149275,0.4422336558644345,0.20649108151424883,0.43121210250044006,0.22472102098619123,XAU/USD,0.111340801956191,125756.9045976513,0.687347342000812,0.17623921161504782,-0.44745194969578783,0.7583537358367686,0.08644796198158367,-0.35460438071935685,0.0014659794541431737,1.0328671233939075,True,1.0,75444.66957632224,-0.20387633122063664,False,0.09269923682375647,3.4173854071957384,0.0006322570460635113,0.0030077113636063357,5907,-0.02513111996323374,0.046745975475365846,-0.0251752028123738,0.03141568531042016,-0.024032458803532927,0.0041477832710682325,0.008299524319186307,-1.8413823464039163,2.131659226778381,-1.1012414330742644,1.109596989887292,-0.750180227722509,0.3606933845731314,0.569727904679464,0.03456137451705987,0.40391898039945623,0.48023456232651507,open,-0.5822362261133299,21.518140302634798,1331,0.8681622030121974,0.9996098374959229,False,1048,283,run+ledger,0.2602741795027038,this run,0.38413125662294445,0.3134777913003004,3.577415734631839,3.7149398551154498,246,True,False,True,True,True,True,5,6,True,True,fail,2000.0
commodities,1d,MININDEX~TRIMA_9|or,False,5,23.982498700268923,0.9978805099063124,0.12737872833713926,0.11579917224570813,0.011579556091431131,1.2809517125148688,0.40704845814977975,1.6855326518009028,1135,0.660722108454925,0.6132587719151468,0.04746333653977819,0.7136624250650982,0.15739130653080458,0.021623125630957033,1.4148481665984762,4.075257256949778,6511,2003-01-03,2026-08-08,0.21741500384416698,0.22734101652253927,-0.49103995136385603,-0.5532213483825545,0.12011706589568139,177322.88094908465,151865.72400103282,0.07237806594576612,-0.029477911810328043,0.06650670523314818,0.763,-0.07777216531266722,0.17753513695084294,0.06215853579093592,0.3234739604218488,0.8805846225708928,21,-0.267345;-0.115892;0.416086;-0.111064;0.232480;-0.225935;0.401768;0.466815;-0.026289;-0.079800;0.681786;-0.039864;-0.370652;-0.338444;-0.129882;-0.090449;-0.270001;-0.010989;0.613180;0.115744;0.454076,0.9563386632548633,-0.5352473546294867,138430.57409318726,True,38892.30685589739,3.0,0.004521074639543327,0.12766585920666462,0.9978805099063124,0.2170856644222726,0.2594060381102327,0.04232037368796013,XAU/USD,0.111340801956191,125756.9045976513,0.687347342000812,0.17623921161504782,-0.44745194969578783,1.0,0.111340801956191,-0.44745194969578783,0.016037926380948253,1.4100448919000859,True,1.0,177322.88094908465,-0.49103995136385603,True,0.13718880362121666,3.1352905594783413,0.0017168397196642982,0.004074085987826881,5907,-0.06882541920385887,0.06986097190428926,0.04521078137431866,-0.011199325742865258,-0.11932170631752084,0.006577648432113717,0.021294498738042084,-2.39252447240981,1.7392299613474842,1.0401712996314996,-0.19948369743632555,-1.8325695425268609,0.31463111952463557,0.4974684311054662,0.15711301821199242,0.8943218378627595,0.8785852257192764,open,-0.44549964083111765,9.093626946946152,1331,0.8681622030121974,0.9993171501495886,False,1048,283,run+ledger,0.2602741795027038,this run,0.6184561826648376,0.042265925790087366,3.577415734631839,3.7149398551154498,246,False,False,True,True,True,True,4,6,True,True,fail,2000.0
commodities,1d,MININDEX~MIDPOINT_9|or,False,5,23.982498700268923,0.9976859673373267,0.1257887738723189,0.11588682745497159,0.009901946417347318,1.2359905671225389,0.39391143911439114,1.7421698492564741,1084,0.6538332444020177,0.6132587719151468,0.04057447248687096,0.6295915868766339,0.14947768370662423,0.016290851265021063,1.0687542123043,4.075257256949778,6511,2003-01-03,2026-08-08,0.21761435613809715,0.22734101652253927,-0.45293864804418027,-0.5532213483825545,0.12011706589568139,171421.52912447767,151865.72400103282,0.08021231632518924,-0.029923546889268827,0.06444570310756294,0.739,-0.08104594543349593,0.16827384407081422,0.052682524476963595,0.3522995745896771,0.6852737659369389,21,-0.103098;-0.444035;0.296992;-0.119497;0.378253;-0.166197;0.419063;0.590081;0.164645;-0.016511;0.598483;-0.543204;-0.438490;-0.225792;-0.153328;-0.001467;-0.117002;-0.009679;0.705165;0.014181;0.277770,0.9572155498676685,-0.5356135690835541,138691.61600768313,True,32729.91311679453,3.0,0.004285903147594627,0.12609819618886253,0.9976859673373267,0.21708223775770874,0.27771702506616147,0.06063478730845273,XAU/USD,0.111340801956191,125756.9045976513,0.687347342000812,0.17623921161504782,-0.44745194969578783,1.0,0.111340801956191,-0.44745194969578783,0.0144479719161279,1.3631182293562847,True,1.0,171421.52912447767,-0.45293864804418027,True,0.13240756473507317,3.0248339242390903,0.002487696869907463,0.003546349802982185,5907,-0.06420949298410188,0.06577958958322729,0.042217500754592616,-0.023322079628521217,-0.11027547564357949,0.004016855508898007,0.016625014441757555,-2.216228667473444,1.6287174688524004,0.9698677492956317,-0.4150737381169953,-1.695768554924212,0.19218410023460114,0.38425202888021615,0.28518043626954936,0.8985861062128931,0.8847586853898233,open,-0.4494827786617527,9.056801531725663,1331,0.8681622030121974,0.9992341035334422,False,1048,283,run+ledger,0.2602741795027038,this run,0.6184561826648376,0.03537706173718014,3.577415734631839,3.7149398551154498,246,False,False,True,True,True,True,4,6,True,True,fail,2000.0
commodities,1d,MININDEX~SAREXT|or,False,5,23.982498700268923,0.9995699585317155,0.12342261909217345,0.11573127097345481,0.007691348118718633,1.1791069116989883,0.5013123359580053,1.6400022212837202,762,0.6448408282131277,0.6132587719151468,0.03158205629798094,0.4523270154669646,0.13946763961968928,0.014473869794741398,0.9261832157116109,4.075257256949778,6511,2003-01-03,2026-08-08,0.21726063711000848,0.22734101652253927,-0.4957115843454041,-0.5532213483825545,0.12011706589568139,162986.3968923754,151865.72400103282,0.0741759457102475,-0.045467222212750895,0.06982129127391799,0.6715,-0.10350056838025398,0.1697475065796025,0.06301791080814724,0.37213372619681284,0.7760230424897827,21,-0.408925;0.069947;0.497296;-0.071409;-0.000254;-0.331536;0.132257;0.292513;-0.062449;0.016122;0.958793;-0.093509;-0.274034;0.090891;-0.164201;0.030286;-0.565006;-0.078924;0.578476;-0.008489;0.715534,0.9556596536484151,-0.534963631751602,138228.6841636154,True,24757.71272875999,3.0,0.0029974635906416434,0.12347886996801583,0.9995699585317155,0.21711540906277987,0.24898070367904596,0.03186529461626608,XAU/USD,0.111340801956191,125756.9045976513,0.687347342000812,0.17623921161504782,-0.44745194969578783,1.0,0.111340801956191,-0.44745194969578783,0.012081817135982442,1.296043325921839,True,1.0,162986.3968923754,-0.4957115843454041,True,0.129958624355308,2.9546262920135673,0.0031304799674320982,0.004048534079901467,5907,-0.07110880217686726,0.06533519492519137,0.038531116556086445,-0.008044294751380278,-0.11156071175049607,0.0011812992634063343,0.021827773598223986,-2.5124748407713713,1.6114359671251208,0.9060989583287178,-0.14529266942398175,-1.7203472536798492,0.05858072150300976,0.5040880322004816,0.35435077357767186,0.8936956001109653,0.8789152498626642,open,-0.4355592027707483,9.085350760940354,1331,0.8681622030121974,0.9991150134096045,False,1048,283,run+ledger,0.2602741795027038,this run,0.6184561826648376,0.02638464554829012,3.577415734631839,3.7149398551154498,246,False,False,True,True,True,True,4,6,True,True,fail,2000.0
commodities,1d,atr_chandelier,False,5,23.982498700268923,0.6309015512210107,0.09509648346881105,0.08979027863844102,0.0053062048303700315,1.123543776978357,0.45058626465661644,1.6568519896864196,597,0.6433478335479841,0.6132587719151468,0.03008906163283731,0.25830745307156716,0.13830393776556021,0.018661070516656733,0.947127107574721,4.075257256949778,6511,2003-01-03,2026-08-08,0.16158655327982283,0.22734101652253927,-0.3981521089494914,-0.5532213483825545,0.12011706589568139,88341.90436064126,151865.72400103282,0.0935032167537969,-0.04628297581604639,0.11648545667205652,0.566,-0.20157914996664236,0.2631782287363564,-0.1015736029377825,0.48496730722599546,-0.9597940255689609,21,-0.451939;-0.329975;1.086056;-0.198899;-0.097230;-0.079864;0.118590;-0.105851;0.740531;0.037747;-0.246752;-0.829833;0.395283;-0.608573;0.627371;-0.075601;-0.491145;-0.745634;-0.318083;-0.462962;-0.096280,0.7107672682716392,-0.42403119572488734,78627.91479138157,True,9713.989569259693,2.0,0.0024387228118982794,0.1548706519535692,0.6309015512210107,0.2102025425055197,0.23884460569534435,0.02864206318982465,XAU/USD,0.111340801956191,125756.9045976513,0.687347342000812,0.17623921161504782,-0.44745194969578783,0.9168592607686523,0.10293938797960078,-0.4166148500190322,-0.007842904510789728,0.842697977003395,False,1.0,88341.90436064126,-0.3981521089494914,False,0.09097631197800007,2.7117500300259274,0.006692904377257669,0.0015345435871754187,5907,-0.015448114508846277,0.049438322410396376,-0.01634496076904776,0.030026261885839022,-0.016708591852968663,-0.004941096642041135,-0.014397422314644739,-1.0558415225490936,2.0658575568841773,-0.7506690339032912,0.8781724943528482,-0.45664351018193494,-0.31617848540332,-0.9379541101352806,0.34357401313134184,0.5596220328898062,0.6233948377035085,open,-0.513957787166143,10.953718369774554,1331,0.8681622030121974,0.99907536861439,False,1048,283,run+ledger,0.2602741795027038,this run,0.40464547205916285,0.23870236148882124,3.577415734631839,3.7149398551154498,246,False,False,True,True,True,False,3,6,True,True,fail,2000.0
commodities,1d,dual_thrust,False,5,23.982498700268923,0.1005042748169764,0.03649017552071454,0.03320170412476631,0.0032884713959482337,1.079189407714765,0.5221799746514575,1.3530997847128368,2367,0.6698756896791143,0.6132587719151468,0.05661691776396749,0.2686736150334698,0.1463154348039486,0.024378046360486606,2.2752131495617403,4.075257256949778,6511,2003-01-03,2026-08-08,0.055804924909792095,0.22734101652253927,-0.17706041327609345,-0.5532213483825545,0.12011706589568139,23620.66648636906,151865.72400103282,0.013169936712876243,-0.010636769028502323,0.21072749461056858,0.578,-0.3668505899812645,0.4595029798692626,-0.13422496611100018,1.2723899917790449,-0.48341787606842035,21,-1.006213;-1.241165;0.955034;-0.826617;-0.328367;0.193497;-1.994718;0.061393;0.086878;2.855845;-0.824215;-1.798946;0.365615;-0.933091;1.190632;0.573685;0.504511;1.611036;-1.419500;-1.910376;1.066358,0.2454679131966467,-0.1638530121793651,21887.41505199439,True,1733.2514343746698,1.0,0.009860523832629173,0.4284693434454403,0.1005042748169764,0.19984870096478044,0.20608884191304105,0.006240140948260614,XAU/USD,0.111340801956191,125756.9045976513,0.687347342000812,0.17623921161504782,-0.44745194969578783,0.3166430693737131,0.03748289150475559,-0.15948481971509765,-0.0009927159840410482,0.9773028937173452,False,1.0,23620.66648636906,-0.17706041327609345,False,0.03480966414858988,2.9672306631059397,0.0030049542971601895,0.0013355196239208666,5907,0.003932301175174823,0.00849496775543401,0.003994010655356582,3.149357646977172e-05,-0.019766084922632116,0.0006794205671655762,0.002996288754554222,0.670586722748833,0.8509545137414162,0.42850329321968456,0.0021968598222870603,-1.4546457009372589,0.11192858355201332,0.4142187310549748,0.02289314642807838,0.08072659421359243,0.11097394772254998,open,5.1325288539407,146.10065386826795,1331,0.8681622030121974,0.9998111807640983,False,1048,283,run+ledger,0.2602741795027038,this run,0.29349467406491425,0.3763810156142,3.577415734631839,3.7149398551154498,246,False,False,True,True,True,False,3,6,True,True,fail,2000.0
