,ADD,CEIL,FLOOR,HT_TRENDMODE,MAXINDEX,MULT,TSF_9,WILLR
ADD,1.0,0.8622414480815938,0.8624543265251642,-0.03165467355057876,0.036816382975606195,0.9979469331523342,-0.2857540572480135,0.7425471169697087
CEIL,0.8622414480815938,1.0,0.9998505823015174,-0.024786981218122787,0.03537650990966047,0.864118558084219,-0.21587167227261556,0.7830229884230631
FLOOR,0.8624543265251642,0.9998505823015174,1.0,-0.0248846092533329,0.03546668020632429,0.8643322787569782,-0.21577760245789274,0.7830896751632161
HT_TRENDMODE,-0.03165467355057876,-0.024786981218122787,-0.0248846092533329,1.0,0.7356425167196761,-0.03264868754606792,0.00371859306721081,-0.0020510300753351445
MAXINDEX,0.036816382975606195,0.03537650990966047,0.03546668020632429,0.7356425167196761,1.0,0.035460717127001426,-0.0068132430906147085,0.05600397687662105
MULT,0.9979469331523342,0.864118558084219,0.8643322787569782,-0.03264868754606792,0.035460717127001426,1.0,-0.2861814137668206,0.7425695152159003
TSF_9,-0.2857540572480135,-0.21587167227261556,-0.21577760245789274,0.00371859306721081,-0.0068132430906147085,-0.2861814137668206,1.0,-0.17773713826734003
WILLR,0.7425471169697087,0.7830229884230631,0.7830896751632161,-0.0020510300753351445,0.05600397687662105,0.7425695152159003,-0.17773713826734003,1.0
