class,tf,rule,symbol,year,bench_ret,excess
us_stocks,1d,ibs,A,2003,0.5276907502012476,-0.6290206887221639
us_stocks,1d,ibs,A,2004,-0.175786658103408,0.5652037143206092
us_stocks,1d,ibs,A,2005,0.3813277394709962,-0.4363012171859205
us_stocks,1d,ibs,A,2006,0.1073495220127958,0.21934998173087483
us_stocks,1d,ibs,A,2007,0.054232790449695534,0.012403380420952237
us_stocks,1d,ibs,A,2008,-0.574578035786651,0.293305467242362
us_stocks,1d,ibs,A,2009,0.9878437735157375,-0.8457723007125544
us_stocks,1d,ibs,A,2010,0.33344003802409894,-0.10106473395592408
us_stocks,1d,ibs,A,2011,-0.15689090226475555,0.2830002330039525
us_stocks,1d,ibs,A,2012,0.18035032759465075,0.19649347701142017
us_stocks,1d,ibs,A,2013,0.40718453290847556,-0.23247846299967834
us_stocks,1d,ibs,A,2014,0.2923418658621637,-0.18952049309595753
us_stocks,1d,ibs,A,2015,0.03461445322800216,0.04681935147918659
us_stocks,1d,ibs,A,2016,0.10159430519095691,0.17743056394512924
us_stocks,1d,ibs,A,2017,0.4831491311630405,-0.12601560418338953
us_stocks,1d,ibs,A,2018,0.016632085795577733,-0.15882041765602994
us_stocks,1d,ibs,A,2019,0.27537285904318787,-0.08963847308996131
us_stocks,1d,ibs,A,2020,0.3978893966865462,-0.07775992131487408
us_stocks,1d,ibs,A,2021,0.355084891189664,-0.4478147441756415
us_stocks,1d,ibs,A,2022,-0.055238786781826366,0.46202669012766584
us_stocks,1d,ibs,A,2023,-0.06422755560823912,0.10655867014834575
us_stocks,1d,ibs,A,2024,-0.027040780944837528,0.09078483999109699
us_stocks,1d,ibs,A,2025,0.019099638725329937,0.07755603688315182
us_stocks,1d,ibs,A,2026,0.044954405786979734,-0.05354201956094706
us_stocks,1d,ibs,AA,2003,0.6909160620303101,-0.15406985506377024
us_stocks,1d,ibs,AA,2004,-0.14277684749428987,0.5027439284424537
us_stocks,1d,ibs,AA,2005,-0.01940568201045345,-0.18083249023653336
us_stocks,1d,ibs,AA,2006,0.06414315745548471,0.17005254186268748
us_stocks,1d,ibs,AA,2007,0.26286657552041337,-0.02210299722726483
us_stocks,1d,ibs,AA,2008,-0.6738970141562595,0.17599017844860826
us_stocks,1d,ibs,AA,2009,0.5131964032618086,-0.4416420496264466
us_stocks,1d,ibs,AA,2010,-0.027672793178216915,0.1215478905979771
us_stocks,1d,ibs,AA,2011,-0.4288048359124754,0.37661388193496037
us_stocks,1d,ibs,AA,2012,0.029398540930996475,-0.07225466267719194
us_stocks,1d,ibs,AA,2013,0.25731138719701874,-0.03882314835495282
us_stocks,1d,ibs,AA,2014,0.5102927705180622,-0.43716419666577844
us_stocks,1d,ibs,AA,2015,-0.3663538069884419,-0.09050737942507059
us_stocks,1d,ibs,AA,2016,-0.20802377468498556,0.042170519905466386
us_stocks,1d,ibs,AAL,2006,0.4499192264010379,0.0584912353020246
us_stocks,1d,ibs,AAL,2007,-0.7268337097359643,0.1256006432801
us_stocks,1d,ibs,AAL,2008,-0.4745070076258716,0.017195183654860946
us_stocks,1d,ibs,AAL,2009,-0.3738682560132155,0.37919307479907205
us_stocks,1d,ibs,AAL,2010,1.0681811209620489,0.3951763554961718
us_stocks,1d,ibs,AAL,2011,-0.4935067824642331,0.23377608919649273
us_stocks,1d,ibs,AAL,2012,1.6627235149902493,-1.6187836768321777
us_stocks,1d,ibs,AAL,2013,0.8703707049813065,-0.19313087812306762
us_stocks,1d,ibs,AAL,2014,1.1346618542645226,-0.8130537534544349
us_stocks,1d,ibs,AAL,2015,-0.20355878216232992,-0.13634738433812932
us_stocks,1d,ibs,AAL,2016,0.11477459591507877,-0.20874989457281568
us_stocks,1d,ibs,AAL,2017,0.12396013237791492,0.3074603383878358
us_stocks,1d,ibs,AAL,2018,-0.3769051792640147,0.33056099432598474
us_stocks,1d,ibs,AAL,2019,-0.09575423827770768,0.11127575806977696
us_stocks,1d,ibs,AAL,2020,-0.44811492927857044,2.5106568280132517
us_stocks,1d,ibs,AAL,2021,0.1388712745719709,-0.013859900032458627
us_stocks,1d,ibs,AAL,2022,-0.29175946547884124,0.2958834598716297
us_stocks,1d,ibs,AAL,2023,0.08018867924528617,-0.34587288692642504
us_stocks,1d,ibs,AAL,2024,-0.20087336244541465,0.2568142043923991
us_stocks,1d,ibs,AAP,2003,0.6332261400114125,-0.5159848171224091
us_stocks,1d,ibs,AAP,2004,0.07321861606136082,0.05913106192836404
us_stocks,1d,ibs,AAP,2005,0.49244503013284735,-0.28165531509194297
us_stocks,1d,ibs,AAP,2006,-0.1775532215423965,0.1379302812430947
us_stocks,1d,ibs,AAP,2007,0.0750808461850545,0.04544926737432453
us_stocks,1d,ibs,AAP,2008,-0.10826418667854598,0.03252764713077283
us_stocks,1d,ibs,AAP,2009,0.21008143616228936,0.35309875346770037
us_stocks,1d,ibs,AAP,2010,0.6414649377068184,-0.04510890634588671
us_stocks,1d,ibs,AAP,2011,0.05659688400026597,-0.17794548322628567
us_stocks,1d,ibs,AAP,2012,0.04245122984876093,-0.26787440831631093
us_stocks,1d,ibs,AAP,2013,0.5340279372368906,-0.33435949694621825
us_stocks,1d,ibs,AAP,2014,0.4416619994020923,-0.19464882971611086
us_stocks,1d,ibs,AAP,2015,-0.053625581699018765,0.013669800922384345
us_stocks,1d,ibs,AAP,2016,0.12536008607476123,0.07968133747201489
us_stocks,1d,ibs,AAP,2017,-0.40928378136025534,0.40538135390250063
us_stocks,1d,ibs,AAP,2018,0.5821673573013137,-0.022482529792502648
us_stocks,1d,ibs,AAP,2019,0.01869977665534983,0.0998417427405045
us_stocks,1d,ibs,AAP,2020,-0.011770280777010145,0.3468372779691251
us_stocks,1d,ibs,AAP,2021,0.546661778504367,-0.15596122438954585
us_stocks,1d,ibs,AAP,2022,-0.3652010957273638,0.10519590350625385
us_stocks,1d,ibs,AAP,2023,-0.5572237793418355,0.24134120030235484
us_stocks,1d,ibs,AAPL,2003,0.4439167294992763,-0.004899395831645004
us_stocks,1d,ibs,AAPL,2004,2.0135715423144376,-0.9289540756943224
us_stocks,1d,ibs,AAPL,2005,1.2326072217860955,-1.0243766567158856
us_stocks,1d,ibs,AAPL,2006,0.18013638172246926,0.1619540424489736
us_stocks,1d,ibs,AAPL,2007,1.3347491454746954,-1.0981737704911345
us_stocks,1d,ibs,AAPL,2008,-0.5691139904457437,0.8213301497992599
us_stocks,1d,ibs,AAPL,2009,1.4690144805827656,-1.0064723819180506
us_stocks,1d,ibs,AAPL,2010,0.5306781250341306,-0.3788156880993756
us_stocks,1d,ibs,AAPL,2011,0.255580721182072,-0.11013938766053522
us_stocks,1d,ibs,AAPL,2012,0.3139994885512596,-0.47496098471735393
us_stocks,1d,ibs,AAPL,2013,0.07347066375546962,-0.0032834283071536685
us_stocks,1d,ibs,AAPL,2014,0.40607115066739663,-0.3556242876356861
us_stocks,1d,ibs,AAPL,2015,-0.03020618138935771,0.06914166785776299
us_stocks,1d,ibs,AAPL,2016,0.1246682491659814,-0.09969856112824971
us_stocks,1d,ibs,AAPL,2017,0.48454862948460065,-0.1853219451608934
us_stocks,1d,ibs,AAPL,2018,-0.053954302023255685,0.10089544470428635
us_stocks,1d,ibs,AAPL,2019,0.8894719191946185,-0.445286005905809
us_stocks,1d,ibs,AAPL,2020,0.8230324120232766,0.6423702242598706
us_stocks,1d,ibs,AAPL,2021,0.34646913917364675,-0.10969907182287741
us_stocks,1d,ibs,AAPL,2022,-0.2640481265026068,0.41311896235422296
us_stocks,1d,ibs,AAPL,2023,0.4900688593737519,-0.2797403257225892
us_stocks,1d,ibs,AAPL,2024,0.30704461416824635,-0.2160308017321042
us_stocks,1d,ibs,AAPL,2025,0.09067445683463404,0.15773452947529476
us_stocks,1d,ibs,AAPL,2026,0.15135932339387703,-0.27002636100297395
us_stocks,1d,ibs,ABBV,2014,0.2992811839189822,-0.13069399238874202
us_stocks,1d,ibs,ABBV,2015,-0.0652515548629522,0.06876786999541995
us_stocks,1d,ibs,ABBV,2016,0.09752695300796788,0.34194495764983834
us_stocks,1d,ibs,ABBV,2017,0.600230145885553,-0.3802671452682105
us_stocks,1d,ibs,ABBV,2018,-0.00993137995939175,-0.032292891082855824
us_stocks,1d,ibs,ABBV,2019,0.013920653145295336,0.4090453701638337
us_stocks,1d,ibs,ABBV,2020,0.2762640692461751,-0.04453608870798598
us_stocks,1d,ibs,ABBV,2021,0.3235414799631531,-0.19221124217015495
us_stocks,1d,ibs,ABBV,2022,0.23962594284085204,-0.14892484661883487
us_stocks,1d,ibs,ABBV,2023,-0.0027375735369928877,0.23849252361542683
us_stocks,1d,ibs,ABBV,2024,0.18820909334311753,-0.32367743381663594
us_stocks,1d,ibs,ABBV,2025,0.32839408637007894,-0.14918026983006571
us_stocks,1d,ibs,ABBV,2026,0.09234814313805506,-0.15192785849685198
us_stocks,1d,ibs,ABNB,2022,-0.48645567382691635,0.025348646211816095
us_stocks,1d,ibs,ABNB,2023,0.5922807017543874,-0.6852543952673944
us_stocks,1d,ibs,ABNB,2024,-0.034743646246510274,0.13108914982345343
us_stocks,1d,ibs,ABNB,2025,0.032798112776805555,0.33510887908134523
us_stocks,1d,ibs,ABNB,2026,0.1173003241968742,-0.05198430116954733
us_stocks,1d,ibs,ABT,2003,0.19106797734562075,0.19375283080737993
us_stocks,1d,ibs,ABT,2004,0.09646061953270002,-0.1094580206608895
us_stocks,1d,ibs,ABT,2005,-0.13494843559325254,0.18886825958110143
us_stocks,1d,ibs,ABT,2006,0.25141257381384374,0.010584356765970027
us_stocks,1d,ibs,ABT,2007,0.18026710355604592,-0.08336248640420818
us_stocks,1d,ibs,ABT,2008,-0.025015407629698228,0.26945978870582254
us_stocks,1d,ibs,ABT,2009,0.045502591916108726,0.21790670157975112
us_stocks,1d,ibs,ABT,2010,-0.0829407936381551,0.156689822777362
us_stocks,1d,ibs,ABT,2011,0.21735179665256332,-0.12309360916736045
us_stocks,1d,ibs,ABT,2012,0.20264101624010378,-0.15660370244512478
us_stocks,1d,ibs,ABT,2013,0.23948480804907812,-0.19855777279700426
us_stocks,1d,ibs,ABT,2014,0.20069022989486407,-0.11512746275716812
us_stocks,1d,ibs,ABT,2015,0.018605522030668453,-0.012865298825553984
us_stocks,1d,ibs,ABT,2016,-0.1233410142408623,0.09231416240674006
us_stocks,1d,ibs,ABT,2017,0.5200812304711506,-0.3881791853894012
us_stocks,1d,ibs,ABT,2018,0.29051194886730514,-0.21679653824608702
us_stocks,1d,ibs,ABT,2019,0.22071926412066545,-0.06470791314045243
us_stocks,1d,ibs,ABT,2020,0.28032855601795537,0.03815853392238755
us_stocks,1d,ibs,ABT,2021,0.3052066521183432,-0.13782781257094068
us_stocks,1d,ibs,ABT,2022,-0.206874179099647,0.33350006782251584
us_stocks,1d,ibs,ABT,2023,0.022505874508966572,-0.11063800834407744
us_stocks,1d,ibs,ABT,2024,0.048024063690645935,-0.003431319237357844
us_stocks,1d,ibs,ABT,2025,0.12857216866680798,-0.043421715246198866
us_stocks,1d,ibs,ABT,2026,-0.12240570025298492,0.2380590928634544
us_stocks,1d,ibs,ACE,2007,0.7904645171377935,-0.5974261804974523
us_stocks,1d,ibs,ACE,2008,-0.8619659440859869,0.0070292326766638324
us_stocks,1d,ibs,ACE,2009,1.5446843848988778,-0.573169250490621
us_stocks,1d,ibs,ACE,2010,0.3956091123521053,0.03337136391939488
us_stocks,1d,ibs,ACE,2011,-0.4614510122226799,-0.03416440250215347
us_stocks,1d,ibs,ACE,2012,-0.15178265901580057,0.08100459625301715
us_stocks,1d,ibs,ACE,2013,-0.43090173964884193,-0.12348041233530999
us_stocks,1d,ibs,ACE,2014,1.8495006722552678,-0.8954850870652937
us_stocks,1d,ibs,ACE,2015,0.2316207384376887,-0.24448815279478842
us_stocks,1d,ibs,ACGL,2003,0.2849772474774359,-0.12810971042459873
us_stocks,1d,ibs,ACGL,2004,-0.02910128861095318,0.04048327346937164
us_stocks,1d,ibs,ACGL,2005,0.41472782163129884,-0.363935447837785
us_stocks,1d,ibs,ACGL,2006,0.23488560189424645,-0.1493542116914124
us_stocks,1d,ibs,ACGL,2007,0.040527216916970144,0.04390439472134933
us_stocks,1d,ibs,ACGL,2008,-0.0035539712407502977,0.13044587164732058
us_stocks,1d,ibs,ACGL,2009,0.020684666919887906,0.46160228022948346
us_stocks,1d,ibs,ACGL,2010,0.23060843953016064,-0.07185473678099608
us_stocks,1d,ibs,ACGL,2011,0.268483846338617,0.029352604969388185
us_stocks,1d,ibs,ACGL,2012,0.18237965977325388,-0.03183171709245092
us_stocks,1d,ibs,ACGL,2013,0.3559750532117605,-0.045920494722467176
us_stocks,1d,ibs,ACGL,2014,-0.009884294801490001,0.0020049827025903078
us_stocks,1d,ibs,ACGL,2015,0.18020255639850702,-0.011228691602678254
us_stocks,1d,ibs,ACGL,2016,0.23713260012038795,-0.014755230741430703
us_stocks,1d,ibs,ACGL,2017,0.05191794467031663,-0.07560082607525809
us_stocks,1d,ibs,ACGL,2018,-0.11688889428252947,0.0015506960812520232
us_stocks,1d,ibs,ACGL,2019,0.6051647839506298,-0.380435435148349
us_stocks,1d,ibs,ACGL,2020,-0.15901141316843892,0.47466280742456657
us_stocks,1d,ibs,ACGL,2021,0.23232611439773532,-0.11429576380925188
us_stocks,1d,ibs,ACGL,2022,0.41237359153109443,0.2724004656741843
us_stocks,1d,ibs,ACGL,2023,0.1830198980008757,-0.23220419989378116
us_stocks,1d,ibs,ACGL,2024,0.30449073938704685,-0.28051703004495643
us_stocks,1d,ibs,ACGL,2025,0.03865728207904873,0.15113153921508604
us_stocks,1d,ibs,ACGL,2026,0.03513344453711387,-0.023418733203572684
us_stocks,1d,ibs,ACN,2003,0.4142933142661973,0.25182949790788123
us_stocks,1d,ibs,ACN,2004,0.025836092332494287,0.20289371902993025
us_stocks,1d,ibs,ACN,2005,0.0705382258622349,0.1635804723564609
us_stocks,1d,ibs,ACN,2006,0.28058678896547007,-0.06326030630114698
us_stocks,1d,ibs,ACN,2007,-0.023353336423191484,0.19811850251429486
us_stocks,1d,ibs,ACN,2008,-0.08849932803985638,0.35014252017506686
us_stocks,1d,ibs,ACN,2009,0.26803766574501453,-0.08737999224638604
us_stocks,1d,ibs,ACN,2010,0.17060120516444566,-0.031185755272560067
us_stocks,1d,ibs,ACN,2011,0.09993731438378028,0.002343240629791188
us_stocks,1d,ibs,ACN,2012,0.277176542668379,-0.06167715371998095
us_stocks,1d,ibs,ACN,2013,0.26587839600273444,-0.270053168016257
us_stocks,1d,ibs,ACN,2014,0.11385391362848529,-0.03352468494035077
us_stocks,1d,ibs,ACN,2015,0.19503326592589554,0.028402792038604074
us_stocks,1d,ibs,ACN,2016,0.14329023077964798,-0.04101557336848827
us_stocks,1d,ibs,ACN,2017,0.33309616209274684,-0.18432597763767822
us_stocks,1d,ibs,ACN,2018,-0.062435605542148664,-0.07790676825409615
us_stocks,1d,ibs,ACN,2019,0.5120063874615002,-0.41285704266479817
us_stocks,1d,ibs,ACN,2020,0.26032373952741206,0.5898470792772701
us_stocks,1d,ibs,ACN,2021,0.606593222177167,-0.22572796445854992
us_stocks,1d,ibs,ACN,2022,-0.3475637018235497,0.22378301389531152
us_stocks,1d,ibs,ACN,2023,0.3358683469201815,-0.2918867756073116
us_stocks,1d,ibs,ACN,2024,0.01855870052512465,-0.0203248910271987
us_stocks,1d,ibs,ACN,2025,-0.22653412622192104,0.3958445190724563
us_stocks,1d,ibs,ACN,2026,-0.34923973318334667,0.2767704530124303
us_stocks,1d,ibs,ADBE,2003,0.5283832847205594,-0.5512421933368098
us_stocks,1d,ibs,ADBE,2004,0.6065653872807177,-0.04374863454378075
us_stocks,1d,ibs,ADBE,2005,0.1783114185262702,-0.26172860841143164
us_stocks,1d,ibs,ADBE,2006,0.1125541125541123,-0.17729816625052408
us_stocks,1d,ibs,ADBE,2007,0.03915369649805367,0.16328677533483527
us_stocks,1d,ibs,ADBE,2008,-0.50175520711444,0.42238953899444137
us_stocks,1d,ibs,ADBE,2009,0.7275716298731765,-0.17808894112759566
us_stocks,1d,ibs,ADBE,2010,-0.16313213703099483,0.028257144698204173
us_stocks,1d,ibs,ADBE,2011,-0.08154645873944122,0.07870766902176185
us_stocks,1d,ibs,ADBE,2012,0.33286169083834394,0.10992996664536281
us_stocks,1d,ibs,ADBE,2013,0.5891719745222925,-0.2502736966808321
us_stocks,1d,ibs,ADBE,2014,0.21409485637942471,-0.15390713618674678
us_stocks,1d,ibs,ADBE,2015,0.29215955983493647,-0.17145574046913636
us_stocks,1d,ibs,ADBE,2016,0.0959122844368756,0.039706476562948456
us_stocks,1d,ibs,ADBE,2017,0.7021856240893649,-0.33216473980794325
us_stocks,1d,ibs,ADBE,2018,0.2910294287246391,-0.021003479990703733
us_stocks,1d,ibs,ADBE,2019,0.45778812509776823,-0.02575254181386466
us_stocks,1d,ibs,ADBE,2020,0.5163882235226318,0.5974311346094494
us_stocks,1d,ibs,ADBE,2021,0.13384787251059715,0.25781977136308276
us_stocks,1d,ibs,ADBE,2022,-0.40653546152624065,0.26638299750854977
us_stocks,1d,ibs,ADBE,2023,0.7727987995126733,-0.5730601040205925
us_stocks,1d,ibs,ADBE,2024,-0.25464296864374913,0.1916649835612152
us_stocks,1d,ibs,ADBE,2025,-0.2129396467783491,0.0686952957292627
us_stocks,1d,ibs,ADBE,2026,-0.256435905495469,0.06177580829847262
us_stocks,1d,ibs,ADI,2003,0.7625483607464785,-0.19379963841729886
us_stocks,1d,ibs,ADI,2004,-0.18855966156019066,0.27273781785315354
us_stocks,1d,ibs,ADI,2005,-0.018419034285262814,-0.03996077376787832
us_stocks,1d,ibs,ADI,2006,-0.06954945630651566,0.30468446068629584
us_stocks,1d,ibs,ADI,2007,-0.015250077540049367,0.07039049193973568
us_stocks,1d,ibs,ADI,2008,-0.38075354880490686,0.37199830738543105
us_stocks,1d,ibs,ADI,2009,0.6973553822077874,-0.4777302748386143
us_stocks,1d,ibs,ADI,2010,0.22673600521942316,0.2394898447965499
us_stocks,1d,ibs,ADI,2011,-0.024314786143424083,0.3618454426286424
us_stocks,1d,ibs,ADI,2012,0.18477804078401228,0.046282368198706125
us_stocks,1d,ibs,ADI,2013,0.2281766779186889,-0.04811061112728576
us_stocks,1d,ibs,ADI,2014,0.1212727533338338,-0.25124498487686375
us_stocks,1d,ibs,ADI,2015,0.023668668558632255,0.004278395412599112
us_stocks,1d,ibs,ADI,2016,0.34932387805471743,-0.2978400662393088
us_stocks,1d,ibs,ADI,2017,0.2528647323843065,0.09139857445848976
us_stocks,1d,ibs,ADI,2018,-0.016490240203860917,0.036436407820184424
us_stocks,1d,ibs,ADI,2019,0.41294882616820305,-0.34015488490525336
us_stocks,1d,ibs,ADI,2020,0.26860004980157437,0.6621509237802061
us_stocks,1d,ibs,ADI,2021,0.2095579481130041,-0.06468758129555163
us_stocks,1d,ibs,ADI,2022,-0.049206335849351635,0.648785144053973
us_stocks,1d,ibs,ADI,2023,0.2334533435377859,-0.10724207958305176
us_stocks,1d,ibs,ADI,2024,0.0880781921915712,0.045268546991132474
us_stocks,1d,ibs,ADI,2025,0.297829521902375,-0.004721649286354879
us_stocks,1d,ibs,ADI,2026,0.39939535706055773,0.3760021640704039
us_stocks,1d,ibs,ADM,2003,0.2390121621305663,0.10613950914476944
us_stocks,1d,ibs,ADM,2004,0.49124008673014674,-0.24677160619836225
us_stocks,1d,ibs,ADM,2005,0.12253689081034813,-0.051870257711942314
us_stocks,1d,ibs,ADM,2006,0.30574923924583186,0.43181436715455734
us_stocks,1d,ibs,ADM,2007,0.4717443170218689,-0.21519378320968063
us_stocks,1d,ibs,ADM,2008,-0.36898569727920494,0.29972061926618365
us_stocks,1d,ibs,ADM,2009,0.10799081976321001,0.12270388921751918
us_stocks,1d,ibs,ADM,2010,-0.019417676975811315,-0.05348851902574214
us_stocks,1d,ibs,ADM,2011,-0.02917833294998129,0.3118415472269922
us_stocks,1d,ibs,ADM,2012,-0.01850194776445291,0.006583139421270423
us_stocks,1d,ibs,ADM,2013,0.6187862813558052,-0.18709004560106024
us_stocks,1d,ibs,ADM,2014,0.2231444168540171,-0.27857001270686954
us_stocks,1d,ibs,ADM,2015,-0.2771136396255175,0.175452320333919
us_stocks,1d,ibs,ADM,2016,0.27442864860450844,0.008891386048718086
