class,tf,rule,symbol,era,bars,ir,excess_cagr,spread_bps
us_stocks,1d,ibs,A,2000s,1762,-0.25334254117310623,-0.03419929603784566,3.2031467229588517
us_stocks,1d,ibs,A,2010s,2516,-0.16053944459838185,-0.013210795723877178,14.626136792513954
us_stocks,1d,ibs,A,2020s,1657,-0.01043952871638454,0.0263111176824411,11.079162408192225
us_stocks,1d,ibs,AA,2000s,1762,0.014796578103193738,0.05519178891084553,9.929850051245548
us_stocks,1d,ibs,AA,2010s,1721,-0.0825412728397349,0.010240393473729181,-3.8722499987775105
us_stocks,1d,ibs,AAL,2000s,1007,0.033119244086731545,0.1560122815021905,3.99448721777598
us_stocks,1d,ibs,AAL,2010s,2516,-0.34290289757502856,-0.0679507915710178,5.764649872391342
us_stocks,1d,ibs,AAL,2020s,1189,0.8589297099819383,0.41553594647246694,53.52980510142185
us_stocks,1d,ibs,AAP,2000s,1762,-0.13756472111255716,-0.007610122049553025,11.639001735452526
us_stocks,1d,ibs,AAP,2010s,2516,-0.2087993196457766,-0.024567256160048068,8.654472551473456
us_stocks,1d,ibs,AAP,2020s,919,0.47036545002628455,0.18978735598219576,13.964510493305783
us_stocks,1d,ibs,AAPL,2000s,1762,-0.6067769585617285,-0.2045128844602826,23.706824339022695
us_stocks,1d,ibs,AAPL,2010s,2516,-0.9091291586285924,-0.17090086851460096,-1.1072826044105115
us_stocks,1d,ibs,AAPL,2020s,1657,-0.0192457498114983,0.027231417599514085,25.307031709147168
us_stocks,1d,ibs,ABBV,2010s,1509,0.11364802656134883,0.05240031920580335,18.707272533417935
us_stocks,1d,ibs,ABBV,2020s,1657,-0.6553934093169307,-0.1213035396121882,1.7505346581145667
us_stocks,1d,ibs,ABNB,2020s,1152,-0.2619205895753387,-0.032308758927093506,-6.172438024651054
us_stocks,1d,ibs,ABT,2000s,1762,0.4821540962418981,0.09841159758154494,21.296544741425645
us_stocks,1d,ibs,ABT,2010s,2516,-0.6716025868456931,-0.08989786616007156,1.4570851214205796
us_stocks,1d,ibs,ABT,2020s,1657,0.20145642625979274,0.05776330245174144,14.08014356621796
us_stocks,1d,ibs,ACE,2000s,732,-0.8299809851454356,-0.15887215083745354,-48.90656245898406
us_stocks,1d,ibs,ACE,2010s,1492,-0.6139346168726514,-0.12355882231665083,-33.17813738372119
us_stocks,1d,ibs,ACGL,2000s,1762,-0.05370960821098145,0.007583351570085162,13.099569877337494
us_stocks,1d,ibs,ACGL,2010s,2516,-0.44983829613314863,-0.05341055981027232,8.372853673239584
us_stocks,1d,ibs,ACGL,2020s,1657,-0.010958878774890152,0.03149352961259755,15.928356411470443
us_stocks,1d,ibs,ACN,2000s,1762,0.42648975569988434,0.14915984276198402,32.08029899478177
us_stocks,1d,ibs,ACN,2010s,2516,-0.6900274054755281,-0.10423441426050761,3.376956045475243
us_stocks,1d,ibs,ACN,2020s,1657,0.5564684278506541,0.16637134473394344,24.475967070743145
us_stocks,1d,ibs,ADBE,2000s,1762,-0.26592591759442635,-0.04054830461244596,8.823637340752933
us_stocks,1d,ibs,ADBE,2010s,2516,-0.3366434593416273,-0.057193949774011266,15.953353551319463
us_stocks,1d,ibs,ADBE,2020s,1657,0.39109660472431684,0.14285301844062837,20.213529782707223
us_stocks,1d,ibs,ADI,2000s,1762,0.21994722785738674,0.0972596225674569,18.085651396182964
us_stocks,1d,ibs,ADI,2010s,2516,-0.18749614525872285,-0.020290873504287044,11.880019577563132
us_stocks,1d,ibs,ADI,2020s,1657,0.4788427243650471,0.21368331563164777,44.22189315609833
us_stocks,1d,ibs,ADM,2000s,1762,0.12281696303959996,0.08126532236834949,23.748569819513573
us_stocks,1d,ibs,ADM,2010s,2516,-0.009017869253569611,0.012397896317340118,7.90884838627044
us_stocks,1d,ibs,ADM,2020s,1657,-0.03495398250334141,0.021213896522811915,12.10084857361382
us_stocks,1d,ibs,ADP,2000s,1762,0.5041561875378228,0.11324231667259865,21.25237205729178
us_stocks,1d,ibs,ADP,2010s,2516,-0.5716944884985906,-0.07628952025496427,7.448539639210941
us_stocks,1d,ibs,ADP,2020s,1657,0.10303633312079333,0.05136146261103369,16.925689764117816
us_stocks,1d,ibs,ADS,2000s,1795,-0.3565502257524422,-0.05569626160608432,-0.16141055824500627
us_stocks,1d,ibs,ADS,2010s,2536,-0.9007054875053857,-0.1689820375470905,-3.4703217351382434
us_stocks,1d,ibs,ADSK,2000s,1762,-0.48548560779129857,-0.1134074680103927,2.126345566902129
us_stocks,1d,ibs,ADSK,2010s,2516,-0.7487369617840246,-0.1758423089844099,-6.1703109750150835
us_stocks,1d,ibs,ADSK,2020s,1657,-0.030020616867948165,0.02828674984147206,9.362114868368343
us_stocks,1d,ibs,AEE,2000s,1762,0.1535446052421756,0.040221981769043014,6.723519323605748
us_stocks,1d,ibs,AEE,2010s,2516,-0.780306138084002,-0.10404055059219797,-1.105019743936382
us_stocks,1d,ibs,AEE,2020s,1657,0.09719453583987905,0.034392590081400165,12.442652517124474
us_stocks,1d,ibs,AEP,2000s,1762,0.09432942764229026,0.032209911995847884,12.11470079172889
us_stocks,1d,ibs,AEP,2010s,2516,-0.4873369991542897,-0.05693890008577429,5.877162635145816
us_stocks,1d,ibs,AEP,2020s,1657,-0.3620190794062575,-0.04942282088838823,0.09725829469752412
us_stocks,1d,ibs,AES,2000s,1762,-0.29359805634166614,-0.04974748082697311,13.404692417910175
us_stocks,1d,ibs,AES,2010s,2516,0.3195079924717176,0.08558472841236231,18.32111387755633
us_stocks,1d,ibs,AES,2020s,1657,-0.08734317257059983,0.017990146897218895,2.1518728984261326
us_stocks,1d,ibs,AET,2000s,1793,0.2715155779761794,0.31382543841917987,42.98583640484393
us_stocks,1d,ibs,AET,2010s,2255,1.3499283959701591,0.585886183560911,68.47813913900626
us_stocks,1d,ibs,AFL,2000s,1762,0.40417877839978184,0.22570538080692182,38.46136090103368
us_stocks,1d,ibs,AFL,2010s,2516,0.30135908308765125,0.07486358391825321,20.84275446585378
us_stocks,1d,ibs,AFL,2020s,1657,-0.18184615152605854,-0.018013733203317228,11.137924810825933
us_stocks,1d,ibs,AGN,2000s,1786,-0.3598694785080878,0.03639213082869164,-18.489266808388223
us_stocks,1d,ibs,AGN,2010s,2557,-0.331329574577943,-0.049178500366448,-5.509627281260378
us_stocks,1d,ibs,AIG,2000s,1762,-0.12012229154002023,0.06212059586290841,-21.082412976510465
us_stocks,1d,ibs,AIG,2010s,2516,-0.2426256917458415,-0.029804927720723295,2.0384765136796825
us_stocks,1d,ibs,AIG,2020s,1657,0.3459977880972473,0.12529787031849504,26.241634463706696
us_stocks,1d,ibs,AIV,2000s,1762,0.13480197637259278,0.11684618238790911,18.732458065778964
us_stocks,1d,ibs,AIV,2010s,2516,-0.19109243040072618,-0.020396715961956913,12.058969755073253
us_stocks,1d,ibs,AIZ,2000s,1259,0.5742522882503022,0.28321854839588356,40.19291295219204
us_stocks,1d,ibs,AIZ,2010s,2516,-0.7256349834179191,-0.1120553779146134,-0.35036039699853005
us_stocks,1d,ibs,AIZ,2020s,1657,-0.35288630503852836,-0.05893122166977105,2.9972867476349223
us_stocks,1d,ibs,AJG,2000s,1762,0.4952108019964075,0.13324826095978426,20.789207619310137
us_stocks,1d,ibs,AJG,2010s,2516,-1.0868100600846664,-0.13525961240272344,-2.29601266676087
us_stocks,1d,ibs,AJG,2020s,1657,-0.5408351308673018,-0.10164291819601057,0.15670002798189703
us_stocks,1d,ibs,AKAM,2000s,1762,-0.17107636668897103,0.030976456457486146,35.240079228762866
us_stocks,1d,ibs,AKAM,2010s,2516,-0.6010864158246085,-0.1322167926455463,-8.32690259371098
us_stocks,1d,ibs,AKAM,2020s,1657,0.27775789663001166,0.1311907542902797,21.945703751747644
