,ADX,LINEARREG_100,LINEARREG_21,MININDEX,TEMA_100,TEMA_50,TSF_100,TSF_21
ADX,1.0,-0.01865849168909981,0.012496676892226213,0.037513745953373694,-0.015877736743035133,-0.03170241234783098,-0.016012010955162984,0.02101567635167722
LINEARREG_100,-0.01865849168909981,1.0,0.1749519851955403,-0.1350815460522971,0.8410017350165107,0.48802189531596685,0.9846748856257899,0.08778956020838252
LINEARREG_21,0.012496676892226213,0.1749519851955403,1.0,-0.007543232701343894,0.22865001454962944,0.46136014016069826,0.17470708254693337,0.8978883501203743
MININDEX,0.037513745953373694,-0.1350815460522971,-0.007543232701343894,1.0,-0.13439949507592305,-0.09876553434556745,-0.13811574177687116,0.00616373684284369
TEMA_100,-0.015877736743035133,0.8410017350165107,0.22865001454962944,-0.13439949507592305,1.0,0.5533171240121448,0.8398494132276602,0.14185738591687325
TEMA_50,-0.03170241234783098,0.48802189531596685,0.46136014016069826,-0.09876553434556745,0.5533171240121448,1.0,0.4937753178852123,0.3793053670493098
TSF_100,-0.016012010955162984,0.9846748856257899,0.17470708254693337,-0.13811574177687116,0.8398494132276602,0.4937753178852123,1.0,0.08947477505303443
TSF_21,0.02101567635167722,0.08778956020838252,0.8978883501203743,0.00616373684284369,0.14185738591687325,0.3793053670493098,0.08947477505303443,1.0
