class,tf,rule,pit,n_names,years,exposure,cagr,cashmatch_bench_cagr,cashmatch_excess_cagr,cashmatch_ratio,win_rate,profit_factor,n_trades,sharpe,bench_sharpe,dsharpe,boot_t,dsr,alpha_vs_bh_ann,alpha_vs_bh_t,avg_breadth,bars,start,end,vol,bench_vol,dd,bench_dd,bench_cagr,wealth,bench_wealth,avg_win,avg_loss,boot_se,boot_p_gt0,boot_ci_lo,boot_ci_hi,fold_dsharpe,fold_sd,fold_t,n_folds_scored,fold_edges,cash_w,cashmatch_bench_dd,cashmatch_bench_wealth,cashmatch_beats,edge_wealth,edge_headroom,cost_drag_ann,roe_ann,const_weight,const_mar,mar,vs_constant,index_symbol,index_cagr,index_wealth,index_sharpe,index_vol,index_dd,idx_cash_w,idx_cashmatch_bench_cagr,idx_cashmatch_bench_dd,idx_cashmatch_excess_cagr,idx_cashmatch_ratio,idx_cashmatch_beats,volmatch_k,volmatch_wealth,volmatch_dd,volmatch_beats,alpha_ann,alpha_t,alpha_p,r2,factor_n,beta_Mkt-RF,beta_SMB,beta_HML,beta_RMW,beta_CMA,beta_Mom,beta_ST_Rev,t_Mkt-RF,t_SMB,t_HML,t_RMW,t_CMA,t_Mom,t_ST_Rev,alpha_vs_bh_p,beta_BH,r2_vs_bh,fill,skew,kurtosis,n_trials,sr_star_ann,psr,dsr_pass,n_trials_ledger,n_trials_measured,n_trials_source,trial_dispersion,dispersion_source,rand_sharpe,vs_random,edge_gate_dsharpe,edge_gate_t,edge_gate_vs_random,edge_gate_vs_constant,edge_gate_wealth,edge_gate_headroom,edge_passed,edge_n,edge_powered,edge_rankable,edge_verdict,boot_draws,edge_t_bar_corrected,edge_t_bar_source,edge_t_uncorrected_pass
cme_futures,4h,mc_holt_winters_seasonal,False,16,7.75925266299568,0.533600567145765,0.1373653463907185,0.10996387550320352,0.02740147088751499,1.2083128322340704,0.5992366412213741,2.735825430881149,262,1.1924256926185905,0.977211602769249,0.21521408984934154,0.8979110579091804,0.8196118624006341,-0.039762931414630866,-0.9959825976859595,14.124539425202652,12213,2019-01-03,2026-08-25,0.11333862671671598,0.17237783981714164,-0.19811965705044365,-0.39013614000919317,0.16599695400116588,27148.270075510758,32924.72087788457,0.13769837326922157,-0.07525767216007707,0.2396830821423178,0.8015,-0.275857996145574,0.6379620864696603,0.2454207425941582,0.6471200722826224,0.848030353305659,5,0.573520;0.911705;0.462905;-0.773951;0.052924,0.6575011430526427,-0.27457381561818595,22467.915055835212,True,4680.355019675546,20.0,0.00034597554053133404,0.2727994923002677,0.533600567145765,0.39152946573105535,0.69334536731882,0.30181590158776467,ES.v.0,0.1374630437438249,27166.369757321878,0.776078781020673,0.18892451035108754,-0.35027692723184667,0.5999148893179256,0.08495932731378675,-0.22302729523653286,0.052406019076931765,1.4419831797019833,True,1.0,27148.270075510758,-0.19811965705044365,False,0.1927871692840979,2.1871464588905396,0.0287318339955287,0.03090754765119752,1881,0.023910087952570474,-0.00702561183314623,0.021233276289181976,0.004546706067711569,-0.009720203525092076,0.0056925103384375874,0.013797713369535197,2.26790698746339,-0.7359251331564198,2.1620038570798314,0.3527108978781231,-0.6292443009276846,0.8743943602241993,1.6995747441134303,0.3192586006413025,0.5458292357818748,0.7464894249435794,open,-0.48406041519212883,18.49478823217522,176,0.8613092225310817,0.99950104361919,False,0,176,run+ledger,0.31625446191285367,this run,0.7208576019835169,0.47156809063507366,True,False,True,True,True,True,5,6,False,True,underpowered,2000.0,,,
cme_futures,4h,mc_average_run_length_reversion,False,16,7.75925266299568,0.4592395171583332,0.12792423243840245,0.10288148255764629,0.025042749880756165,1.190312819062238,0.5934959349593496,2.574107909549438,246,1.1890965557412911,0.977211602769249,0.21188495297204213,1.0101876964805274,0.8190469806266685,-0.02607436502498788,-0.6268069067337139,14.124539425202652,12213,2019-01-03,2026-08-25,0.10595930311818634,0.17237783981714164,-0.19201065205256362,-0.39013614000919317,0.16599695400116588,25447.97117779669,32924.72087788457,0.1338660014205646,-0.07592702751464453,0.2097481029617019,0.837,-0.19522042958283528,0.6161157028278538,0.29060551478856833,0.6344950844930523,1.0241429785429248,5,0.850882;1.065753;-0.412219;-0.053259;0.001870,0.6146921392598256,-0.25889472610838504,21379.229703537363,True,4068.7414742593296,20.0,0.0003281857197482045,0.2996913213225616,0.4592395171583332,0.3861807289236652,0.6662350816004871,0.2800543526768219,ES.v.0,0.1374630437438249,27166.369757321878,0.776078781020673,0.18892451035108754,-0.35027692723184667,0.5608552480632453,0.07963564501578979,-0.20969954260545676,0.04828858742261266,1.404257808518854,True,1.0,25447.97117779669,-0.19201065205256362,False,0.21202149174028584,2.28585181612163,0.022262929124108766,0.03790330275885612,1881,0.023791042492226713,-0.00040603561511990197,0.019844273049893425,0.012469360301515348,4.830649865917517e-05,0.00885243691989163,0.0201753194970914,2.483872430731936,-0.04124584282945876,1.852944690562727,0.9659521228331738,0.002814637740838909,1.2651705767599593,2.015928591598898,0.5307858155979501,0.5588459396514485,0.7467377307339034,open,0.10648234290008002,27.813436166298253,176,0.8613092225310817,0.9995292815979835,False,0,176,run+ledger,0.31625446191285367,this run,0.6950850981506356,0.49401145759065557,True,False,True,True,True,True,5,6,False,True,underpowered,2000.0,,,
cme_futures,4h,mc_price_percentile_score,False,16,7.75925266299568,0.46819489077840837,0.11493013414795161,0.09625295550452218,0.018677178643429437,1.140062545219054,0.5989061075660893,1.596576757038356,1097,1.1477369533087514,0.977211602769249,0.17052535053950235,0.8026709919818963,0.7869685934071367,0.02996382462993346,0.7311852428145741,14.124539425202652,12213,2019-01-03,2026-08-25,0.09906661088536502,0.17237783981714164,-0.22204571136922813,-0.39013614000919317,0.16599695400116588,23259.827118951303,32924.72087788457,0.04931713148744052,-0.04612333465165128,0.2124473816083146,0.7795,-0.2540705601305797,0.5709605957668369,0.27254144563259086,0.3320826553942813,1.8351491389906267,5,-0.083278;-0.042883;0.704167;0.390589;0.394113,0.5747061860762083,-0.24398984265357715,20402.23776887794,True,2857.5893500733596,10.0,0.0014739330714926243,0.26157914394884263,0.46819489077840837,0.3868236442937614,0.517596730147336,0.13077308585357456,ES.v.0,0.1374630437438249,27166.369757321878,0.776078781020673,0.18892451035108754,-0.35027692723184667,0.5243714047545486,0.07463391035305333,-0.19710271075620767,0.04029622379489828,1.3306016222731996,True,1.0,23259.827118951303,-0.22204571136922813,False,0.2208889630313683,3.4487631986715375,0.0005631603355615855,0.0427876115517013,1881,0.022490731177115985,-0.01971649573038021,0.02818130673686274,-0.0042439786814453375,-0.0009212354390153893,0.006447514632570275,0.016306459544625507,3.4176708409583676,-1.8698314728447476,2.8690896309310387,-0.40308764231781774,-0.0802434889442178,1.470712759619867,1.9712271039512517,0.4646660127198361,0.4481293367411279,0.6545239999118284,open,-0.03542539715894065,18.672503864925424,176,0.8613092225310817,0.999287202806882,False,0,176,run+ledger,0.31625446191285367,this run,0.6927377050597016,0.4549992482490498,True,False,True,True,True,True,5,6,False,True,underpowered,2000.0,,,
cme_futures,4h,renko_delta,False,16,7.75925266299568,0.5640233333766864,0.12430600979462914,0.10784084859405119,0.01646516120057795,1.1212817526232421,0.4111801242236025,1.539620724985207,805,1.1099388251291316,0.977211602769249,0.13272722235988255,0.8041424028773291,0.7559134238676857,0.11430636597186487,2.21644229655897,14.124539425202652,12213,2019-01-03,2026-08-25,0.11112494261638779,0.17237783981714164,-0.17765966902287944,-0.39013614000919317,0.16599695400116588,24821.381026345647,32924.72087788457,0.10493007664066599,-0.047592212343988416,0.16505437579832477,0.7295,-0.20321432824456315,0.4187197515187457,-0.14022889177102713,0.3223644273589772,-0.9726921080541658,5,0.169475;-0.039880;0.043875;-0.660112;-0.214503,0.644659097331009,-0.26990029238402535,22136.613717538832,True,2684.7673088068145,10.0,0.001123588706926795,0.23088383793766654,0.5640233333766864,0.3937242215154363,0.6996861498071388,0.30596192829170255,ES.v.0,0.1374630437438249,27166.369757321878,0.776078781020673,0.18892451035108754,-0.35027692723184667,0.5881975949540849,0.08336573137670533,-0.21904633824538167,0.0409402784179238,1.333512835988488,True,1.0,24821.381026345647,-0.17765966902287944,False,0.3609885144616343,3.6314064987483854,0.00028188078397684,0.008580223757795213,1881,0.011147181572807996,-0.012181965506795612,0.013808886658918145,-0.000948202230880487,-0.0013265073543303803,0.0027653901910277365,0.011265379625049553,2.1391801023620682,-1.3364587892261155,1.8469714426830426,-0.071982548888803,-0.08930829905930102,0.5274752815050232,1.5421235791582435,0.026661225662756305,0.5789992272058295,0.6823950930597138,open,0.19719626738759655,19.215136928865867,176,0.8613092225310817,0.9990148707382016,False,0,176,run+ledger,0.31625446191285367,this run,0.7563916800528343,0.35354714507629725,False,False,True,True,True,True,4,6,False,True,underpowered,2000.0,,,
cme_futures,4h,mc_cycle_adjusted_trend,False,16,7.75925266299568,0.5067309708859696,0.11824144848883833,0.10333457180470607,0.014906876684132264,1.1097463139515067,0.5282426778242678,1.6083257481224238,956,1.1033238014533624,0.977211602769249,0.12611219868411339,0.6862241756404668,0.7484581415102882,0.04901477098666826,1.0987745925665593,14.124539425202652,12213,2019-01-03,2026-08-25,0.10643092423310094,0.17237783981714164,-0.2385630481789054,-0.39013614000919317,0.16599695400116588,23801.255832528477,32924.72087788457,0.06383804590673063,-0.04444474371323794,0.1837769684613783,0.724,-0.22704834682171884,0.4926099334905148,0.13290928307025712,0.527575856707448,0.5633203036253749,5,1.048120;-0.000662;0.044390;-0.143476;-0.283826,0.617428112256209,-0.25990535696919315,21447.474556395362,True,2353.781276133118,10.0,0.0012873888826548344,0.24675684951611854,0.5067309708859696,0.3895941007083904,0.49564024852736466,0.10604614781897426,ES.v.0,0.1374630437438249,27166.369757321878,0.776078781020673,0.18892451035108754,-0.35027692723184667,0.5633515949588289,0.07997685949165434,-0.2105562290307852,0.03826458899718399,1.3101732017996295,True,1.0,23801.255832528477,-0.2385630481789054,False,0.23939834003889932,3.3819322291454386,0.0007197789955655232,0.02567243347775172,1881,0.020603036902448087,-0.012450708000548052,0.017716805815632633,0.0027287470054816235,-0.015965123186703623,0.006009694499136692,0.010317224973977662,2.127610739407073,-1.195858038526876,1.7294313209009804,0.2662666334756398,-1.12136972914479,1.031097873038193,1.3015393076394846,0.2718663971201136,0.446858193950346,0.6057695688396101,open,-0.3030640526385987,26.67054380760499,176,0.8613092225310817,0.9988666313554091,False,0,176,run+ledger,0.31625446191285367,this run,0.6894736599731363,0.41385014148022614,True,False,True,True,True,True,5,6,False,True,underpowered,2000.0,,,
cme_futures,4h,volmanaged,False,16,7.75925266299568,0.8554177496305998,0.1316337587972285,0.12380136847448742,0.007832390322741078,1.0553694787615562,0.5047520372990097,1.057434981150264,100378,1.031548147387626,0.977211602769249,0.054336544618377,0.812855557231224,0.6818680921921786,0.0083637191501755,0.26092848339038954,14.124539425202652,12213,2019-01-03,2026-08-25,0.1278038200674783,0.17237783981714164,-0.2590521068451792,-0.39013614000919317,0.16599695400116588,26104.633926531333,32924.72087788457,0.00463730119186211,-0.004469583074624104,0.0668464946016485,0.7365,-0.07636988590916982,0.18931719837652766,0.08736240606652251,0.18369269844789152,1.06345151600078,5,0.060016;0.042844;0.019445;-0.085501;0.400009,0.7414167633325291,-0.3044892697616327,24735.066203699887,True,1369.5677228314462,20.0,0.00035802230110096734,0.15553535137266894,0.8554177496305998,0.41490162751465326,0.5081362217057688,0.09323459419111552,ES.v.0,0.1374630437438249,27166.369757321878,0.776078781020673,0.18892451035108754,-0.35027692723184667,0.6764808855662735,0.0952986852771942,-0.24867995692169165,0.03633507352003429,1.2881737246466733,True,1.0,26104.633926531333,-0.2590521068451792,False,0.300038416289064,3.079121081547255,0.0020761228437742307,0.016262277890295773,1881,0.02159863836684194,-0.012449448915530674,0.0181957423615426,0.0010022898246691402,0.0025284408009786895,0.006597209144319055,0.009004952893778406,3.2729716081726554,-1.2300693070891247,1.9437526417327302,0.08217236920127682,0.1555611121040125,1.2088095084177417,1.4735674655918967,0.7941476589354401,0.684603345936541,0.8897653865278699,open,-0.1480442700135084,9.781387470022784,176,0.8613092225310817,0.9979193796798631,False,0,176,run+ledger,0.31625446191285367,this run,1.000189528804821,0.031358618582804976,False,False,True,True,True,True,4,6,False,True,underpowered,2000.0,,,
cme_futures,4h,mc_realized_volatility_momentum,False,16,7.75925266299568,0.4762769774099915,0.1045427289720553,0.09680210273222323,0.007740626239832071,1.0560845083109685,0.5670103092783505,1.4374409781661632,1164,1.0477500555708767,0.977211602769249,0.07053845280162774,0.5085863796566852,0.6987935819816751,0.06608090468946783,1.3351826045930248,14.124539425202652,12213,2019-01-03,2026-08-25,0.09963715904157645,0.17237783981714164,-0.16122402877970565,-0.39013614000919317,0.16599695400116588,21630.377150284767,32924.72087788457,0.05148489580851506,-0.04690328014588538,0.13869512755973495,0.6755,-0.2610916626487664,0.3040569898100464,0.028246756400956273,0.3232920063769333,0.19537033459087125,5,0.506798;0.094632;-0.211646;0.076446;-0.324996,0.5780160555862142,-0.24523321408277376,20481.67261243038,True,1148.704537854388,5.0,0.0015598559419066505,0.23215920112874233,0.4762769774099915,0.38740416350705925,0.6484314389321029,0.2610272754250436,ES.v.0,0.1374630437438249,27166.369757321878,0.776078781020673,0.18892451035108754,-0.35027692723184667,0.5273913842963833,0.0750489858845309,-0.19815086281096106,0.029493743087524393,1.233685128567664,True,1.0,21630.377150284767,-0.16122402877970565,False,0.2910232490354735,3.19377633895304,0.0014042486711940416,0.0038587476778562113,1881,0.007772010179108708,0.0002450740394688185,0.0035692006480504564,0.012831990473205233,-0.0007601869216953766,0.006716706148111005,0.0028400341723064312,1.6487431153171201,0.031237903956753552,0.5374110454606317,0.965515647839822,-0.055106667681276124,1.4371292302004894,0.5416558176593534,0.1818165887908907,0.5279727144406898,0.6990745476264473,open,0.3748087597586198,22.240151099342874,176,0.8613092225310817,0.998291591867341,False,0,176,run+ledger,0.31625446191285367,this run,0.6906192189837237,0.35713083658715306,False,False,True,True,True,True,4,6,False,True,underpowered,2000.0,,,
cme_futures,4h,trend_factor,False,16,7.75925266299568,0.47296434403410575,0.10372078639559001,0.09657636144346982,0.007144424952120199,1.051680317944781,0.2531009577641702,1.2407138291547906,6369,1.042509073802638,0.977211602769249,0.0652974710333889,0.2651229306000641,0.6932982053344545,0.0766975348923704,1.3894510563114846,14.124539425202652,12213,2019-01-03,2026-08-25,0.09940260996893033,0.17237783981714164,-0.11091128246578785,-0.39013614000919317,0.16599695400116588,21505.79641072504,32924.72087788457,0.03013797952640545,-0.008231413080258376,0.24629129923088255,0.5635,-0.46104652011831265,0.4745355874852749,-0.09946076773170838,0.5756541658086276,-0.3863448767542721,5,0.220051;0.465831;0.260203;-0.730674;-0.712714,0.5766553872259716,-0.24472228200595225,20448.986297235442,True,1056.810113489597,1.0,0.00858901866469487,0.23202151887654554,0.47296434403410575,0.3871661900436577,0.9351689394411624,0.5480027493975047,ES.v.0,0.1374630437438249,27166.369757321878,0.776078781020673,0.18892451035108754,-0.35027692723184667,0.5261498880383793,0.07487837356299809,-0.1977200924851752,0.028842412832591924,1.2280911564751147,True,1.0,21505.79641072504,-0.11091128246578785,False,0.28289972318913253,2.796972948435063,0.00515838520529055,0.0009565337178076838,1881,0.001567664313095414,0.003220207381468901,0.0029148552231700953,0.002951000186732231,0.002378178544475646,0.003168389116982572,0.003404156377134236,0.3305572736807864,0.4401140426350271,0.447767501215817,0.23971672715490747,0.1674616655862775,0.6005347763525071,0.6778683007063728,0.164695634078448,0.48398681624474205,0.5343406619561268,open,0.2563038101260554,28.51726304464797,176,0.8613092225310817,0.9981738096406281,False,0,176,run+ledger,0.31625446191285367,this run,0.6914875303495298,0.3510215434531081,False,False,True,True,True,False,3,6,False,True,underpowered,2000.0,,,
cme_futures,4h,atr_chandelier,False,16,7.75925266299568,0.5523507778328461,0.11265790984045165,0.10587592258634837,0.006781987254103283,1.0485829950521157,0.3987163029525032,1.2214456368377378,3895,1.0332441929942975,0.977211602769249,0.05603259022504847,0.21668716586177017,0.6837586247667076,0.12151011501851254,2.2414236753373733,14.124539425202652,12213,2019-01-03,2026-08-25,0.1090773799806666,0.17237783981714164,-0.18096657924242365,-0.39013614000919317,0.16599695400116588,22894.535208650886,32924.72087788457,0.038618737654199424,-0.020965657955663988,0.25858748949069266,0.514,-0.4692366775051013,0.5240545641681351,-0.3317560220704161,0.4028261283028776,-1.8415613218033444,5,0.146820;-0.465758;-0.394517;-0.049322;-0.896004,0.6327807570646892,-0.26555466705915476,21833.78456133842,True,1060.7506473124672,2.0,0.005386923761158957,0.21320774972214562,0.5523507778328461,0.3928817155124171,0.6225343392800424,0.22965262376762535,ES.v.0,0.1374630437438249,27166.369757321878,0.776078781020673,0.18892451035108754,-0.35027692723184667,0.5773596013453355,0.08188910034849983,-0.21535103456923266,0.03076880949195182,1.2430805534889189,True,1.0,22894.535208650886,-0.18096657924242365,False,0.3425622157063033,3.4801858167557724,0.000501066130685679,0.0008844592232031268,1881,0.0026581058128903783,-0.0022397356883188703,0.004530779890973618,0.005095635378444992,-0.0006243112419956542,0.0037067263112018165,-0.0014833353597946755,0.5480020039542307,-0.27349786597423337,0.7121104920110277,0.44080345876489063,-0.04327167422150906,0.6966201773743794,-0.28101218143297185,0.024998644361609035,0.5188417413016172,0.5636703440195292,open,0.016741801660202386,20.29103481430751,176,0.8613092225310817,0.9979731837433544,False,0,176,run+ledger,0.31625446191285367,this run,0.7427580250191348,0.2904861679751627,False,False,True,True,True,False,3,6,False,True,underpowered,2000.0,,,
cme_futures,4h,mc_normalized_range_momentum,False,16,7.75925266299568,0.5366462674310869,0.11026117947740799,0.10354605848112386,0.00671512099628413,1.048197773096712,0.42787878787878786,1.5856527451087765,825,1.0340787756350147,0.977211602769249,0.0568671728657657,0.20296462606544166,0.6845261096359117,0.07566507736705881,1.396942031459368,14.124539425202652,12213,2019-01-03,2026-08-25,0.10665108224150625,0.17237783981714164,-0.15046934009000246,-0.39013614000919317,0.16599695400116588,22514.65279487066,32924.72087788457,0.08564189625233579,-0.04039344534380264,0.280182679948525,0.525,-0.5152183553864129,0.5887817923205229,-0.41064076242822417,0.3903700319700287,-2.3521801980751147,5,0.220037;-0.502919;-0.493556;-0.423118;-0.853647,0.6187052950346849,-0.2603767287744657,21479.393844116996,True,1035.2589507536659,5.0,0.001119069353103066,0.21519608931387602,0.5366462674310869,0.39174902488781477,0.7327817043090362,0.34103267942122145,ES.v.0,0.1374630437438249,27166.369757321878,0.776078781020673,0.18892451035108754,-0.35027692723184667,0.5645169175948181,0.0801360971020586,-0.21095591074990327,0.030125082375349388,1.237933366239619,True,1.0,22514.65279487066,-0.15046934009000246,False,0.30604154819728535,2.9545559159034465,0.0031311940606371103,0.00519159044191897,1881,0.0111355461395927,-0.0074823019793990204,0.011703155875374315,0.008065813797609815,0.00046425253952564536,0.0012520924233380948,0.0004691472461632841,2.1614373774739444,-0.8739116464728051,1.6806154965109725,0.6523142706492323,0.0315641703670638,0.23772548755272527,0.09429149169466818,0.1624310037733232,0.5407274072880041,0.6132222882572917,open,-0.00929365781816961,20.28388583042561,176,0.8613092225310817,0.9979817879908248,False,0,176,run+ledger,0.31625446191285367,this run,0.7244150086602434,0.30966376697477127,False,False,True,True,True,True,4,6,False,True,underpowered,2000.0,,,
