class,tf,rule,symbol,floor,mode,cagr,excess_cagr,ir,vol,max_dd,mar,turnover_yr,weight
us_stocks,1d,ibs,A,0.0,floor,0.11540686526922395,-0.008557987962439784,-0.14959376763235205,0.21970888150967668,-0.43832384904935495,0.2632913210620881,57.55420753381094,0.4429654591406908
us_stocks,1d,ibs,A,0.25,floor,0.12338186200382473,-0.0005829912278390026,-0.1495937676323518,0.22767818805222456,-0.5038340507745529,0.2448859139515236,43.165655650358204,0.5822240943555181
us_stocks,1d,ibs,A,0.5,floor,0.12746459786903874,0.003499744637375013,-0.14959376763235205,0.2499737079578459,-0.5669935583001124,0.2248078412939766,28.77710376690547,0.7214827295703454
us_stocks,1d,ibs,A,0.75,floor,0.12765068978722716,0.0036858365555634265,-0.1495937676323517,0.2832322098218775,-0.633354290314394,0.20154705153076638,14.388551883452735,0.8607413647851727
us_stocks,1d,ibs,A,1.0,floor,0.12396485323166373,0.0,,0.3240960464830032,-0.6920792214184728,0.17911945539643231,0.0,1.0
us_stocks,1d,ibs,A,0.4429654591406908,const,0.06682469182832751,-0.05714016140333622,-0.5222477716519311,0.14356335403602616,-0.38088410754606994,0.17544625912291367,0.0,0.4429654591406908
us_stocks,1d,ibs,AA,0.0,floor,-0.015145513542008437,0.03187558376056343,-0.027878935312861026,0.32807103266457405,-0.750933829902851,-0.020168905619777213,57.6676667133271,0.49669824863623313
us_stocks,1d,ibs,AA,0.25,floor,-0.01571234676122757,0.0313087505413443,-0.0278789353128608,0.3358020044838304,-0.7758097854013891,-0.020252833950912725,43.25075003499533,0.6225236864771748
us_stocks,1d,ibs,AA,0.5,floor,-0.021273490570055564,0.025747606732516304,-0.02787893531286097,0.35787696233549937,-0.8124826073656228,-0.026183318113149893,28.83383335666355,0.7483491243181166
us_stocks,1d,ibs,AA,0.75,floor,-0.03175547848040994,0.01526561882216193,-0.02787893531286068,0.39187932369414163,-0.8462097647936087,-0.03752672186210842,14.416916678331775,0.8741745621590583
us_stocks,1d,ibs,AA,1.0,floor,-0.04702109730257187,0.0,,0.4350211934157217,-0.8763596810684959,-0.053655021241097826,0.0,1.0
us_stocks,1d,ibs,AA,0.49669824863623313,const,-0.000166594538386855,0.04685450276418501,-0.10722874138848748,0.21607426488923298,-0.606021190237721,-0.00027489886669062805,0.0,0.49669824863623313
us_stocks,1d,ibs,AAL,0.0,floor,0.061919807492141876,0.12198443029738004,0.07846386170611727,0.5038855834581928,-0.9258710267761037,0.06687735732237733,56.346292902865976,0.5169779286926995
us_stocks,1d,ibs,AAL,0.25,floor,0.04735102757651566,0.10741565038175382,0.07846386170611738,0.5148209941765601,-0.9394256086997992,0.05040423332939719,42.259719677149484,0.6377334465195246
us_stocks,1d,ibs,AAL,0.5,floor,0.021603016024468902,0.08166763882970707,0.07846386170611734,0.546176265805913,-0.9518332647382184,0.022696218786186627,28.173146451432988,0.7584889643463497
us_stocks,1d,ibs,AAL,0.75,floor,-0.014550530164856523,0.04551409264038164,0.0784638617061175,0.5947304036883035,-0.9625724805404804,-0.015116295613070574,14.086573225716494,0.8792444821731749
