class,tf,rule,pit,n_names,years,exposure,cagr,cashmatch_bench_cagr,cashmatch_excess_cagr,cashmatch_ratio,win_rate,profit_factor,n_trades,sharpe,bench_sharpe,dsharpe,boot_t,dsr,alpha_vs_bh_ann,alpha_vs_bh_t,avg_breadth,bars,start,end,vol,bench_vol,dd,bench_dd,bench_cagr,wealth,bench_wealth,avg_win,avg_loss,boot_se,boot_p_gt0,boot_ci_lo,boot_ci_hi,boot_draws,fold_dsharpe,fold_sd,fold_t,n_folds_scored,fold_edges,cash_w,cashmatch_bench_dd,cashmatch_bench_wealth,cashmatch_beats,edge_wealth,edge_headroom,cost_drag_ann,roe_ann,const_weight,const_mar,mar,vs_constant,index_symbol,index_cagr,index_wealth,index_sharpe,index_vol,index_dd,idx_cash_w,idx_cashmatch_bench_cagr,idx_cashmatch_bench_dd,idx_cashmatch_excess_cagr,idx_cashmatch_ratio,idx_cashmatch_beats,volmatch_k,volmatch_wealth,volmatch_dd,volmatch_beats,alpha_ann,alpha_t,alpha_p,r2,factor_n,beta_Mkt-RF,beta_SMB,beta_HML,beta_RMW,beta_CMA,beta_Mom,beta_ST_Rev,t_Mkt-RF,t_SMB,t_HML,t_RMW,t_CMA,t_Mom,t_ST_Rev,alpha_vs_bh_p,beta_BH,r2_vs_bh,fill,skew,kurtosis,n_trials,sr_star_ann,psr,dsr_pass,n_trials_ledger,n_trials_measured,n_trials_source,trial_dispersion,dispersion_source,rand_sharpe,vs_random,edge_gate_dsharpe,edge_gate_t,edge_gate_vs_random,edge_gate_vs_constant,edge_gate_wealth,edge_gate_headroom,edge_passed,edge_n,edge_powered,edge_rankable,edge_verdict
cme_futures,1d,pivot_center@allow_short=0,False,16,16.236821484367738,0.5175652988019346,0.05342823553987297,0.041007091804542206,0.012421143735330764,1.2123840020931822,0.2821566110397946,1.259588040963683,3895,0.4961151038769755,0.3504342170237875,0.14568088685318797,1.254892036013543,0.04915933589766186,0.028716800891042032,2.2267265900328126,15.790924210026134,4209,2010-06-07,2026-08-17,0.08141661461529032,0.13911964342464056,-0.22486096697891256,-0.5019921481642284,0.05551264640507192,23282.661033800046,24042.061529672756,0.05568772970201905,-0.01737766854923636,0.11609037484688903,0.8745,-0.09798442164704028,0.3608188298771622,2000.0,-0.07011151390590736,0.460061527146859,-0.5494714151732595,13,-0.199530;0.444329;0.271538;-0.725815;-0.354323;0.418329;0.569080;-0.802101;-0.164014;0.062420;0.340665;-0.549379;-0.222649,0.5852273094661339,-0.30668542950590094,19204.03188560927,True,4078.629148190778,5.0,0.0022646149455297746,0.09022255814941427,0.5175652988019346,0.1419755043028065,0.23760564698133432,0.09563014267852782,ES.v.0,0.1295338646772528,72262.96510773766,0.7131405125565154,0.1701492822322521,-0.3318399889371365,0.4785010759208343,0.07220434518156171,-0.17061392516543628,-0.018776109641688743,0.7506219007991577,False,1.0,23282.661033800046,-0.22486096697891256,False,0.023321700411123136,1.2334397646946964,0.21741173688263515,0.10657643604870415,4041,0.12808294383750018,0.02074191710356839,0.034432106947469024,-0.08875570497170901,0.09395070867875974,-0.039353133026969606,-0.08201004197875247,8.356215903101388,1.252624135032476,1.9327145476891847,-3.7554883516640807,2.661961410516357,-3.654692338535014,-5.613634635018185,0.025965552208013998,0.484348757416216,0.6250108866213024,close,-0.29198496136762153,8.860820335611441,1083,0.9086263993332165,0.9765989178506028,False,1064,19,run+ledger,0.27721226208785327,this run,0.35379521720830576,0.14231988666866974,False,False,True,True,True,True,4,6,False,True,underpowered
cme_futures,1d,renko_delta,False,16,16.236821484367738,0.5356999528150633,0.046614360985920866,0.04223678130383135,0.004377579682089516,1.070423874406487,0.37473684210526315,1.3572181605724596,950,0.39922917767399585,0.3504342170237875,0.04879496065020833,0.367402028007224,0.020602349268725006,0.018503261468354334,1.480749342145899,15.790924210026134,4209,2010-06-07,2026-08-17,0.08584458241403886,0.13911964342464056,-0.24361292750078822,-0.5019921481642284,0.05551264640507192,20954.28981039915,24042.061529672756,0.1237688109531688,-0.054654397300410405,0.1328108092240822,0.6185,-0.23101457270311276,0.30182806874788554,2000.0,-0.008458410646566498,0.6089436150054465,-0.05008219569697475,13,-0.326351;1.108596;0.261234;-0.428938;-0.869568;1.062088;0.649205;-0.171187;-0.292724;-0.177360;-0.057728;-0.308137;-0.559089,0.617055796728949,-0.32346580700513905,19575.69362138674,True,1378.5961890124088,5.0,0.0005516065703629271,0.07446954330425037,0.5356999528150633,0.13950808088238265,0.19134600722603295,0.05183792634365031,ES.v.0,0.1295338646772528,72262.96510773766,0.7131405125565154,0.1701492822322521,-0.3318399889371365,0.5045250928350191,0.07519640447175169,-0.17927384165851556,-0.02858204348583082,0.6456707363606828,False,1.0,20954.28981039915,-0.24361292750078822,False,0.012597469454775845,0.6390115440455546,0.5228154220492274,0.1398274761330367,4041,0.1702810510907123,0.00672675466933062,0.044124337258337455,-0.0946512409844881,0.11107021288038371,-0.023849042168352774,-0.06950524507186574,10.79050530263491,0.3826117537729397,2.2528289375366812,-3.751819450412478,3.1324316982581166,-2.17791450815231,-4.739255660956954,0.13867338014048047,0.5301964317406659,0.6953759304617417,close,-0.38244793196083265,8.993519545639526,1083,0.9086263993332165,0.9451956041561727,False,1064,19,run+ledger,0.27721226208785327,this run,0.35391808712079237,0.04531109055320348,False,False,True,True,True,True,4,6,False,True,underpowered
cme_futures,1d,RANDOM_75,False,16,16.236821484367738,0.7540982222022848,0.04878143129064849,0.04821010301358086,0.0005713282770676287,1.0088867443940714,0.5188834154351396,1.4730880600950222,609,0.35539782730372677,0.3504342170237875,0.004963610279939246,0.07798918256719824,0.01313723050002541,0.002717247330300112,0.35023915595019595,15.790924210026134,4209,2010-06-07,2026-08-17,0.10843013279823278,0.13911964342464056,-0.41509323340189774,-0.5019921481642284,0.05551264640507192,21669.978616381515,24042.061529672756,0.12448398721494718,-0.09113899665485578,0.06364485581910573,0.516,-0.12723486074974003,0.12306718002566021,2000.0,-0.02937475533195864,0.27556340045765954,-0.38434779937279645,13,0.453611;-0.009506;0.107932;-0.218702;-0.220811;-0.345269;0.374472;0.236765;-0.322931;-0.173482;-0.058300;0.155946;-0.361597,0.7794020321577958,-0.40431256985888764,21479.09935063753,True,190.87926574398395,2.0,0.00035345097931085555,0.059900622894788036,0.7540982222022848,0.12062519706164242,0.11751921584184867,-0.0031059812197937464,ES.v.0,0.1295338646772528,72262.96510773766,0.7131405125565154,0.1701492822322521,-0.3318399889371365,0.6372647088233185,0.09025464412880235,-0.22242353009581117,-0.04147321283815386,0.5327505837058464,False,1.0,21669.978616381515,-0.41509323340189774,False,-0.005677909384991806,-0.23173373990375587,0.8167448239386359,0.2206309602090778,4041,0.26981283565351477,-0.02842597797531747,0.09845176656293096,-0.10249969931529995,0.1060737905187936,-0.026832701444335055,-0.0010033380943552384,15.411324680636946,-1.2102410027277593,4.092064621168278,-3.5210900186904124,2.9872247050613505,-1.8617119374569704,-0.058732112123514535,0.7261592232385552,0.7536808143797831,0.9198888697130184,close,-0.25246085656333045,5.834253696888621,1083,0.9086263993332165,0.9232838328737166,False,1064,19,run+ledger,0.27721226208785327,this run,0.35539782730372677,0.0,False,False,True,False,True,False,2,6,False,True,underpowered
cme_futures,1d,RANDOM_50,False,16,16.236821484367738,0.5033891328438727,0.03996324597879619,0.03970079177721275,0.0002624542015834397,1.0041065921694432,0.5226130653266332,1.3272034361773044,796,0.3536991677182299,0.3504342170237875,0.003264950694442381,0.024497297611498423,0.012827572887022576,0.004784482501738213,0.530120200788006,15.790924210026134,4209,2010-06-07,2026-08-17,0.07678608484627551,0.13911964342464056,-0.24454303848852066,-0.5019921481642284,0.05551264640507192,18893.746323671956,24042.061529672756,0.08516013368896388,-0.07024389274973503,0.13327799442293972,0.529,-0.26787873378476784,0.2529791358425411,2000.0,-0.00010345275104567824,0.5860538453554069,-0.0006364674533562676,13,0.619469;0.463333;0.208936;-0.245330;-0.780737;0.359840;0.702341;-0.507709;-0.786814;-0.844590;0.531511;0.510346;-0.231941,0.5519427951083674,-0.2888042016720952,18816.474735865126,True,77.27158780683085,1.0,0.00046036460779850955,0.06455050001981966,0.5033891328438727,0.1440582231536769,0.16342009253586726,0.019361869382190366,ES.v.0,0.1295338646772528,72262.96510773766,0.7131405125565154,0.1701492822322521,-0.3318399889371365,0.4512865634159024,0.06906183527272991,-0.16148703234880257,-0.02909858929393372,0.6388580543845744,False,1.0,18893.746323671956,-0.24454303848852066,False,-0.0006890183685655293,-0.04012055162580342,0.9679970171635388,0.18879598548101928,4041,0.17376234769455962,-0.011522976681951597,0.061372066698245784,-0.0718589826099142,0.0777787740052162,-0.022909052961565406,-0.00018107629529944165,13.33826629883097,-0.7393494985073306,3.6726685841028064,-3.845656963436289,3.2648937772203053,-2.2163002979025612,-0.016910019729936047,0.596028593977965,0.49138720494934085,0.7814080224005371,close,-0.15483807954424808,5.659075291578302,1083,0.9086263993332165,0.9225222120684747,False,1064,19,run+ledger,0.27721226208785327,this run,0.3536991677182299,0.0,False,False,True,True,True,False,3,6,False,True,underpowered
cme_futures,1d,BUYHOLD,False,16,16.236821484367738,1.0,0.05550807464082319,0.05551264640507192,-4.571764248728627e-06,0.9999296754322933,0.75,11.188086608591348,16,0.3504030684248131,0.3504342170237875,-3.114859897440647e-05,,0.01263487536818897,-4.9456383480184995e-06,-0.9997852081760038,15.790924210026134,4209,2010-06-07,2026-08-17,0.13911965217537253,0.13911964342464056,-0.501992148164225,-0.5019921481642284,0.05551264640507192,24040.370782088903,24042.061529672756,2.152382147340617,-0.577144838784444,,,,,,,,,13,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000,1.0,-0.5019921481642284,24042.061529672756,False,-1.690747583853458,0.0,4.6191306637328905e-06,0.05550807464082319,1.0,0.11058469063327016,0.1105755833907265,-9.107242543660021e-06,ES.v.0,0.1295338646772528,72262.96510773766,0.7131405125565154,0.1701492822322521,-0.3318399889371365,0.8176329065289596,0.11014327885341979,-0.278361317488915,-0.0546352042125966,0.44068664428927296,False,0.9999999370992392,24040.36969464038,-0.5019921240441241,False,-0.011143793609352267,-0.3621372716740413,0.7172494524106063,0.2514410990150081,4041,0.37127799736304,-0.04358592825718138,0.1265250272783062,-0.1336833112807028,0.17245494758220437,-0.020584785190477815,0.012982422350830882,19.718805601908574,-1.5449694284416626,4.35424268651096,-3.7518014916085494,3.4477497187401918,-1.122446275434038,0.5341596330931914,0.31741446569290765,0.9999975336669044,0.9999999839233535,close,-0.4555852551679655,6.86133917183712,1083,0.9086263993332165,0.9198925925573316,False,1064,19,run+ledger,0.27721226208785327,this run,0.35539782730372677,-0.004994758878913652,False,False,False,False,False,False,0,6,False,True,underpowered
cme_futures,1d,ema_cross_sniper@allow_short=0,False,16,16.236821484367738,0.512924712889075,0.03760788472505339,0.04162788951625762,-0.004020004791204235,0.9391455737988506,0.30032154340836015,1.2471610373908992,1555,0.304146120928577,0.3504342170237875,-0.04628809609521051,-0.29342000587086736,0.00762825860901134,0.018008223647416156,1.3309298636697284,15.790924210026134,4209,2010-06-07,2026-08-17,0.0836434506643943,0.13911964342464056,-0.25257574250035975,-0.5019921481642284,0.05551264640507192,18210.808752882494,24042.061529672756,0.09176699214120784,-0.03158289581202036,0.15775371538770147,0.3365,-0.3655476430007491,0.2577387410541861,2000.0,-0.268494619085116,0.6416264039671541,-1.5087769304879093,13,-0.500981;0.650270;-0.442476;-1.026561;-0.480297;0.595428;0.923525;-0.664734;-0.162911;-0.373647;-0.127007;-1.188010;-0.693028,0.6012339350891375,-0.31516308838618445,19390.826364883607,False,-1180.017612001112,0.0,0.0009049226904393698,0.05933623114712061,0.512924712889075,0.142641624940389,0.1488974529095953,0.00625582796920629,ES.v.0,0.1295338646772528,72262.96510773766,0.7131405125565154,0.1701492822322521,-0.3318399889371365,0.4915886189294752,0.07371065571325586,-0.17497727979228084,-0.03610277098820247,0.5738762550044736,False,1.0,18210.808752882494,-0.25257574250035975,False,0.01243065037239134,0.636105468583446,0.5247076814145848,0.1014141900423221,4041,0.12615949864448778,0.017031918073014685,0.03310474724385458,-0.10721497288886835,0.11152749620973879,-0.03268538276185359,-0.08660058933926762,7.493072504726415,0.937671458747765,1.8356295929876425,-4.056756529953778,3.0856277625928406,-2.790022295039301,-5.687680217748678,0.18321208976136405,0.5007303747560198,0.6248904426203066,close,-0.3640289758408338,9.349873754454705,1083,0.9086263993332165,0.8889127021167285,False,1064,19,run+ledger,0.27721226208785327,this run,0.3537637752858634,-0.04961765435728638,False,False,False,True,False,False,1,6,False,True,underpowered
cme_futures,1d,bb_outside_in@allow_short=0,False,16,16.236821484367738,0.4927759003489581,0.030748927759272737,0.038812318219118014,-0.008063390459845277,0.8811530779123199,0.437892095357591,1.3052694673391623,797,0.24464850692689843,0.3504342170237875,-0.10578571009688909,-0.7308657896837985,0.003786077619924555,-0.001012967388287278,-0.0918308573538952,15.790924210026134,4209,2010-06-07,2026-08-17,0.07367787903003481,0.13911964342464056,-0.2637849564984963,-0.5019921481642284,0.05551264640507192,16351.633878563453,24042.061529672756,0.08054126404591774,-0.04806906504641671,0.14474026776195967,0.239,-0.39054942995745123,0.16870913446825508,2000.0,-0.006332678471236377,0.6084849951467344,-0.03752400982963204,13,-0.289491;0.254399;0.282237;-0.551845;-0.035490;1.354394;0.427991;-0.175941;-0.534553;-0.455705;0.531452;0.142214;-1.031989,0.5296008328970828,-0.2766090099074717,18557.086490924725,False,-2205.452612361272,0.0,0.0004613286763574853,0.046639307127007035,0.4927759003489581,0.145715202366006,0.1165681628226135,-0.029147039543392497,ES.v.0,0.1295338646772528,72262.96510773766,0.7131405125565154,0.1701492822322521,-0.3318399889371365,0.4330190410645708,0.06694475342492345,-0.1553199416751454,-0.036195825665650716,0.5709862179259616,False,1.0,16351.633878563453,-0.2637849564984963,False,-0.005912806975008197,-0.35034791535562954,0.7260776097932466,0.16852273588369948,4041,0.15663403011847402,0.00665338445527365,0.05215568759374038,-0.056039406963003635,0.05940175359594372,-0.028560703544463797,-0.013821849592205048,10.848132438545326,0.45551052725357005,3.3733096602519472,-3.0236054068761433,2.448556892597096,-2.8455429073537384,-1.4223864533902102,0.9268324270154997,0.4398863791694819,0.6900459369829861,close,-0.20875528930780943,5.811421804066858,1083,0.9086263993332165,0.8374414411029445,False,1064,19,run+ledger,0.27721226208785327,this run,0.3536991677182299,-0.10905066079133147,False,False,False,False,False,False,0,6,False,True,underpowered
cme_futures,1d,range_filter@allow_short=0,False,16,16.236821484367738,0.48748365556989937,0.03155168861302293,0.03972430686144879,-0.008172618248425856,0.8797375313521586,0.38666666666666666,1.266078125678129,750,0.24776962005089262,0.3504342170237875,-0.1026645969728949,-0.562860294686547,0.003997843516813315,0.009699578462895084,0.7391157679762713,15.790924210026134,4209,2010-06-07,2026-08-17,0.07686879501527878,0.13911964342464056,-0.20401079879054562,-0.5019921481642284,0.05551264640507192,16559.639058305627,24042.061529672756,0.11061151605927286,-0.05507823385187686,0.1823980087813231,0.2785,-0.5106708537217246,0.24776131511626573,2000.0,-0.08076821829097382,0.5467278471516617,-0.5326488379787835,13,-0.600704;0.880341;0.599627;-0.540901;-0.113546;0.628940;0.483147;-0.802851;-0.433654;-0.199621;-0.330646;-0.494186;-0.125932,0.552537320561188,-0.2891266000931896,18823.385916994383,False,-2263.7468586887553,0.0,0.0004352888656009076,0.049243605832097304,0.48748365556989937,0.14657505145448826,0.15465695345576538,0.00808190200127712,ES.v.0,0.1295338646772528,72262.96510773766,0.7131405125565154,0.1701492822322521,-0.3318399889371365,0.4517726669593213,0.06911808727603286,-0.1616506927493273,-0.037566398663009926,0.5594562512507895,False,1.0,16559.639058305627,-0.20401079879054562,False,0.004703459754358781,0.2566179961408992,0.7974736812133612,0.11485473193418627,4041,0.13185530708135149,0.011933292426836092,0.041080276576073035,-0.08654675719955131,0.07024208742289346,-0.028521925068317196,-0.06913206184857136,8.140776491386289,0.7572065851567051,2.361516973659174,-3.828242404221043,2.1433559550181154,-2.709517550022184,-5.1060894152230505,0.45983670287391787,0.44852990178597124,0.6117112659122732,close,-0.47675423165085123,9.162974153584356,1083,0.9086263993332165,0.8399827711199465,False,1064,19,run+ledger,0.27721226208785327,this run,0.3536991677182299,-0.10592954766733728,False,False,False,True,False,False,1,6,False,True,underpowered
cme_futures,1d,pivot_center,False,16,16.236821484367738,0.9950997861724875,0.03806835871729741,0.04746960595003347,-0.009401247232736054,0.8638236834730976,0.27099922938607757,1.0985803160589585,7786,0.2648536240350691,0.3504342170237875,-0.0855805929887184,-0.2713756139691645,0.0047015667979834475,0.0529415080481371,2.054693881670244,15.790924210026134,4209,2010-06-07,2026-08-17,0.10552356596873536,0.13911964342464056,-0.20092129681113813,-0.5019921481642284,0.05551264640507192,18342.473958424496,24042.061529672756,0.05274543982122011,-0.017848148608817324,0.315358449998542,0.387,-0.7225463911403455,0.5344908582613542,2000.0,-0.08162293507142612,1.4589452928985032,-0.20171810354123304,13,-0.942030;2.559156;0.956833;-0.776842;-1.148839;1.578760;1.077156;-2.666836;-1.081873;1.106227;0.283813;-0.779085;-1.227538,0.7585094625828035,-0.3943454649959547,21234.048463080537,False,-2891.5745046560405,0.0,0.004528652499726597,0.03825290129366676,0.9950997861724875,0.11072855328328979,0.1894690076238204,0.07874045434053062,ES.v.0,0.1295338646772528,72262.96510773766,0.7131405125565154,0.1701492822322521,-0.3318399889371365,0.6201822575113584,0.08833624188114575,-0.2169656901080831,-0.05026788316384834,0.46402583053345503,False,1.0,18342.473958424496,-0.20092129681113813,False,0.05324287599711712,2.0592884929692534,0.03946661015278141,0.11410370703918848,4041,-0.11077004283801396,0.0862167931213629,-0.0550845036464759,-0.0452753733111383,0.020892317706307305,-0.05478599014206026,-0.17666122489447203,-4.839348263259265,4.266334766944203,-2.04761651039136,-1.4968711720752634,0.5071167522505128,-3.341949347852363,-9.58609870296598,0.03990858127969732,-0.027055509375002885,0.11506197440528854,close,0.1900159348067116,10.022369451543485,1083,0.9086263993332165,0.8573398418341215,False,1064,19,run+ledger,0.27721226208785327,this run,0.35539782730372677,-0.09054420326865764,False,False,False,True,False,False,1,6,False,True,underpowered
cme_futures,1d,heikin_reversal,False,16,16.236821484367738,0.5137189511209469,0.03263482910083493,0.04265049706503432,-0.010015667964199393,0.8549396875907797,0.5124458874458875,1.1306584945937128,3696,0.23998888056111323,0.3504342170237875,-0.11044533646267429,-0.746236065082,0.003681815605881711,-0.009344962566307688,-0.7605622258324233,15.790924210026134,4209,2010-06-07,2026-08-17,0.08734998406271546,0.13911964342464056,-0.3384337903471498,-0.5019921481642284,0.05551264640507192,16844.231388164797,24042.061529672756,0.03163919689979114,-0.029411636464356208,0.1480032145733107,0.2295,-0.37587120348635233,0.19964975522057823,2000.0,-0.018658416618393882,0.6848272108373209,-0.098234820071379,13,-0.415158;-0.692637;0.650883;0.637798;1.004404;-0.592133;0.122015;-0.894587;-0.628378;-0.153354;-0.159810;1.196007;-0.317609,0.6278767103800974,-0.3291002592025386,19702.24523747616,False,-2858.013849311365,0.0,0.002159580463380326,0.049580093472820774,0.5137189511209469,0.14252656309179051,0.09642899152404262,-0.046097571567747894,ES.v.0,0.1295338646772528,72262.96510773766,0.7131405125565154,0.1701492822322521,-0.3318399889371365,0.5133726273583898,0.07621071294432724,-0.18220296362829058,-0.043575883843492313,0.5111404568138249,False,1.0,16844.231388164797,-0.3384337903471498,False,-0.015116746739306082,-0.7200151138402185,0.4715156899796107,0.20012754198456673,4041,0.2036566622956683,-0.03103053734785302,0.08369475482743262,-0.040003004555906,0.057817786811541136,0.0029929923659432825,0.03999613015245408,13.274446825301554,-1.855514401266705,3.917133133862061,-1.6480285154018048,1.6044837801932677,0.22361628288122296,2.0521666831123646,0.44691858910785287,0.518165788139012,0.709003748148719,close,-0.658385484787103,13.115149671389629,1083,0.9086263993332165,0.8319471992758779,False,1064,19,run+ledger,0.27721226208785327,this run,0.353769156584121,-0.11378027602300778,False,False,False,False,False,False,0,6,False,True,underpowered
