class,tf,rule,pit,n_names,years,exposure,cagr,cashmatch_bench_cagr,cashmatch_excess_cagr,cashmatch_ratio,win_rate,profit_factor,n_trades,sharpe,bench_sharpe,dsharpe,boot_t,dsr,alpha_vs_bh_ann,alpha_vs_bh_t,avg_breadth,bars,start,end,vol,bench_vol,dd,bench_dd,bench_cagr,wealth,bench_wealth,avg_win,avg_loss,boot_se,boot_p_gt0,boot_ci_lo,boot_ci_hi,fold_dsharpe,fold_sd,fold_t,n_folds_scored,fold_edges,cash_w,cashmatch_bench_dd,cashmatch_bench_wealth,cashmatch_beats,edge_wealth,edge_headroom,cost_drag_ann,roe_ann,const_weight,const_mar,mar,vs_constant,index_symbol,index_cagr,index_wealth,index_sharpe,index_vol,index_dd,idx_cash_w,idx_cashmatch_bench_cagr,idx_cashmatch_bench_dd,idx_cashmatch_excess_cagr,idx_cashmatch_ratio,idx_cashmatch_beats,volmatch_k,volmatch_wealth,volmatch_dd,volmatch_beats,alpha_ann,alpha_t,alpha_p,r2,factor_n,beta_Mkt-RF,beta_SMB,beta_HML,beta_RMW,beta_CMA,beta_Mom,beta_ST_Rev,t_Mkt-RF,t_SMB,t_HML,t_RMW,t_CMA,t_Mom,t_ST_Rev,alpha_vs_bh_p,beta_BH,r2_vs_bh,fill,skew,kurtosis,n_trials,sr_star_ann,psr,dsr_pass,n_trials_ledger,n_trials_measured,n_trials_source,trial_dispersion,dispersion_source,rand_sharpe,vs_random,edge_gate_dsharpe,edge_gate_t,edge_gate_vs_random,edge_gate_vs_constant,edge_gate_wealth,edge_gate_headroom,edge_passed,edge_n,edge_powered,edge_rankable,edge_verdict,boot_draws,edge_t_bar_corrected,edge_t_bar_source,edge_t_uncorrected_pass
cme_futures,1d,TSF_100~MININDEX|vote,False,16,13.250332888682383,0.557372948833345,0.07265350627399658,0.03225695169397236,0.040396554580024224,1.663048004015797,0.3126156122826489,1.4413586191472574,2703,0.8745320821852337,0.41896555884640996,0.45556652333882375,2.0743738025195415,0.35570286362916803,0.06450576430349435,4.0448645695716,15.78246942341293,3434,2013-06-07,2026-08-25,0.08426625970397705,0.13642089275325242,-0.13288568024528558,-0.49401346331871077,0.048985400641817556,25327.82758104687,18845.25618032074,0.060222344313719554,-0.019001881586473195,0.21961640799044563,0.99,0.06241335921910504,0.906640059016245,0.23055350898200683,0.8221868079300118,0.8867500717541215,10,-0.080711;-0.399615;1.803037;1.472349;-0.443714;-0.257420;-0.064040;0.775814;-0.115377;-0.384787,0.6176932140181149,-0.33627061730156427,15229.763374170338,True,10098.064206876534,20.0,0.0019245022167905625,0.13409190582405328,0.557372948833345,0.09537596439538622,0.5467369105526638,0.4513609461572776,ES.v.0,0.11677255658758834,43206.45956885908,0.7439556479412763,0.16730592804282068,-0.3318399889371364,0.5036657139991462,0.06091712696031326,-0.17924942337456495,0.01173637931368332,1.1569378782298354,True,1.0,25327.82758104687,-0.13288568024528558,True,0.06454555749397826,2.914448439900399,0.00356317662022132,0.07055005722441166,3285,0.09662079026118608,-0.00400088785172769,0.04824856455347122,-0.09617175097050913,0.06735579291306001,-0.056608368830637835,-0.05967018394685873,6.359686227431304,-0.23005861802919259,2.5773152243721373,-3.689416950693773,1.7746840121237761,-4.735024295555275,-4.070631604523264,5.23533797853748e-05,0.48892778060058717,0.5556836603372921,close,0.017349198600835506,9.136810810014126,1608,0.9764407410909766,0.999250554096309,False,1068,540,run+ledger,0.28821920329202244,this run,0.28270969882413627,0.5918223833610974,True,False,True,True,True,True,5,6,False,True,underpowered,2000.0,,,
cme_futures,1d,TSF_100~TSF_21|or,False,16,13.250332888682383,0.9940666860803727,0.08055130321755266,0.040204271424471694,0.04034703179308097,1.6557129816037384,0.2620345140781108,1.278815357499145,4404,0.7710498511711337,0.41896555884640996,0.3520842923247237,0.7543741974304647,0.22619892266174535,0.11806429565385218,3.9963622736731628,15.78246942341293,3434,2013-06-07,2026-08-25,0.10804632880167374,0.13642089275325242,-0.1556592453688671,-0.49401346331871077,0.048985400641817556,27913.39344414716,18845.25618032074,0.0691856395794598,-0.0192101415414852,0.46672366780834584,0.763,-0.48652878236165725,1.3165925350916272,-0.06041770914749931,1.7977585250814103,-0.10627543646721736,10,0.194719;-1.469902;3.308894;2.037154;-2.330458;-1.451825;0.622408;0.509332;-0.120150;-1.904349,0.792007196413086,-0.4125272403948891,16858.835893833482,True,11054.557550313679,10.0,0.003134497711175439,0.08105107172601378,0.9940666860803727,0.09911178873182866,0.5174848626990932,0.41837307396726453,ES.v.0,0.11677255658758834,43206.45956885908,0.7439556479412763,0.16730592804282068,-0.3318399889371364,0.6458009591508324,0.07738209955964237,-0.22531624984961907,0.003169203657910291,1.0396869677262042,True,1.0,27913.39344414716,-0.1556592453688671,True,0.11806685606788925,4.004596025378786,6.212355255641455e-05,0.11257992858076671,3285,-0.12814834236657333,0.06846197073311291,-0.04854371943908986,-0.02917073640586325,-0.027766461888558497,-0.08593937110431041,-0.14615866726266694,-4.838185346711017,2.8131954827135206,-1.637483425002381,-0.8890538173270478,-0.5514616950965053,-4.812428725071923,-7.3855052819060605,6.4323275380751e-05,0.03145908979156573,0.11379108445776143,close,0.32834491817647654,10.420326886121334,1608,0.9764407410909766,0.9976054632398339,False,1068,540,run+ledger,0.28821920329202244,this run,0.4087612140964723,0.36228863707466136,False,False,True,True,True,True,4,6,False,True,underpowered,2000.0,,,
cme_futures,1d,TSF_100~ADX|or,False,16,13.250332888682383,0.9864953407105417,0.0796900884824101,0.04007914623603637,0.03961094224637374,1.640926091320609,0.26011288805268107,1.2802930770747187,4252,0.7660262053910687,0.41896555884640996,0.34706064654465874,0.7383002268252828,0.22069067830841527,0.11624363276581416,3.9496225566219363,15.78246942341293,3434,2013-06-07,2026-08-25,0.10765921127379116,0.13642089275325242,-0.15565924536886655,-0.49401346331871077,0.048985400641817556,27620.043174717277,18845.25618032074,0.07073944241392363,-0.01942444611528667,0.4700806446139558,0.755,-0.5010248157174386,1.318500973409578,-0.06041770914749931,1.7977585250814103,-0.10627543646721736,10,0.194719;-1.469902;3.308894;2.037154;-2.330458;-1.451825;0.622408;0.509332;-0.120150;-1.904349,0.789169526023531,-0.41134561238533873,16831.984890001233,True,10788.058284716042,10.0,0.003026953243276286,0.08082396047255025,0.9864953407105417,0.0990525798902378,0.5119521702264974,0.4128995903362596,ES.v.0,0.11677255658758834,43206.45956885908,0.7439556479412763,0.16730592804282068,-0.3318399889371364,0.6434871288376381,0.07711691979227764,-0.22458181590405835,0.0025731686901324657,1.0321216236906758,True,1.0,27620.043174717277,-0.15565924536886655,True,0.11624606246990833,3.9581478029472814,7.553321454700779e-05,0.11350775666020196,3285,-0.1283065939243816,0.07087234081042507,-0.047068356508949485,-0.028141899364211055,-0.0300785595926371,-0.08453565223416723,-0.1465874938693573,-4.852450643379673,2.911981966181597,-1.5883140109627867,-0.8575626965617841,-0.5980564369672358,-4.733524640625903,-7.407507416616168,7.827452520858813e-05,0.029853093351108546,0.11460682894596685,close,0.3338687732890637,10.554293858497633,1608,0.9764407410909766,0.9974663909248628,False,1068,540,run+ledger,0.28821920329202244,this run,0.4087612140964723,0.3572649912945964,False,False,True,True,True,True,4,6,False,True,underpowered,2000.0,,,
cme_futures,1d,MININDEX~LINEARREG_100|vote,False,16,13.250332888682383,0.5582866063755697,0.0711754949419483,0.03223623912292539,0.03893925581902291,1.6333737992715922,0.3013848396501458,1.4254431138415136,2744,0.8587160882616235,0.41896555884640996,0.43975052941521353,2.1086555865596575,0.33453103367898124,0.06280763832840804,3.9425319378630057,15.78246942341293,3434,2013-06-07,2026-08-25,0.08420627397851835,0.13642089275325242,-0.12215979529846899,-0.49401346331871077,0.048985400641817556,24869.283467120094,18845.25618032074,0.061972925103546295,-0.018755796049764104,0.20854545057909685,0.99,0.060063380551441066,0.8667367801464445,0.19501758323724905,0.7615413985101835,0.8098046252214789,10,-0.223171;-0.418497;1.633755;1.264909;-0.486236;-0.227829;0.076561;0.827155;-0.202900;-0.293571,0.6172535033238945,-0.336068614952061,15225.714700585148,True,9643.568766534949,10.0,0.0019547137219174953,0.13106144743801118,0.5582866063755697,0.09538435513742072,0.5826425524702916,0.4872581973328709,ES.v.0,0.11677255658758834,43206.45956885908,0.7439556479412763,0.16730592804282068,-0.3318399889371364,0.5033071748477818,0.06087515308457814,-0.17913075678626833,0.010300341857370165,1.1365879507415952,True,1.0,24869.283467120094,-0.12215979529846899,True,0.062847296305198,2.8414782598507435,0.004490491352518777,0.07078757837343996,3285,0.09642547419258854,-0.0036297696764553966,0.04687198866194475,-0.09887385128552176,0.06932442731561572,-0.056484359324155735,-0.060800819763453216,6.358797063267197,-0.2069258414068515,2.4683185005788375,-3.8077905961433367,1.8169644304459656,-4.709147432496133,-4.101133276671072,8.062590955848492e-05,0.48726644783276396,0.5532341354969126,close,0.01847007959128255,9.178885810451318,1608,0.9764407410909766,0.9990890709408462,False,1068,540,run+ledger,0.28821920329202244,this run,0.2827534850067413,0.5759626032548821,True,False,True,True,True,True,5,6,False,True,underpowered,2000.0,,,
cme_futures,1d,LINEARREG_100~TSF_21|or,False,16,13.250332888682383,0.9940666860803727,0.07821410780626814,0.04027129482331859,0.03794281298294955,1.6075108630171087,0.24899328859060402,1.2707878070494474,4470,0.749771112118619,0.41896555884640996,0.33080555327220906,0.7369206628211029,0.20349744643488338,0.11526270622521381,3.906321711095986,15.78246942341293,3434,2013-06-07,2026-08-25,0.10825386934909065,0.13642089275325242,-0.15541269138421643,-0.49401346331871077,0.048985400641817556,27123.908453384953,18845.25618032074,0.07211358436888009,-0.018814291407342552,0.4489025345086794,0.758,-0.49685511625153395,1.2566179552579304,-0.08932925313217004,1.7285355861388458,-0.16342382757093946,10,-0.006403;-1.545027;3.125134;1.855950;-2.336666;-1.378405;0.806652;0.567551;-0.257886;-1.724191,0.7935285216531451,-0.41315993586138255,16873.234935704615,True,10250.673517680338,10.0,0.0031836002511241323,0.07869885399093945,0.9940666860803727,0.09911178873182866,0.5032671856438328,0.4041553969120041,ES.v.0,0.11677255658758834,43206.45956885908,0.7439556479412763,0.16730592804282068,-0.3318399889371364,0.6470414444692234,0.0775242273156731,-0.2257097831503998,0.0006898804905950406,1.0085168204755268,True,1.0,27123.908453384953,-0.15541269138421643,True,0.11526506537302801,3.9138330185389525,9.084246779433869e-05,0.11362497344144706,3285,-0.12816423408495295,0.06928798756880396,-0.05074743434816587,-0.03415130015780894,-0.02419455912642505,-0.0857268671584279,-0.14828939130387858,-4.844924634600275,2.8188790744036774,-1.6921865502380145,-1.0370966363638627,-0.4803217065659122,-4.799839947584747,-7.536114674704109,9.371172895411561e-05,0.02898618811020736,0.11464959277872067,close,0.3274821090266942,10.432757208165386,1608,0.9764407410909766,0.9969539439805749,False,1068,540,run+ledger,0.28821920329202244,this run,0.4087612140964723,0.3410098980221467,False,False,True,True,True,True,4,6,False,True,underpowered,2000.0,,,
cme_futures,1d,LINEARREG_100~ADX|or,False,16,13.250332888682383,0.9864953407105417,0.07735475584906126,0.04014646563099533,0.03720829021806593,1.5931482867670357,0.24664196387216303,1.2720763255616956,4318,0.7446760682403526,0.41896555884640996,0.32571050939394264,0.7206215054840858,0.19824821559296296,0.11344204333717578,3.8593371746050735,15.78246942341293,3434,2013-06-07,2026-08-25,0.10786743227583467,0.13642089275325242,-0.15541269138421587,-0.49401346331871077,0.048985400641817556,26838.85511980436,18845.25618032074,0.07385916867386522,-0.019008891399727612,0.4519855526309097,0.7485,-0.5073196568559459,1.2552613807984998,-0.08932925313217004,1.7285355861388458,-0.16342382757093946,10,-0.006403;-1.545027;3.125134;1.855950;-2.336666;-1.378405;0.806652;0.567551;-0.257886;-1.724191,0.7906958391698621,-0.4119814214438058,16846.426250922475,True,9992.428868881881,10.0,0.0030760557832249786,0.07845420723848062,0.9864953407105417,0.0990525798902378,0.4977377018574534,0.3986851219672156,ES.v.0,0.11677255658758834,43206.45956885908,0.7439556479412763,0.16730592804282068,-0.3318399889371364,0.6447316812840417,0.07725956547971036,-0.22497691317382873,9.519036935090597e-05,1.0011714790173778,True,1.0,26838.85511980436,-0.15541269138421587,True,0.11344427177504707,3.8670699228903795,0.0001101508525658268,0.11455540162367717,3285,-0.12832248564276122,0.07169835764611607,-0.049272071418025414,-0.03312246311615677,-0.026506656830503746,-0.08432314828828473,-0.14871821791056894,-4.859276610054621,2.917008526159595,-1.643480607202466,-1.0057081911368324,-0.5267951777472867,-4.721125237980472,-7.558518552189896,0.00011369498047186788,0.027380191669750167,0.115476663121027,close,0.3329511531175384,10.566478198889481,1608,0.9764407410909766,0.9967785506661497,False,1068,540,run+ledger,0.28821920329202244,this run,0.4087612140964723,0.3359148541438803,False,False,True,True,True,True,4,6,False,True,underpowered,2000.0,,,
cme_futures,1d,TSF_100~MININDEX|or,False,16,13.250332888682383,0.9891416715200932,0.07600041969306615,0.04026111705708302,0.03573930263598313,1.564528135117027,0.25639204545454547,1.2681766347363659,4224,0.7309600120169552,0.41896555884640996,0.3119944531705452,0.6608134818352945,0.18455113561810127,0.11265074736251374,3.7935502453663745,15.78246942341293,3434,2013-06-07,2026-08-25,0.10822234536654432,0.13642089275325242,-0.15565924536886688,-0.49401346331871077,0.048985400641817556,26395.228721586074,18845.25618032074,0.07166040716989065,-0.019483189038078698,0.4721369368918365,0.728,-0.5514170114589969,1.2797201218580347,-0.06041770914749931,1.7977585250814103,-0.10627543646721736,10,0.194719;-1.469902;3.308894;2.037154;-2.330458;-1.451825;0.622408;0.509332;-0.120150;-1.904349,0.7932974428065688,-0.41306386954638186,16871.04765272355,True,9524.181068862523,10.0,0.0030062933849693435,0.07686599372657743,0.9891416715200932,0.0990733005043707,0.48824867108257775,0.38917537057820706,ES.v.0,0.11677255658758834,43206.45956885908,0.7439556479412763,0.16730592804282068,-0.3318399889371364,0.646853023276292,0.07750264087699188,-0.22565001757437142,-0.0015022211839257338,0.9816837221580011,False,1.0,26395.228721586074,-0.15565924536886688,True,0.1126543169072366,3.8021907264159593,0.00014342224675401027,0.11175996302435642,3285,-0.12639545926023638,0.06712521342724627,-0.045517824015318765,-0.03407219122708082,-0.029406984887354076,-0.08537378467372018,-0.14810091836263223,-4.744808028663813,2.748103595128691,-1.5331869041901183,-1.0375299766558135,-0.5840400882252202,-4.777096556358492,-7.487629472188308,0.00014850856291692693,0.04385799574871579,0.11410650241959708,close,0.336832874936261,10.370074945632808,1608,0.9764407410909766,0.9962569640764632,False,1068,540,run+ledger,0.28821920329202244,this run,0.4087612140964723,0.32219879792048284,False,False,True,True,True,True,4,6,False,True,underpowered,2000.0,,,
cme_futures,1d,TSF_100,False,16,13.250332888682383,0.9709522422830519,0.07560863039717813,0.03995214447500528,0.035656485922172854,1.5631372375031516,0.25493930016662697,1.2708105081955967,4201,0.7331182125800522,0.41896555884640996,0.3141526537336422,0.6640121756449728,0.18666835274230226,0.11276579220089436,3.836074974977266,15.78246942341293,3434,2013-06-07,2026-08-25,0.10726673590770332,0.13642089275325242,-0.15565924536886688,-0.49401346331871077,0.048985400641817556,26268.16429179581,18845.25618032074,0.07182840546038914,-0.019340182214436057,0.4731127910847377,0.729,-0.5514109859545638,1.2807374617867753,-0.06041770914749931,1.7977585250814103,-0.10627543646721736,10,0.194719;-1.469902;3.308894;2.037154;-2.330458;-1.451825;0.622408;0.509332;-0.120150;-1.904349,0.7862925813109808,-0.41014565447609186,16804.77162309483,True,9463.392668700979,10.0,0.002990020208905656,0.07795659048235648,0.9709522422830519,0.09893031907904563,0.48573170336273824,0.3868013842836926,ES.v.0,0.11677255658758834,43206.45956885908,0.7439556479412763,0.16730592804282068,-0.3318399889371364,0.6411412743262104,0.07684797125849285,-0.22383669707275078,-0.0012393408613147194,0.9848572741680994,False,1.0,26268.16429179581,-0.15565924536886688,True,0.11276820994436598,3.844465382493669,0.0001208155376573039,0.11371198726587395,3285,-0.12714677533784097,0.06908958297606405,-0.04647441412859258,-0.031077766451132006,-0.02830889365926927,-0.08463451355756588,-0.1471389681630379,-4.788944837679835,2.840843838845532,-1.5675959646453284,-0.9484552465659036,-0.5627567859601883,-4.740305667398206,-7.4396382114630875,0.00012501625715621856,0.029706136533167612,0.1148080985017681,close,0.3392765918727184,10.699333406792848,1608,0.9764407410909766,0.9963435493765298,False,1068,540,run+ledger,0.28821920329202244,this run,0.4087612140964723,0.32435699848357985,False,False,True,True,True,True,4,6,False,True,underpowered,2000.0,,,
cme_futures,1d,TSF_100~ADX|gate,False,16,13.250332888682383,0.9709522422830519,0.07560863039717813,0.03995214447500528,0.035656485922172854,1.5631372375031516,0.25493930016662697,1.2708105081955967,4201,0.7331182125800522,0.41896555884640996,0.3141526537336422,0.6640121756449728,0.18666835274230226,0.11276579220089436,3.836074974977266,15.78246942341293,3434,2013-06-07,2026-08-25,0.10726673590770332,0.13642089275325242,-0.15565924536886688,-0.49401346331871077,0.048985400641817556,26268.16429179581,18845.25618032074,0.07182840546038914,-0.019340182214436057,0.4731127910847377,0.729,-0.5514109859545638,1.2807374617867753,-0.06041770914749931,1.7977585250814103,-0.10627543646721736,10,0.194719;-1.469902;3.308894;2.037154;-2.330458;-1.451825;0.622408;0.509332;-0.120150;-1.904349,0.7862925813109808,-0.41014565447609186,16804.77162309483,True,9463.392668700979,10.0,0.002990020208905656,0.07795659048235648,0.9709522422830519,0.09893031907904563,0.48573170336273824,0.3868013842836926,ES.v.0,0.11677255658758834,43206.45956885908,0.7439556479412763,0.16730592804282068,-0.3318399889371364,0.6411412743262104,0.07684797125849285,-0.22383669707275078,-0.0012393408613147194,0.9848572741680994,False,1.0,26268.16429179581,-0.15565924536886688,True,0.11276820994436598,3.844465382493669,0.0001208155376573039,0.11371198726587395,3285,-0.12714677533784097,0.06908958297606405,-0.04647441412859258,-0.031077766451132006,-0.02830889365926927,-0.08463451355756588,-0.1471389681630379,-4.788944837679835,2.840843838845532,-1.5675959646453284,-0.9484552465659036,-0.5627567859601883,-4.740305667398206,-7.4396382114630875,0.00012501625715621856,0.029706136533167612,0.1148080985017681,close,0.3392765918727184,10.699333406792848,1608,0.9764407410909766,0.9963435493765298,False,1068,540,run+ledger,0.28821920329202244,this run,0.4087612140964723,0.32435699848357985,False,False,True,True,True,True,4,6,False,True,underpowered,2000.0,,,
cme_futures,1d,TSF_100~DEMA_50|gate,False,16,13.250332888682383,0.9709522422830519,0.07560863039717813,0.03995214447500528,0.035656485922172854,1.5631372375031516,0.25493930016662697,1.2708105081955967,4201,0.7331182125800522,0.41896555884640996,0.3141526537336422,0.6640121756449728,0.18666835274230226,0.11276579220089436,3.836074974977266,15.78246942341293,3434,2013-06-07,2026-08-25,0.10726673590770332,0.13642089275325242,-0.15565924536886688,-0.49401346331871077,0.048985400641817556,26268.16429179581,18845.25618032074,0.07182840546038914,-0.019340182214436057,0.4731127910847377,0.729,-0.5514109859545638,1.2807374617867753,-0.06041770914749931,1.7977585250814103,-0.10627543646721736,10,0.194719;-1.469902;3.308894;2.037154;-2.330458;-1.451825;0.622408;0.509332;-0.120150;-1.904349,0.7862925813109808,-0.41014565447609186,16804.77162309483,True,9463.392668700979,10.0,0.002990020208905656,0.07795659048235648,0.9709522422830519,0.09893031907904563,0.48573170336273824,0.3868013842836926,ES.v.0,0.11677255658758834,43206.45956885908,0.7439556479412763,0.16730592804282068,-0.3318399889371364,0.6411412743262104,0.07684797125849285,-0.22383669707275078,-0.0012393408613147194,0.9848572741680994,False,1.0,26268.16429179581,-0.15565924536886688,True,0.11276820994436598,3.844465382493669,0.0001208155376573039,0.11371198726587395,3285,-0.12714677533784097,0.06908958297606405,-0.04647441412859258,-0.031077766451132006,-0.02830889365926927,-0.08463451355756588,-0.1471389681630379,-4.788944837679835,2.840843838845532,-1.5675959646453284,-0.9484552465659036,-0.5627567859601883,-4.740305667398206,-7.4396382114630875,0.00012501625715621856,0.029706136533167612,0.1148080985017681,close,0.3392765918727184,10.699333406792848,1608,0.9764407410909766,0.9963435493765298,False,1068,540,run+ledger,0.28821920329202244,this run,0.4087612140964723,0.32435699848357985,False,False,True,True,True,True,4,6,False,True,underpowered,2000.0,,,
