class,timeframe,n_assets,n_candidates,n_transforms,n_trials,n_folds,years_oos,noise_ceiling,oos_start,oos_end,seconds
us_etfs,1d,10,12,8,96,24,22.088875298871415,0.492543865663596,2003-01-03,2026-08-07,10.652262926101685
us_etfs,4h,10,12,8,96,4,3.4568103480836365,1.2450704893120355,2023-02-10,2026-08-07,4.049638986587524
crypto,1d,20,12,8,96,6,5.9388749823844265,0.9499037992685333,2020-08-29,2026-08-08,7.918474912643433
crypto,4h,20,12,8,96,4,3.5899617386303473,1.2217625429343129,2023-01-07,2026-08-08,22.19405770301819
