class,tf,alpha,vwap_proxy,ic_mean,ic_std,icir,ic_t,ic_days,ic_hit,exposure,turnover_yr,gross_cagr,net_cagr,gross_sharpe,net_sharpe,net_sharpe_openfill,net_cagr_openfill,bench_sharpe,bench_sharpe_openfill,bench_cagr,sharpe_edge,sharpe_edge_openfill,formula,excluded_because
us_stocks,1d,alpha001,False,-0.008751297821148219,0.160258145275671,-0.05460750719468588,-3.8380959367331204,4940,0.4797570850202429,0.16400894683692277,170.15856927371271,0.0573902069254999,0.048435404351115485,0.3843020872316457,0.34055736200964976,0.27852074426095363,0.036049602681810455,0.4849588738496671,0.6530194908203413,0.08703614508398805,-0.14440151184001737,-0.37449874655938764,"(rank(Ts_ArgMax(SignedPower(((returns < 0) ? stddev(returns, 20) : close), 2.), 5)) - 0.5)",
us_stocks,1d,alpha002,False,0.0043155943174346635,0.11153354105487427,0.03869324219977379,2.7357517783344023,4999,0.5191038207641528,0.07822333527200757,122.54428534218215,0.0810697005278731,0.07446839895158863,0.48464620088047444,0.45456227252568276,0.4084779476198696,0.06428668824767181,0.4849588738496671,0.6530194908203413,0.08703614508398805,-0.030396601323984362,-0.24454154320047167,"(-1 * correlation(rank(delta(log(volume), 2)), rank(((close - open) / open)), 6))",
us_stocks,1d,alpha003,False,0.004139185436098036,0.11148842212740145,0.037126594467074385,2.6228828848163404,4991,0.5129232618713685,0.07309669933477432,95.79688850853442,0.0969159369890753,0.09167612622078769,0.5491840870402601,0.526118856284144,0.5284122097699769,0.09179200428683676,0.4849588738496671,0.6530194908203413,0.08703614508398805,0.04115998243447688,-0.12460728105036434,"(-1 * correlation(rank(open), rank(volume), 10))",
us_stocks,1d,alpha004,False,0.009041442280431676,0.16358341721342326,0.0552711419925623,3.906305311944281,4995,0.5149149149149149,0.08812648836650781,139.30724296211915,0.10748798718656105,0.09980313358396975,0.5605935620750745,0.530126449496068,0.5890096627283574,0.1139435832411102,0.4849588738496671,0.6530194908203413,0.08703614508398805,0.04516757564640089,-0.06400982809198386,"(-1 * Ts_Rank(rank(low), 9))",
us_stocks,1d,alpha006,False,0.004442814665070083,0.14062764711054299,0.03159275403063329,2.231933605023975,4991,0.5107192947305149,0.07807865809020333,101.14157869931341,0.1059114999913946,0.10033471005484085,0.5768824734628518,0.5532963045485229,0.5360243039196131,0.09619326718705423,0.4849588738496671,0.6530194908203413,0.08703614508398805,0.06833743069885573,-0.11699518690072819,"(-1 * correlation(open, volume, 10))",
us_stocks,1d,alpha007,False,-0.0011729055422134479,0.11764260294085199,-0.00997007472542203,-0.5696918495551607,3265,0.46462480857580396,0.3792104676834579,0.1298109808681083,0.07743835119012465,0.07743138616289569,0.4836210476427564,0.48358767034791134,0.480929193749843,0.07650090464466852,0.4849588738496671,0.6530194908203413,0.08703614508398805,-0.001371203501755791,-0.17209029707049828,"((adv20 < volume) ? ((-1 * ts_rank(abs(delta(close, 7)), 60)) * sign(delta(close, 7))) : (-1 * 1))",
us_stocks,1d,alpha008,False,0.00841851321171257,0.17775449623273087,0.047360339063887064,3.3404989954085567,4975,0.5206030150753769,0.07776904892114225,117.00917004188118,0.10143743015495743,0.09501436302806399,0.5343528624028124,0.5089681694025309,0.6052337268119147,0.12098893792924992,0.4849588738496671,0.6530194908203413,0.08703614508398805,0.02400929555286374,-0.0477857640084266,"(-1 * rank(((sum(open, 5) * sum(returns, 5)) - delay((sum(open, 5) * sum(returns, 5)), 10))))",
us_stocks,1d,alpha009,False,0.004169986033228106,0.17109120921726972,0.024372883050540698,1.7246290624287988,5007,0.5056920311563811,0.07838031001426517,260.229489842885,0.021633936200597947,0.00842554362873793,0.20836137527496784,0.15235901079029948,0.2630706379092027,0.0347454331244581,0.4849588738496671,0.6530194908203413,0.08703614508398805,-0.3325998630593676,-0.38994885291113857,"((0 < ts_min(delta(close, 1), 5)) ? delta(close, 1) : ((ts_max(delta(close, 1), 5) < 0) ? delta(close, 1) : (-1 * delta(close, 1))))",
us_stocks,1d,alpha010,False,-0.00044023567308653744,0.16333615713320382,-0.0026952738500362577,-0.1907941695803096,5011,0.49770504889243666,0.08310402000017361,259.485589505663,-0.003641910778817259,-0.016489031008350863,0.09833125327152432,0.041498156719242445,0.13272879819951652,0.004100213875777747,0.4849588738496671,0.6530194908203413,0.08703614508398805,-0.4434607171304247,-0.5202906926208247,"rank(((0 < ts_min(delta(close, 1), 4)) ? delta(close, 1) : ((ts_max(delta(close, 1), 4) < 0) ? delta(close, 1) : (-1 * delta(close, 1)))))",
us_stocks,1d,alpha012,False,-0.0038997678609789285,0.12596784239835304,-0.03095843976311462,-2.3924284849513304,5972,0.4820830542531815,0.10022801123852348,294.41462418851467,0.01769281605004558,0.002820369609092488,0.19168757441198686,0.12840491537810972,0.12411749505509524,0.0019709013818647314,0.4849588738496671,0.6530194908203413,0.08703614508398805,-0.3565539584715574,-0.528901995765246,"(sign(delta(volume, 1)) * (-1 * delta(close, 1)))",
