class,tf,side,rule,n_assets,years,edge_dsharpe,fold_sd,edge_t,n_folds_scored,exposure,fold_coverage,edge_vs_random,edge_vs_constant,edge_wealth,edge_headroom,sharpe,bench_sharpe,max_dd,bench_max_dd,profit_factor,trades_per_asset,expectancy,win_rate,avg_win,avg_loss,expectancy_r,roi,roi_ann,roe_ann,bench_roi,avg_pnl_per_asset,avg_bench_pnl_per_asset,wealth,bench_wealth,breadth,long_frac,short_frac,turnover_yr,max_leverage,noise_ceiling,n_trials,edge_gate_dsharpe,edge_gate_t,edge_gate_vs_random,edge_gate_vs_constant,edge_gate_wealth,edge_gate_headroom,edge_passed,edge_n,edge_powered,edge_rankable,edge_verdict,above_ceiling,edge_t_bar_corrected,edge_t_uncorrected_pass
commodities,1d,long,SAREXT~MAXINDEX|vote,5,23.651305401364116,-0.08378283888888889,0.4503015750240079,-0.9115011621651434,24,0.5926619828259172,1.0,0.12682806042612327,0.018617407631330435,5571.851252356968,5.0,0.3588592268081519,0.26742085866687165,-0.5421026212031776,-0.7330433800828456,1.375304493150756,347.0,0.007337537579611608,0.4365079365079365,0.06255630385479695,0.03143773398488536,0.2333990606046654,3.7476749795988793,0.08074843677757348,0.1307759306859164,1.4054062992126224,38513.151940834476,52529.49700552095,47476.74979598879,24054.062992126223,0.6,0.5202164915631964,0.06277561608300908,31.095468959853875,1.0,0.29059232267820184,1273,False,False,True,True,True,True,4,6,True,True,fail,False,,
commodities,1d,long,SAR~MAXINDEX|vote,5,23.651305401364116,-0.08402729722222224,0.4506229990955253,-0.913508645021446,24,0.5926619828259172,1.0,0.12682806042612327,0.018617407631330435,5571.851252356968,5.0,0.3582919901978917,0.26742085866687165,-0.5421026212031776,-0.7330433800828456,1.3748661906810775,346.0,0.007337537579611608,0.4365079365079365,0.06255630385479695,0.03143773398488536,0.2333990606046654,3.7476749795988793,0.08074843677757348,0.1307759306859164,1.4054062992126224,38499.33523246151,52529.49700552095,47476.74979598879,24054.062992126223,0.6,0.5202164915631964,0.06277561608300908,31.095468959853875,1.0,0.2907997467084241,1273,False,False,True,True,True,True,4,6,True,True,fail,False,,
commodities,1d,long,MININDEX,5,23.651305401364116,0.038927463888888875,0.1838672945016842,1.0371874320206786,24,0.8510028653295129,1.0,0.03628579927922193,-0.0023974817646263136,897.9703855490461,3.0,0.237539951017283,0.26742085866687165,-0.621683181456634,-0.7330433800828456,1.6867159368574856,98.0,0.030233472390656498,0.5882352941176471,0.08231587872680257,0.0765454130129722,0.39497431917354486,0.7615057418583231,0.04260115007361298,0.048813610238490866,1.4054062992126224,79576.97174304677,52529.49700552095,17615.05741858323,24054.062992126223,0.6,0.8510028653295129,0.0,8.666987110389924,1.0,0.11865475747215128,1273,False,False,True,False,True,True,3,6,True,True,fail,False,,
commodities,1d,long,CDLRISEFALL3METHODS,5,23.651305401364116,0.4193744444444445,0.818887042709396,1.536382025499715,9,0.001873536299765808,0.375,0.02542121291971053,-2.421748401565943,-8409.151769160924,0.0,0.26736434196257686,0.26742085866687165,-0.009751572518241214,-0.7330433800828456,10.780464928659072,2.0,0.01889745081807173,0.6666666666666666,0.06164561320194692,0.023850711565803453,0.7923223072793526,0.5519629483579076,0.018755764062933222,1.2249992724919996,1.4054062992126224,5683.9638181145565,52529.49700552095,15519.629483579076,24054.062992126223,0.2,0.000936768149882904,0.000936768149882904,0.1679770360624872,1.0,0.8629567610501684,1273,True,False,True,False,False,False,2,6,False,False,unrankable,False,,
commodities,1d,long,volmanaged,5,23.651305401364116,0.021887783333333338,0.15889051318497657,0.6748533904581776,24,0.8074020521219804,1.0,0.06465708942560461,0.003493453167981886,-1796.4363582725546,0.0,0.34784036024867665,0.26742085866687165,-0.5863717056858783,-0.7330433800828456,1.1399512529360405,2901.0,0.0007775237839127002,0.5269546590503391,0.01095563284828439,0.011653439922661548,0.06672053823358282,5.413499010970686,0.08116843489901227,0.08116843489901239,1.4054062992126224,51518.21135588244,52529.49700552095,64134.990109706865,24054.062992126223,0.8,1.0,0.0,3.9829464271653814,1.0,0.1025365351553392,1273,False,False,True,True,False,False,2,6,True,True,fail,False,,
commodities,1d,long,BBANDS,5,23.651305401364116,0.0016215,,,2,0.0,0.08333333333333333,0.22782131843501335,0.0,-8937.070643538324,0.0,0.3497141773438299,0.26742085866687165,-3.3872874212192983e-06,-0.7330433800828456,,0.0,0.8303523754709099,1.0,0.8303523754709099,0.0,,0.506286856578519,0.017504916104844837,0.4588561404769642,1.4054062992126224,5956.2604715610805,52529.49700552095,15062.86856578519,24054.062992126223,0.2,0.0,0.0,0.0,1.0,,1273,False,False,True,True,False,False,2,6,False,False,unrankable,False,,
commodities,1d,long,macd_cross,5,23.651305401364116,-0.08395756111111109,0.4699198230506111,-0.8752692467225809,24,0.5229080496341075,1.0,0.02473436674949267,0.0024477797474911356,-11182.322966735732,0.0,0.1239151572421855,0.26742085866687165,-0.4116136409967889,-0.7330433800828456,1.2226826096187629,234.0,0.006605755998686559,0.3888888888888889,0.06971433960701554,0.03289928426096277,0.20078722522619544,0.36171358777127005,0.02300215816088791,0.032274491267567415,1.4054062992126224,35315.23493711423,52529.49700552095,13617.1358777127,24054.062992126223,0.6,0.5229080496341075,0.0,20.115250068482844,1.0,0.3032525321403245,1273,False,False,True,True,False,False,2,6,True,True,fail,False,,
commodities,1d,long,SAREXT~MAXINDEX|and,5,23.651305401364116,-0.08524851388888892,0.3636903587851035,-1.148313972665561,24,0.4449219993632601,1.0,0.19207078530515187,-0.006586144401800914,423.27598783323447,1.0,0.39629477397876917,0.26742085866687165,-0.45602799565839736,-0.7330433800828456,1.4388882794832483,267.0,0.006778500355785424,0.4451219512195122,0.059398059731684216,0.03115755424263084,0.21755559833097704,4.861399270560671,0.07762969042074497,0.15785303881369367,1.4054062992126224,38780.597729494366,52529.49700552095,58613.99270560671,24054.062992126223,0.4,0.4449219993632601,0.0,24.02161820121413,1.0,0.23469965897720244,1273,False,False,True,False,True,False,2,6,True,True,fail,False,,
commodities,1d,long,SAR~MAXINDEX|and,5,23.651305401364116,-0.09097810277777779,0.36400465087603157,-1.2244345177223357,24,0.4449219993632601,1.0,0.18598114639725039,-0.006586144401800914,423.27598783323447,1.0,0.38742949980333735,0.26742085866687165,-0.45602799565839736,-0.7330433800828456,1.4230872858362573,266.0,0.006782850738016572,0.44171779141104295,0.05924403236462114,0.03115755424263084,0.21769522361084562,4.8987598850044725,0.0779192076661821,0.1585540588451661,1.4054062992126224,37020.10547931465,52529.49700552095,58987.59885004473,24054.062992126223,0.4,0.4449219993632601,0.0,23.874246310409138,1.0,0.2349024805389465,1273,False,False,True,False,True,False,2,6,True,True,fail,False,,
commodities,1d,long,voltgt_tsmom,5,23.651305401364116,-0.17387656666666665,0.4126904216564955,-2.064059857996231,24,0.4813026000531901,1.0,0.1708455242643805,0.023215373715454957,-4252.934549596903,0.0,0.4323200424652982,0.26742085866687165,-0.4487645042407662,-0.7330433800828456,1.1691198130231624,1528.0,0.0007955382673711714,0.5311942959001783,0.01090169727996605,0.011681974467314378,0.06809964099793665,3.0590791120156426,0.08363901661358297,0.12012200279299896,1.4054062992126224,39143.75852139368,52529.49700552095,40590.79112015643,24054.062992126223,0.8,0.580952380952381,0.0,6.861197481107987,1.0,0.26632078328798586,1273,False,False,True,True,False,False,2,6,True,True,fail,False,,
commodities,1d,long,SAREXT,5,23.651305401364116,-0.21604248888888888,0.8276219081428221,-1.278829995513747,24,1.0,1.0,0.03886896568022885,-0.5220660174759343,40.053008229775514,1.0,0.31710745422413567,0.26742085866687165,-0.7036029045440749,-0.7330433800828456,1.237737291794201,530.0,0.00499158472875221,0.4033057851239669,0.06425283723613609,0.033826918778332375,0.1475625007841252,3.694146561652322,0.06709116383744029,0.06709116383743931,1.4054062992126224,25401.24302175864,52529.49700552095,46941.46561652322,24054.062992126223,0.6,0.5202164915631964,0.47978350843680356,47.45374883920829,1.0,0.5340877889973309,1273,False,False,True,False,True,False,2,6,True,True,fail,False,,
commodities,1d,short,SAREXT,5,23.651305401364116,-0.21604248888888888,0.8276219081428221,-1.278829995513747,24,1.0,1.0,0.2859190900410008,-0.5220660174759343,40.053008229775514,1.0,0.31710745422413567,0.26742085866687165,-0.7036029045440749,-0.7330433800828456,1.237737291794201,530.0,0.00499158472875221,0.4033057851239669,0.06425283723613609,0.033826918778332375,0.1475625007841252,3.694146561652322,0.06709116383744029,0.06709116383743931,1.4054062992126224,25401.24302175864,52529.49700552095,46941.46561652322,24054.062992126223,0.6,0.5202164915631964,0.47978350843680356,47.45374883920829,1.0,0.5340877889973309,1273,False,False,True,False,True,False,2,6,True,True,fail,False,,
commodities,1d,short,SAREXT~MAXINDEX|vote,5,23.651305401364116,-0.21604248888888888,0.8276219081428221,-1.278829995513747,24,1.0,1.0,0.2859190900410008,-0.5220660174759343,40.053008229775514,1.0,0.31710745422413567,0.26742085866687165,-0.7036029045440749,-0.7330433800828456,1.237737291794201,530.0,0.00499158472875221,0.4033057851239669,0.06425283723613609,0.033826918778332375,0.1475625007841252,3.694146561652322,0.06709116383744029,0.06709116383743931,1.4054062992126224,25401.24302175864,52529.49700552095,46941.46561652322,24054.062992126223,0.6,0.5202164915631964,0.47978350843680356,47.45374883920829,1.0,0.5340877889973309,1273,False,False,True,False,True,False,2,6,True,True,fail,False,,
commodities,1d,short,SAR~MAXINDEX|vote,5,23.651305401364116,-0.21645866944444445,0.8281550102650349,-1.2804687141142252,24,1.0,1.0,0.2859190900410008,-0.5235502580584606,40.053008229775514,1.0,0.31710745422413567,0.26742085866687165,-0.7036029045440749,-0.7330433800828456,1.237737291794201,528.0,0.00499158472875221,0.4033057851239669,0.06425283723613609,0.033826918778332375,0.1475625007841252,3.694146561652322,0.06709116383744029,0.06709116383743931,1.4054062992126224,25389.51643113218,52529.49700552095,46941.46561652322,24054.062992126223,0.6,0.5202164915631964,0.47978350843680356,47.45374883920829,1.0,0.5344318148513605,1273,False,False,True,False,True,False,2,6,True,True,fail,False,,
commodities,1d,long,SAR,5,23.651305401364116,-0.2201540861111111,0.8281595616212782,-1.3023219214066866,24,0.9998438719750196,1.0,0.03886896568022885,-0.5228478475759004,40.053008229775514,1.0,0.30805827949606407,0.26742085866687165,-0.7036029045440749,-0.7330433800828456,1.2306846309963906,528.0,0.00499158472875221,0.40165289256198344,0.06421052587741113,0.033826918778332375,0.1475625007841252,3.277455191809606,0.0629336745815472,0.06294930068452326,1.4054062992126224,23876.708681678552,52529.49700552095,42774.55191809606,24054.062992126223,0.6,0.5202164915631964,0.47978350843680356,47.30637694840329,1.0,0.5344347519700725,1273,False,False,True,False,True,False,2,6,True,True,fail,False,,
commodities,1d,short,SAR,5,23.651305401364116,-0.22590124444444445,0.8289457473298099,-1.3350518605856732,24,1.0,1.0,0.2661919432955898,-0.5236552125516872,40.053008229775514,1.0,0.2978006706852024,0.26742085866687165,-0.7036029045440749,-0.7330433800828456,1.2223933374992144,526.0,0.00499158472875221,0.40165289256198344,0.06430770924658706,0.033826918778332375,0.1475625007841252,2.8602826237428722,0.05836296551303599,0.05836296551303488,1.4054062992126224,22348.933161605117,52529.49700552095,38602.82623742872,24054.062992126223,0.6,0.5202164915631964,0.47978350843680356,47.15900505759829,1.0,0.5349420998093211,1273,False,False,True,False,True,False,2,6,True,True,fail,False,,
commodities,1d,short,dual_thrust,5,23.651305401364116,-0.7462151555555557,1.3869786507150876,-2.635723871452961,24,1.0,1.0,0.1749260319065446,0.04241027657677858,-22874.7797329415,0.0,-0.11168344384967682,0.26742085866687165,-0.9161443529409542,-0.7330433800828456,0.9413557698374676,1021.0,-0.0007434213933459736,0.42610364683301344,0.028401449867025925,0.021862893321151704,-0.034003797321132026,-0.8663816638130287,-0.08158118115523982,-0.08158118115524171,1.4054062992126224,-6953.5878516298035,52529.49700552095,1336.1833618697124,24054.062992126223,0.0,0.0879000780640125,0.9120999219359875,85.66828839186847,1.0,0.8950564909636111,1273,False,False,True,True,False,False,2,6,True,True,fail,False,,
commodities,1d,short,CDLHOMINGPIGEON,5,23.651305401364116,-0.8125732777777778,1.4000153360196357,-2.8433830086964944,24,1.0,1.0,0.04762044305711596,0.006313801201715541,-23845.396311183245,0.0,-0.2904970128387688,0.26742085866687165,-0.9259168875911126,-0.7330433800828456,0.36255582387572133,27.0,-0.03298768673230063,0.5102040816326531,0.06875324011863372,0.12160213314264054,-0.2712755597272767,-0.8762059027991012,-0.13515491380911737,-0.13515491380911696,1.4054062992126224,-8063.605012806571,52529.49700552095,1237.9409720089886,24054.062992126223,0.0,0.0196078431372549,0.9803921568627451,3.682922444904464,1.0,0.903469432140802,1273,False,False,True,True,False,False,2,6,True,True,fail,False,,
commodities,1d,short,BBANDS,5,23.651305401364116,-0.8899131749999999,1.407181293543145,-3.098155446113846,24,1.0,1.0,0.0,0.0,-23952.660068022244,0.0,-0.3173380178119578,0.26742085866687165,-0.9556076591408332,-0.7330433800828456,0.0,1.0,-0.9427590686262799,0.0,0.0,0.9427590686262799,-1.0,-0.9427590686262801,-0.14318309266938678,-0.1431830926693864,1.4054062992126224,-6004.159473015194,52529.49700552095,572.4093137371984,24054.062992126223,0.2,0.0,1.0,0.0,1.0,0.9080938268941601,1273,False,False,True,True,False,False,2,6,True,True,fail,False,,
commodities,1d,short,CDLGAPSIDESIDEWHITE,5,23.651305401364116,-0.9004889888888888,1.4329712247534507,-3.078552456141659,24,1.0,1.0,0.012133300665005009,0.0013001258475289768,-23902.714418689993,0.0,-0.2590739785853329,0.26742085866687165,-0.9619451804083405,-0.7330433800828456,0.22386840798639868,23.0,-0.09124780628863119,0.34782608695652173,0.05784658931924906,0.18073261644841684,-0.5048773601674402,-0.9554182980012953,-0.12556205785487717,-0.12556205785487695,1.4054062992126224,-8655.720235070481,52529.49700552095,445.8170199870465,24054.062992126223,0.0,0.010506208213944603,0.9894937917860553,1.8603624304585848,1.0,0.9247367978003005,1273,False,False,True,True,False,False,2,6,True,True,fail,False,,
commodities,1d,short,CDLRISEFALL3METHODS,5,23.651305401364116,-0.9109546222222221,1.4441532060171953,-3.0902178438922348,24,1.0,1.0,0.0,0.0,-23939.453310091983,0.0,-0.3173380178119578,0.26742085866687165,-0.9558685571131826,-0.7330433800828456,0.0,3.0,-0.572577533740551,0.0,0.0,0.6080954687860576,-0.9415915150356059,-0.9430954789763937,-0.14318309266938678,-0.1431830926693864,1.4054062992126224,-8741.748408313315,52529.49700552095,569.0452102360629,24054.062992126223,0.0,0.000936768149882904,0.9990632318501171,0.1679770360624872,1.0,0.9319528460839479,1273,False,False,True,True,False,False,2,6,True,True,fail,False,,
commodities,1d,short,CDLTRISTAR,5,23.651305401364116,-0.9175100916666666,1.451410551178104,-3.0968929592158774,24,1.0,1.0,0.0,0.0,-23940.791642554745,0.0,-0.33025009935029215,0.26742085866687165,-0.9552556872888376,-0.7330433800828456,0.0037032547354036082,3.0,-0.32292274221041595,0.3333333333333333,0.0038775833817856456,0.5235372204773591,-0.6168095210422219,-0.9423052246469892,-0.1470402291944244,-0.14704022919442425,1.4054062992126224,-8755.843641518028,52529.49700552095,576.9477535301085,24054.062992126223,0.0,0.0015479876160990713,0.9984520123839009,0.29463379559235714,1.0,0.9366362158604659,1273,False,False,True,True,False,False,2,6,True,True,fail,False,,
commodities,1d,short,ASIN,5,23.651305401364116,-0.919299975,1.4576302456566335,-3.0896942019598854,24,1.0,1.0,0.0,0.0,-23952.660068022244,0.0,-0.3173380178119578,0.26742085866687165,-0.9556076591408332,-0.7330433800828456,0.0,1.0,-0.9427590686262799,0.0,0.0,0.9427590686262799,-1.0,-0.9427590686262801,-0.14318309266938678,-0.1431830926693864,1.4054062992126224,-8745.962559174981,52529.49700552095,572.4093137371984,24054.062992126223,0.0,0.0,1.0,0.0,1.0,0.940649960348853,1273,False,False,True,True,False,False,2,6,True,True,fail,False,,
commodities,1d,short,CDL2CROWS,5,23.651305401364116,-0.919299975,1.4576302456566335,-3.0896942019598854,24,1.0,1.0,0.0,0.0,-23952.660068022244,0.0,-0.3173380178119578,0.26742085866687165,-0.9556076591408332,-0.7330433800828456,0.0,1.0,-0.9427590686262799,0.0,0.0,0.9427590686262799,-1.0,-0.9427590686262801,-0.14318309266938678,-0.1431830926693864,1.4054062992126224,-8745.962559174981,52529.49700552095,572.4093137371984,24054.062992126223,0.0,0.0,1.0,0.0,1.0,0.940649960348853,1273,False,False,True,True,False,False,2,6,True,True,fail,False,,
commodities,1d,short,CDL3BLACKCROWS,5,23.651305401364116,-0.919299975,1.4576302456566335,-3.0896942019598854,24,1.0,1.0,0.0,0.0,-23952.660068022244,0.0,-0.3173380178119578,0.26742085866687165,-0.9556076591408332,-0.7330433800828456,0.0,1.0,-0.9427590686262799,0.0,0.0,0.9427590686262799,-1.0,-0.9427590686262801,-0.14318309266938678,-0.1431830926693864,1.4054062992126224,-8745.962559174981,52529.49700552095,572.4093137371984,24054.062992126223,0.0,0.0,1.0,0.0,1.0,0.940649960348853,1273,False,False,True,True,False,False,2,6,True,True,fail,False,,
commodities,1d,short,CDLSTALLEDPATTERN,5,23.651305401364116,-0.919299975,1.4576302456566335,-3.0896942019598854,24,1.0,1.0,0.0,0.0,-23952.660068022244,0.0,-0.3173380178119578,0.26742085866687165,-0.9556076591408332,-0.7330433800828456,0.0,1.0,-0.9427590686262799,0.0,0.0,0.9427590686262799,-1.0,-0.9427590686262801,-0.14318309266938678,-0.1431830926693864,1.4054062992126224,-8745.962559174981,52529.49700552095,572.4093137371984,24054.062992126223,0.0,0.0,1.0,0.0,1.0,0.940649960348853,1273,False,False,True,True,False,False,2,6,True,True,fail,False,,
commodities,1d,long,CDLHOMINGPIGEON,5,23.651305401364116,0.06718911388888887,0.7576004719845003,0.43447450571517376,24,0.0196078431372549,1.0,0.021215233767266445,-0.8325762942924606,-6333.435187833316,0.0,0.2183838999111892,0.26742085866687165,-0.08995392175439998,-0.7330433800828456,2.013547322447757,13.0,0.009721186222470559,0.6923076923076923,0.0339302490628574,0.030912609404289932,0.31447316838679723,0.68420297370886,0.029332002709216765,0.4933546224341312,1.4054062992126224,7521.838726515221,52529.49700552095,16842.0297370886,24054.062992126223,0.4,0.0196078431372549,0.0,1.841461222452232,1.0,0.4889009788703058,1273,False,False,True,False,False,False,1,6,True,False,unrankable,False,,
commodities,1d,short,MININDEX~CCI|or,5,23.651305401364116,0.026123997222222223,0.21741337746634515,0.5886524921515933,24,1.0,1.0,0.026307505327580305,-0.011375169252014067,-1240.0734124312567,0.0,0.3690762161211033,0.26742085866687165,-0.7177288646625575,-0.7330433800828456,1.6138395126627698,174.0,0.013642431448228977,0.424390243902439,0.07571961126095607,0.039248755398614055,0.34758889319355885,2.1739551446796823,0.08883213051808769,0.08883213051808717,1.4054062992126224,77102.90050952058,52529.49700552095,31739.551446796824,24054.062992126223,0.4,0.9452403693091372,0.05475963069086278,17.250633446070513,1.0,0.14030299213563596,1273,False,False,True,False,False,False,1,6,True,True,fail,False,,
commodities,1d,short,MININDEX~MULT|or,5,23.651305401364116,0.015519269444444447,0.18406579550292612,0.4130511181155408,24,1.0,1.0,0.02654517730693573,-0.0013682649761063426,-2370.3782470414844,0.0,0.34814731432048673,0.26742085866687165,-0.7048205883259784,-0.7330433800828456,1.6442678483809545,144.0,0.016471194976553312,0.4444444444444444,0.08811591766153343,0.037918514423439506,0.4343839738186464,1.8738546094671094,0.08089227177594926,0.08089227177594861,1.4054062992126224,63757.36208162767,52529.49700552095,28738.546094671092,24054.062992126223,0.4,0.9573384272524673,0.042661572747532635,14.375527871725428,1.0,0.11878285577383224,1273,False,False,True,False,False,False,1,6,True,True,fail,False,,
commodities,1d,long,MAXINDEX~MININDEX|or,5,23.651305401364116,-0.002183638888888889,0.02883962428169849,-0.3709341708497997,24,0.9958720330237358,1.0,0.0014380574336125829,-0.0014180512291064595,-145.7964676989759,0.0,0.2655130623744198,0.26742085866687165,-0.7330433800828464,-0.7330433800828456,3.909097303713092,9.0,0.16068403530197214,0.6363636363636364,0.4318381020441986,0.1828184593101226,0.8789267555821433,1.4655486058032006,0.0501827594087505,0.05057449520968735,1.4054062992126224,50115.13991756284,52529.49700552095,24655.486058032006,24054.062992126223,0.4,0.9958720330237358,0.0,0.7365844889808928,1.0,0.01861102396707944,1273,False,False,True,False,False,False,1,6,True,True,fail,False,,
commodities,1d,long,MAXINDEX~MININDEX|vote,5,23.651305401364116,-0.002183638888888889,0.02883962428169849,-0.3709341708497997,24,0.9958720330237358,1.0,0.0014380574336125829,-0.0014180512291064595,-145.7964676989759,0.0,0.2655130623744198,0.26742085866687165,-0.7330433800828464,-0.7330433800828456,3.909097303713092,9.0,0.16068403530197214,0.6363636363636364,0.4318381020441986,0.1828184593101226,0.8789267555821433,1.4655486058032006,0.0501827594087505,0.05057449520968735,1.4054062992126224,50115.13991756284,52529.49700552095,24655.486058032006,24054.062992126223,0.4,0.9958720330237358,0.0,0.7365844889808928,1.0,0.01861102396707944,1273,False,False,True,False,False,False,1,6,True,True,fail,False,,
commodities,1d,short,volmanaged,5,23.651305401364116,-0.007253494444444453,0.37657309204895106,-0.09436340841204797,24,0.6632182616417671,1.0,0.1494262295139014,-0.027022068005223887,-4429.552800634228,0.0,0.36005289241263744,0.26742085866687165,-0.6277807128538955,-0.7330433800828456,1.1493642419676664,2901.0,0.0005374510659001341,0.5311932162325863,0.0073045680151379196,0.00753766263724885,0.07130208550913561,3.6754622143204907,0.07045550973518377,0.0704555097351836,1.4054062992126224,40885.70808480056,52529.49700552095,46754.622143204906,24054.062992126223,0.6,0.9280185758513931,0.07198142414860681,7.965892854330763,1.0,0.24301325055499254,1273,False,False,True,False,False,False,1,6,True,True,fail,False,,
