class,tf,rule,pit,n_names,years,exposure,cagr,cashmatch_bench_cagr,cashmatch_excess_cagr,cashmatch_ratio,win_rate,profit_factor,n_trades,sharpe,bench_sharpe,dsharpe,boot_t,dsr,alpha_vs_bh_ann,alpha_vs_bh_t,avg_breadth,bars,start,end,vol,bench_vol,dd,bench_dd,bench_cagr,wealth,bench_wealth,avg_win,avg_loss,boot_se,boot_p_gt0,boot_ci_lo,boot_ci_hi,boot_draws,fold_dsharpe,fold_sd,fold_t,n_folds_scored,fold_edges,cash_w,cashmatch_bench_dd,cashmatch_bench_wealth,cashmatch_beats,edge_wealth,edge_headroom,cost_drag_ann,roe_ann,const_weight,const_mar,mar,vs_constant,index_symbol,index_cagr,index_wealth,index_sharpe,index_vol,index_dd,idx_cash_w,idx_cashmatch_bench_cagr,idx_cashmatch_bench_dd,idx_cashmatch_excess_cagr,idx_cashmatch_ratio,idx_cashmatch_beats,volmatch_k,volmatch_wealth,volmatch_dd,volmatch_beats,alpha_ann,alpha_t,alpha_p,r2,factor_n,beta_Mkt-RF,beta_SMB,beta_HML,beta_RMW,beta_CMA,beta_Mom,beta_ST_Rev,t_Mkt-RF,t_SMB,t_HML,t_RMW,t_CMA,t_Mom,t_ST_Rev,alpha_vs_bh_p,beta_BH,r2_vs_bh,fill,skew,kurtosis,n_trials,sr_star_ann,psr,dsr_pass,n_trials_ledger,n_trials_measured,n_trials_source,trial_dispersion,dispersion_source,rand_sharpe,vs_random,edge_gate_dsharpe,edge_gate_t,edge_gate_vs_random,edge_gate_vs_constant,edge_gate_wealth,edge_gate_headroom,edge_passed,edge_n,edge_powered,edge_rankable,edge_verdict
commodities,5m,BUYHOLD,False,3,6.479531285106189,1.0,0.3358740976170189,0.3359083773634437,-3.4279746424781266e-05,0.9998337452790326,1.0,,3,0.9345156262987661,0.9345908020296418,-7.517573087578722e-05,,0.0,-0.011022595484179443,-1.3852211580588474,2.8559071938230036,476089,2020-03-16,2026-08-21,0.3413417724551401,0.3413418347140197,-0.31205552505443923,-0.31205552505444323,0.33590842671197785,65298.27069815343,65309.14428113385,2.1587007223877954,,,,,,,,,,4,0.000000;0.000000;0.000000;0.000000,0.9999998176054814,-0.31205547468330364,65309.12864911361,False,-10.857950960181384,0.0,2.572202514860383e-05,0.3358740976170189,1.0,1.0764380045934874,1.0763279950208362,-0.00011000957265117073,XAU/USD,0.18016956772347847,29252.707294178894,0.8502241121328105,0.17996174025157083,-0.2932092168401753,1.0,0.18016956772347847,-0.2932092168401753,0.15570452989354044,2.232212903971024,True,1.0,65298.27069815343,-0.31205552505443923,False,-5.370245829384844,-0.9403818163800042,0.3470217459413629,0.005405394046772871,1579,0.010070493554002042,0.014327317603595851,-0.0010619143603630005,0.00911693325542416,0.024590125627474913,0.0014439174070275161,-0.006309402674584015,1.3481761602868847,1.2931330212938055,-0.11269394227778129,0.5819374034137125,1.2400961832577988,0.2593965442841333,-0.7872904604375848,0.16598485298809607,0.9999849331000765,0.9999989714865836,close,0.256701898738588,54.777784979697394,99,26.74180333770808,0.9913357590044976,False,68,31,run+ledger,10.582159678834811,this run,-0.016214619380065097,0.9507302456788311,False,False,True,False,False,False,1,6,False,True,underpowered
commodities,5m,RANDOM_75,False,3,6.479531285106189,0.7507682387116694,-0.018214001435490346,0.29543802681134057,-0.3136520282468309,0.16590737163282054,0.49098398880771027,1.0292137332917073,12866,-0.016214619380065097,0.9345908020296418,-0.9508054214097069,-3.7789763048929057,0.0,1.8288658541780343,0.8426818912223083,2.8559071938230036,476089,2020-03-16,2026-08-21,0.2915803473459518,0.3413418347140197,-0.6199386657462538,-0.31205552505444323,0.33590842671197785,8877.135066901908,65309.14428113385,0.006582104066285589,-0.006168720005284971,0.25160396485646985,0.0,-1.617734575838634,-0.6115429861790406,2000.0,-1.0268167000953405,0.658044517317782,-3.120812264436728,4,-1.271085;-1.841970;-0.579988;-0.414224,0.854218023378943,-0.27087699059444537,53506.57405716982,False,-44629.43899026791,0.0,0.27681529024424467,-0.033460222182598365,0.7507682387116694,1.1040926947374112,-0.02938032815482668,-1.1334730228922378,XAU/USD,0.18016956772347847,29252.707294178894,0.8502241121328105,0.17996174025157083,-0.2932092168401753,1.0,0.18016956772347847,-0.2932092168401753,-0.19838356915896882,0.30346370944847223,False,1.0,8877.135066901908,-0.6199386657462538,False,-1.9283776786630442,-0.4465556229059329,0.655195943014907,0.0038460465084061424,1579,0.008826398468314633,0.0034763950866403583,0.0041340948678853595,0.001461795623441656,0.013536343009136097,0.00020692777007613733,-0.00076252329526839,1.8182778178019343,0.3955174340551778,0.5474216428754538,0.13303606912717972,1.0186417432276655,0.0446578217953822,-0.1584009915337049,0.399406377600956,0.7010693077799162,0.7758216675727726,close,0.43986036858728983,74.4826228854861,99,26.74180333770808,0.48353888890588653,False,68,31,run+ledger,10.582159678834811,this run,-0.016214619380065097,0.0,False,False,True,False,False,False,1,6,False,True,underpowered
commodities,5m,ha:chart:ssl_hybrid@allow_short=0,False,3,6.479531285106189,0.5099102618768059,-0.10989429645230586,0.24190378452518257,-0.35179808097748844,0.11554717767809701,0.40465553726781095,0.899208072741284,4253,-0.5198607824015066,0.9345908020296418,-1.4544515844311485,-8.887517890187363,0.0,-0.5314235892154964,-0.22569142770549172,2.8559071938230036,476089,2020-03-16,2026-08-21,0.22899688703652987,0.3413418347140197,-0.692635274803405,-0.31205552505444323,0.33590842671197785,4703.326857183881,65309.14428113385,0.011361405980706079,-0.008587940971985572,0.16365104435255168,0.0,-1.7723903655393773,-1.1355217726898585,2000.0,-1.8253149096211305,0.7632021213678312,-4.783306698230221,4,-1.006681;-2.143215;-1.423437;-2.727925,0.670872608475859,-0.2164341526332345,40704.81816775208,False,-36001.4913105682,0.0,0.09024829743639139,-0.22575713258682006,0.5099102618768059,1.1609199936238501,-0.15866113155079756,-1.3195811251746477,XAU/USD,0.18016956772347847,29252.707294178894,0.8502241121328105,0.17996174025157083,-0.2932092168401753,1.0,0.18016956772347847,-0.2932092168401753,-0.29006386417578434,0.16078261782354117,False,1.0,4703.326857183881,-0.692635274803405,False,-3.153653697328898,-0.8710671110833588,0.3837175106139239,0.004293040494138367,1579,0.0011258914754751067,0.007594439361603174,-0.0006780096273755311,0.005701363176472346,0.015207338881796055,0.0010341329773025263,-0.004545482597777155,0.20014176115112137,0.9514505501518603,-0.11269972498929533,0.5041059334417884,1.1161707897399211,0.26507249549391665,-0.7729536641014302,0.8214414257844067,0.489285570835654,0.5547031816665043,close,0.5959691437294355,136.24686327098593,99,26.74180333770808,0.09300709256645046,False,68,31,run+ledger,10.582159678834811,this run,-0.5689439542959698,0.04908317189446321,False,False,True,False,False,False,1,6,False,True,underpowered
commodities,5m,RANDOM_50,False,3,6.479531285106189,0.5026350115209551,-0.12587011883005628,0.2451732443584389,-0.3710433631884952,0.1010171952480896,0.47997416020671835,1.0013226684569214,17028,-0.5856394540397591,0.9345908020296418,-1.520230256069401,-4.102596875726665,0.0,1.3950998984013776,0.5299298968420865,2.8559071938230036,476089,2020-03-16,2026-08-21,0.23273272545087897,0.3413418347140197,-0.7258934783154326,-0.31205552505444323,0.33590842671197785,4182.535601026713,65309.14428113385,0.004745174974213134,-0.0043739228320263356,0.37055316476838424,0.0,-2.521955261465583,-1.0582705408489135,2000.0,-1.6543250746212796,0.8815859620396531,-3.753065828756627,4,-2.586847;-2.227452;-0.898241;-0.904760,0.6818171749907692,-0.21976837934095517,41404.19451118954,False,-37221.65891016283,0.0,0.365756908803087,-0.25639448242272156,0.5026350115209551,1.1636642032702014,-0.17340026131955436,-1.3370644645897558,XAU/USD,0.18016956772347847,29252.707294178894,0.8502241121328105,0.17996174025157083,-0.2932092168401753,1.0,0.18016956772347847,-0.2932092168401753,-0.30603968655353475,0.14297943636345112,False,1.0,4182.535601026713,-0.7258934783154326,False,-1.0121186984763133,-0.2984718303489695,0.7653430729755775,0.005176490739491113,1579,0.007146738485705653,0.0036152049010300946,0.00831879627473999,-0.0015153682486152321,0.004874956255818605,0.003357458703404803,-0.0009002507251322253,1.770685928097173,0.5294656739584584,1.39496366826093,-0.17468086030252522,0.4714738108599352,0.9258706209508668,-0.22980609430089013,0.5961605366967004,0.44916627326306613,0.5082712000108558,close,0.7040518278053676,121.86588249850882,99,26.74180333770808,0.06817763998412424,False,68,31,run+ledger,10.582159678834811,this run,-0.5856394540397591,0.0,False,False,True,False,False,False,1,6,False,True,underpowered
commodities,5m,ha:chart:range_filter_macd@allow_short=0,False,3,6.479531285106189,0.18704976030392076,-0.2714439088790387,0.20079199604385267,-0.47223590492289136,0.03925641788226893,0.33600802407221664,0.706051794278753,6979,-1.7987924765643455,0.9345908020296418,-2.7333832785939873,-7.354111747409243,0.0,0.817830111259843,0.35664768291476606,2.8559071938230036,476089,2020-03-16,2026-08-21,0.18280090360928922,0.3413418347140197,-0.8788288903927745,-0.31205552505444323,0.33590842671197785,1284.7678591543431,65309.14428113385,0.0054645223717189224,-0.00391653908442938,0.3716809551550427,0.0,-3.631921076855905,-2.1564145457142896,2000.0,-3.177119539749358,0.6882394136502978,-9.232599809704267,4,-2.397768;-3.927044;-2.837706;-3.545959,0.5355361840204615,-0.1743058951553068,32727.587703172434,False,-31442.819844018093,0.0,0.14840065189235493,-0.8375815860729388,0.18704976030392076,1.5571641669318297,-0.3088700335712933,-1.866034200503123,XAU/USD,0.18016956772347847,29252.707294178894,0.8502241121328105,0.17996174025157083,-0.2932092168401753,1.0,0.18016956772347847,-0.2932092168401753,-0.45161347660251716,0.043919622421067464,False,1.0,1284.7678591543431,-0.8788288903927745,False,-0.70639849485637,-0.2598159237500385,0.7950057672900934,0.0022270742872964044,1579,0.0024968715972185276,0.005553674715656487,-0.003846103275103982,0.006335927761421273,-0.00011747415315668894,0.002267799978866061,-0.003958810638860038,1.3222258778465172,0.8887179196903959,-1.0056951692257559,0.8542513793001225,-0.018610251073870536,0.8862950396693513,-1.414880595080383,0.7213555760211539,0.28440794014228155,0.3188826755139672,close,-0.5331979367154599,188.7083786480836,99,26.74180333770808,2.3007574930233865e-06,False,68,31,run+ledger,10.582159678834811,this run,-0.5856394540397591,-1.2131530225245863,False,False,False,False,False,False,0,6,False,True,underpowered
commodities,5m,chart:ssl_hybrid@allow_short=0,False,3,6.479531285106189,0.49690183978205754,-0.2884843156215535,0.24517659665068026,-0.5336609122722338,0.02661783841135079,0.38336972343522563,0.7690509054016653,5496,-1.4699622022645478,0.9345908020296418,-2.40455300429419,-6.5305456363138665,0.0,0.8124655984646427,0.33769001171485136,2.8559071938230036,476089,2020-03-16,2026-08-21,0.23273656108883067,0.3413418347140197,-0.918302052421074,-0.31205552505444323,0.33590842671197785,1102.1093844787024,65309.14428113385,0.010039408056864065,-0.00811607376719115,0.3682009342256779,0.0,-3.0992415911193723,-1.6574646962828155,2000.0,-2.965786320238162,1.3310116505923169,-4.456439309029864,4,-1.173029;-3.228739;-3.074372;-4.387005,0.6818284119314592,-0.21977179708971595,41404.91678725962,False,-40302.80740278093,0.0,0.11623268724151097,-0.5103151143643856,0.49690183978205754,1.1658937872769988,-0.3141497014636675,-1.4800434887406664,XAU/USD,0.18016956772347847,29252.707294178894,0.8502241121328105,0.17996174025157083,-0.2932092168401753,1.0,0.18016956772347847,-0.2932092168401753,-0.468653883345032,0.03767546618490301,False,1.0,1102.1093844787024,-0.918302052421074,False,-2.2372766492373146,-0.5605344425666421,0.5751149534877367,0.005623038405101366,1579,0.002115836443617087,0.008395407450290132,-0.013623172402073485,0.016672388341290683,0.021141412541854154,-0.0021491675403063227,-0.005464697396844581,0.37589776572484784,1.0513880367493775,-1.862797348520418,1.3194807558760335,1.4187818320643144,-0.5159635526496281,-0.9459210607228112,0.735596802558991,0.5690556568439534,0.6343599365825455,close,-0.1627320604011182,91.45418259063138,99,26.74180333770808,9.121519359078789e-05,False,68,31,run+ledger,10.582159678834811,this run,-0.5856394540397591,-0.8843227482247886,False,False,False,False,False,False,0,6,False,True,underpowered
commodities,5m,chart:range_filter_macd@allow_short=0,False,3,6.479531285106189,0.21840699253010815,-0.33736507120473525,0.19890528297469334,-0.5362703541794286,0.02145123693878844,0.3221719457013575,0.6610918994583046,6630,-2.346535596134981,0.9345908020296418,-3.281126398164623,-6.40448081716938,0.0,-0.32202123859350484,-0.1518233383084718,2.8559071938230036,476089,2020-03-16,2026-08-21,0.18071225674254096,0.3413418347140197,-0.9357420924096963,-0.31205552505444323,0.33590842671197785,694.9305356345677,65309.14428113385,0.006455254428372247,-0.004641086992396299,0.5123173121806303,0.0,-4.298009740530675,-2.328218901980706,2000.0,-4.2741950573959375,0.8564096660558077,-9.981660008768305,4,-3.688230;-5.271833;-3.445085;-4.691632,0.5294172538034896,-0.17236160357585273,32395.82582662094,False,-31700.895290986373,0.0,0.14077664363830875,-0.8629280186490366,0.21840699253010815,1.4573627892307095,-0.3605321102270417,-1.8178948994577513,XAU/USD,0.18016956772347847,29252.707294178894,0.8502241121328105,0.17996174025157083,-0.2932092168401753,1.0,0.18016956772347847,-0.2932092168401753,-0.5175346389282137,0.023756110114733022,False,1.0,694.9305356345677,-0.9357420924096963,False,-1.756338014652462,-0.662485509653642,0.5076601183688343,0.002530234145519228,1579,0.0018061942698720675,0.006925979977668484,-0.0030479395600298284,0.00792938756543974,0.002946629006056598,0.0017553334007094313,-0.0036665028432687173,0.825420438832854,1.3782618089742977,-0.6667843127440121,1.1231864247721894,0.3885580116492409,0.65048129353715,-1.1441369349481008,0.8793262742072976,0.26763116644941354,0.318453289104328,close,0.5211603949691783,257.06777577017306,99,26.74180333770808,1.3782967545061808e-09,False,68,31,run+ledger,10.582159678834811,this run,-0.5856394540397591,-1.760896142095222,False,False,False,False,False,False,0,6,False,True,underpowered
commodities,5m,chart:bb_outside_in@allow_short=0,False,3,6.479531285106189,0.5280084185940024,-0.3788645391722225,0.24573927915999239,-0.6246038183322149,0.011005785852897352,0.37795017482517484,0.8416812400739265,18304,-2.0473508263905904,0.9345908020296418,-2.9819416284202322,-10.02499097345788,0.0,1.6183151266715363,0.634639057036868,2.8559071938230036,476089,2020-03-16,2026-08-21,0.23338052398952056,0.3413418347140197,-0.9569121527797831,-0.31205552505444323,0.33590842671197785,457.02958678966206,65309.14428113385,0.004554567875379283,-0.003287826634781113,0.2974508043264285,0.0,-3.674120820172299,-2.5302246910112545,2000.0,-3.47495810036688,0.41984427142728553,-16.553557291867072,4,-2.850539;-3.687848;-3.747463;-3.613982,0.6837149750046008,-0.22034543955511532,41526.30197409717,False,-41069.272387307516,0.0,0.39148922276175024,-0.6045801475383457,0.5280084185940024,1.1544794937315737,-0.39592405433627265,-1.5504035480678464,XAU/USD,0.18016956772347847,29252.707294178894,0.8502241121328105,0.17996174025157083,-0.2932092168401753,1.0,0.18016956772347847,-0.2932092168401753,-0.559034106895701,0.01562349707305922,False,1.0,457.02958678966206,-0.9569121527797831,False,-1.11470731806806,-0.2744999987843519,0.7837004045513534,0.0036451964470277654,1579,-0.0013631762706218175,0.007927477836991433,-0.0036175290776457028,-0.0007617361941742911,0.019305688033120876,-0.0007806323655951868,-0.002606802931744604,-0.24908672699961662,1.0236725933440458,-0.6533229693801837,-0.06537644775707714,1.284367504507808,-0.23812595607691228,-0.4316971469776563,0.5256638490115757,0.5099584673532541,0.5632762285926616,close,-0.12305496517946467,108.30820285192675,99,26.74180333770808,9.444828402704886e-08,False,68,31,run+ledger,10.582159678834811,this run,-0.5274116693496492,-1.519939157040941,False,False,False,False,False,False,0,6,False,True,underpowered
commodities,5m,ha:chart:range_filter@allow_short=0,False,3,6.479531285106189,0.5277276587640826,-0.5008311138853252,0.25755944790077967,-0.7583905617861049,0.002511233498852571,0.3369197051205419,0.8032781930525364,20076,-2.8065307160832007,0.9345908020296418,-3.7411215181128425,-9.583751958690243,0.0,3.608592797089541,1.476373628526236,2.8559071938230036,476089,2020-03-16,2026-08-21,0.2469793082498073,0.3413418347140197,-0.9899432941345507,-0.31205552505444323,0.33590842671197785,110.86265713675022,65309.14428113385,0.005813063179086684,-0.003677048480677997,0.39036084554760536,0.0,-4.59643182798843,-3.080193554482786,2000.0,-4.388397774611549,0.9841764077741999,-8.917908903214395,4,-3.750945;-5.273520;-3.346589;-5.182537,0.7235541710166571,-0.23238451535347637,44146.69411960513,False,-44035.83146246838,0.0,0.42690845139137773,-0.7388270416549214,0.5277276587640826,1.1545754209411914,-0.5059189923834703,-1.6604944133246615,XAU/USD,0.18016956772347847,29252.707294178894,0.8502241121328105,0.17996174025157083,-0.2932092168401753,1.0,0.18016956772347847,-0.2932092168401753,-0.6810006816088037,0.0037898255372353583,False,1.0,110.86265713675022,-0.9899432941345507,False,-0.25278033556219653,-0.05301140066628905,0.9577228240691478,0.00572811507230242,1579,0.006545946744599339,0.015030309271907,-0.010011256918326114,0.01491667783456001,0.017325070710080045,-0.00033782383173621366,-0.010356363371357967,1.080275533099795,1.5222214405805883,-1.417019188201175,1.0297318043960737,1.0278682711834537,-0.07976412526143149,-1.6212398936165404,0.13984361817948576,0.7204989949483329,0.7598848489444617,close,0.27004476892980317,123.97600150354339,99,26.74180333770808,5.305755834683623e-13,False,68,31,run+ledger,10.582159678834811,this run,-0.528055966856844,-2.2784747492263566,False,False,False,False,False,False,0,6,False,True,underpowered
commodities,5m,ha:chart:ssl_hybrid,False,3,6.479531285106189,0.9994836399636762,-0.4530929907975264,0.3201828576028869,-0.7732758484004133,0.0033124543353732815,0.3676660787771899,0.7434382024579494,8505,-1.8046252462877954,0.9345908020296418,-2.739216048317437,-9.523538123472369,0.0,-1.1483448128217986,-0.2437869356584311,2.8559071938230036,476089,2020-03-16,2026-08-21,0.32170923330862233,0.3413418347140197,-0.9831161338133957,-0.31205552505444323,0.33590842671197785,200.35595491288174,65309.14428113385,0.011323236525880763,-0.008855901724804235,0.28762588155825997,0.0,-3.308895405445817,-2.2024350371508565,2000.0,-3.243096472308842,0.8324202746475788,-7.791968963470692,4,-2.108703;-3.982082;-3.151276;-3.730325,0.9424840455848438,-0.2960292974147364,60485.65040529187,False,-60285.29445037899,0.0,0.180455439632545,-0.45326403289147077,0.9994836399636762,1.0764822273874477,-0.46087433133665523,-1.537356558724103,XAU/USD,0.18016956772347847,29252.707294178894,0.8502241121328105,0.17996174025157083,-0.2932092168401753,1.0,0.18016956772347847,-0.2932092168401753,-0.6332625585210049,0.006849142299822325,False,1.0,200.35595491288174,-0.9831161338133957,False,-1.0351446569656995,-0.2327538864274569,0.815952522789299,0.002619580365797125,1579,-0.008252594935229243,0.0006790217610011823,-0.00017571006416899687,0.0022422548704950536,0.005606578531452876,0.0005860070107321566,-0.002060277897145773,-1.3362436556920718,0.06750817466993565,-0.01984212088899605,0.16687574862075033,0.368778341962607,0.09792824860385696,-0.3662571282782378,0.8073958389525535,-0.021122174863817126,0.003193780531275836,close,-0.0437356707825324,71.96907747686163,99,26.74180333770808,2.1896494779016784e-06,False,68,31,run+ledger,10.582159678834811,this run,-0.016214619380065097,-1.7884106269077302,False,False,False,False,False,False,0,6,False,True,underpowered
