class,tf,rule,pit,n_names,years,exposure,cagr,cashmatch_bench_cagr,cashmatch_excess_cagr,cashmatch_ratio,win_rate,profit_factor,n_trades,sharpe,bench_sharpe,dsharpe,boot_t,dsr,alpha_vs_bh_ann,alpha_vs_bh_t,avg_breadth,bars,start,end,vol,bench_vol,dd,bench_dd,bench_cagr,wealth,bench_wealth,avg_win,avg_loss,boot_se,boot_p_gt0,boot_ci_lo,boot_ci_hi,boot_draws,fold_dsharpe,fold_sd,fold_t,n_folds_scored,fold_edges,cash_w,cashmatch_bench_dd,cashmatch_bench_wealth,cashmatch_beats,edge_wealth,edge_headroom,cost_drag_ann,roe_ann,const_weight,const_mar,mar,vs_constant,index_symbol,index_cagr,index_wealth,index_sharpe,index_vol,index_dd,idx_cash_w,idx_cashmatch_bench_cagr,idx_cashmatch_bench_dd,idx_cashmatch_excess_cagr,idx_cashmatch_ratio,idx_cashmatch_beats,volmatch_k,volmatch_wealth,volmatch_dd,volmatch_beats,alpha_ann,alpha_t,alpha_p,r2,factor_n,beta_Mkt-RF,beta_SMB,beta_HML,beta_RMW,beta_CMA,beta_Mom,beta_ST_Rev,t_Mkt-RF,t_SMB,t_HML,t_RMW,t_CMA,t_Mom,t_ST_Rev,alpha_vs_bh_p,beta_BH,r2_vs_bh,fill,skew,kurtosis,n_trials,sr_star_ann,psr,dsr_pass,n_trials_ledger,n_trials_measured,n_trials_source,trial_dispersion,dispersion_source,edge_gate_dsharpe,edge_gate_t,edge_gate_vs_random,edge_gate_vs_constant,edge_gate_wealth,edge_gate_headroom,edge_passed,edge_n,edge_powered,edge_rankable,edge_verdict
crypto,1d,ema_cross_sniper@allow_short=0,False,20,8.938601709264592,0.4360518985406299,0.5582631951380588,0.3318320885379731,0.2264311066000857,4.069445317580298,0.3240371845949535,5.799709727087823,753,1.1446013040500311,0.8014712030597259,0.3431301009903053,2.73745158442446,0.6887802763878261,0.2092162006884973,1.5087705856613938,16.416411512553584,3266,2017-08-29,2026-08-08,0.4581812657617671,0.8212804439234934,-0.49791353552074835,-0.86811831251871,0.4033273485752644,527156.4217780296,206726.2328011097,1.2227844503671095,-0.10106847051221479,0.12534654601478448,0.99,0.05712587484406191,0.5512350427861352,2000,-0.1508386037234086,0.5290407664827915,-0.6983915721516407,6,0.254138;0.386256;-0.641688;0.137124;-0.102166;-0.938696,0.5578864919428778,-0.6321172989628905,129540.11680674902,True,397616.3049712807,3.0,0.06030691911562355,1.6747322390065817,0.4360518985406299,0.5319350218950423,1.1212050995042604,0.5892700776092181,BTC/USD,0.345368143034849,141794.58064904853,0.7437794935440747,0.6709035569939754,-0.8318933435752258,0.6829316389596687,0.29756752415113774,-0.676511516572558,0.26069567098692104,5.1370735256625215,True,1.0,527156.4217780296,-0.49791353552074835,True,0.3738836090307082,1.8120809581892015,0.06997368815742977,0.05201669561302735,2219,0.3828237702317744,0.27981536076455216,0.04040767492616784,-0.2098822485431756,-0.28631937641058486,0.008797572234174239,-0.22415231826760856,6.9001987022357065,2.311012590249981,0.4407966712648323,-1.7914413196996992,-1.5021121156831223,0.16128327640545517,-3.622478919592842,0.1313574200796379,0.42754615614381225,0.5506849888265783,close,-0.3208375114865834,20.837516619249868,1187,0.9768621958031274,0.9996102343714068,False,53,3,override,0.2957,override,False,False,False,True,True,True,3,6,False,True,underpowered
crypto,1d,renko_delta,False,20,8.938601709264592,0.48837646690638586,0.2624973632002501,0.34090201451951185,-0.07840465131926178,0.5835895555390938,0.34026465028355385,1.4780102970732258,2645,0.6720527293727224,0.8014712030597259,-0.12941847368700343,-0.7101259345687291,0.1795720584359069,-0.024766684080072522,-0.1883959518548104,16.416411512553584,3266,2017-08-29,2026-08-08,0.47905264482892607,0.8212804439234934,-0.7386247129387922,-0.86811831251871,0.4033273485752644,80326.5175767619,206726.2328011097,0.2292327448718495,-0.07999194802002371,0.18224721473607544,0.2155,-0.5339973229579924,0.1851500568527872,2000,-0.6231107431812211,0.7460408817417116,-2.045870958810041,6,0.375783;-0.809868;-0.070709;-0.362798;-1.266370;-1.604704,0.5832997100726683,-0.6513151341760393,137642.1438909404,False,-57315.62631417852,0.5,0.23315194649384985,0.5680473588649704,0.48837646690638586,0.5288688160476347,0.3553866511666562,-0.1734821648809785,BTC/USD,0.345368143034849,141794.58064904853,0.7437794935440747,0.6709035569939754,-0.8318933435752258,0.7140409971521852,0.30489714737987605,-0.6955742897364869,-0.04239978417962598,0.74433525552697,False,1.0,80326.5175767619,-0.7386247129387922,False,0.14189435208718124,0.6431680131251111,0.5201150863288388,0.05883977989643807,2219,0.42663951841774983,0.3494753938863393,-0.06566558126626285,-0.0912169991231131,-0.17015628986990558,0.008272505960173024,-0.11574880065093247,7.904036738657935,3.854803869806628,-0.8620405146946203,-0.8226980602978905,-1.3037481125193955,0.18597137162194605,-2.0486191292091296,0.8505662728334129,0.43272245618982347,0.5695943190272602,close,0.4658289218212412,12.96269352087782,1187,0.9768621958031274,0.9784026235057681,False,53,3,override,0.2957,override,False,False,False,False,False,False,0,6,False,True,underpowered
crypto,1d,pivot_center@allow_short=0,False,20,8.938601709264592,0.45549940996187765,0.19069301965697005,0.32160658049403157,-0.13091356083706152,0.39360447364518714,0.24889170360987967,1.6883734005982127,3158,0.5610649359196336,0.8014712030597259,-0.24040626714009228,-1.437600944501912,0.10762419692343844,-0.07919618217964625,-0.564000867325636,16.416411512553584,3266,2017-08-29,2026-08-08,0.4360030412571887,0.8212804439234934,-0.7012827531120542,-0.86811831251871,0.4033273485752644,47593.13246262541,206726.2328011097,0.2480396400902784,-0.048681107777710286,0.1672273992720464,0.0475,-0.617295891256342,0.03424632050251229,2000,-0.7547078870931699,0.8062639576020988,-2.292858574170093,6,0.102453;-0.325395;-0.932713;-0.314278;-0.856080;-2.202234,0.5308820445964554,-0.6108315963324876,120916.13700897113,False,-73323.00454634572,0.5,0.25990808194799003,0.4223376577707352,0.45549940996187765,0.5307475354057544,0.27192030434334696,-0.2588272310624074,BTC/USD,0.345368143034849,141794.58064904853,0.7437794935440747,0.6709035569939754,-0.8318933435752258,0.6498743920970208,0.28919059582242657,-0.6552290104430074,-0.09849757616545651,0.49143197860375415,False,1.0,47593.13246262541,-0.7012827531120542,False,0.06666956259562742,0.3213850160965925,0.7479186367613841,0.049500379825223484,2219,0.34455073554811805,0.3501861676183045,-0.06159215432577972,-0.09654823987555045,-0.14097385016514885,-0.00577932906940401,-0.1777740713385158,5.792069341892428,3.8697754394715225,-0.838445945182461,-0.9515662351628865,-1.1654602737006867,-0.11739422918909234,-3.4708557604889267,0.5727535418753731,0.3787290947223586,0.5043184200610297,close,-0.12797344557917809,11.152691850609035,1187,0.9768621958031274,0.9527600239995382,False,53,3,override,0.2957,override,False,False,False,False,False,False,0,6,False,True,underpowered
