,ADX,CDLDOJI,CDLLONGLEGGEDDOJI,DX,HT_TRENDMODE,MAXINDEX,MININDEX,MINMAX
ADX,1.0,-0.03425026345263992,-0.03433891385113975,0.3412918962929691,0.12368095301957374,-0.013731430711404934,-0.011323857503598137,0.4048608395591654
CDLDOJI,-0.03425026345263992,1.0,0.998717031022766,-0.047439474896293916,0.6834534406356886,0.7276666750551494,0.7350761707529051,0.018249123878994578
CDLLONGLEGGEDDOJI,-0.03433891385113975,0.998717031022766,1.0,-0.047370831128266185,0.6828597692820064,0.7271825908170441,0.7341428467629364,0.018041532278558974
DX,0.3412918962929691,-0.047439474896293916,-0.047370831128266185,1.0,0.0655616693080326,-0.04754306461629898,-0.05295924857604474,0.17725403309463544
HT_TRENDMODE,0.12368095301957374,0.6834534406356886,0.6828597692820064,0.0655616693080326,1.0,0.8125238510511059,0.8123840607510279,0.17117726411970893
MAXINDEX,-0.013731430711404934,0.7276666750551494,0.7271825908170441,-0.04754306461629898,0.8125238510511059,1.0,0.8373275074310372,0.0034361191666422547
MININDEX,-0.011323857503598137,0.7350761707529051,0.7341428467629364,-0.05295924857604474,0.8123840607510279,0.8373275074310372,1.0,0.017571366827085565
MINMAX,0.4048608395591654,0.018249123878994578,0.018041532278558974,0.17725403309463544,0.17117726411970893,0.0034361191666422547,0.017571366827085565,1.0
