class,tf,rule,pit,n_names,years,exposure,cagr,cashmatch_bench_cagr,cashmatch_excess_cagr,cashmatch_ratio,win_rate,profit_factor,n_trades,sharpe,bench_sharpe,dsharpe,boot_t,dsr,alpha_vs_bh_ann,alpha_vs_bh_t,avg_breadth,bars,start,end,vol,bench_vol,dd,bench_dd,bench_cagr,wealth,bench_wealth,avg_win,avg_loss,boot_se,boot_p_gt0,boot_ci_lo,boot_ci_hi,boot_draws,fold_dsharpe,fold_sd,fold_t,n_folds_scored,fold_edges,cash_w,cashmatch_bench_dd,cashmatch_bench_wealth,cashmatch_beats,edge_wealth,edge_headroom,cost_drag_ann,roe_ann,const_weight,const_mar,mar,vs_constant,index_symbol,index_cagr,index_wealth,index_sharpe,index_vol,index_dd,idx_cash_w,idx_cashmatch_bench_cagr,idx_cashmatch_bench_dd,idx_cashmatch_excess_cagr,idx_cashmatch_ratio,idx_cashmatch_beats,volmatch_k,volmatch_wealth,volmatch_dd,volmatch_beats,alpha_ann,alpha_t,alpha_p,r2,factor_n,beta_Mkt-RF,beta_SMB,beta_HML,beta_RMW,beta_CMA,beta_Mom,beta_ST_Rev,t_Mkt-RF,t_SMB,t_HML,t_RMW,t_CMA,t_Mom,t_ST_Rev,alpha_vs_bh_p,beta_BH,r2_vs_bh,fill,skew,kurtosis,n_trials,sr_star_ann,psr,dsr_pass,n_trials_ledger,n_trials_measured,n_trials_source,trial_dispersion,dispersion_source,rand_sharpe,vs_random,edge_gate_dsharpe,edge_gate_t,edge_gate_vs_random,edge_gate_vs_constant,edge_gate_wealth,edge_gate_headroom,edge_passed,edge_n,edge_powered,edge_rankable,edge_verdict
commodities,2m,BUYHOLD,False,3,5.934769969354557,1.0,0.33559261849667865,0.3356525677167248,-5.994922004615155e-05,0.9997336542151104,1.0,,3,0.85714198595437,0.8572572428127552,-0.00011525685838520427,,0.0,-0.033071087396076414,-1.0536937231494754,2.922519931652452,1093236,2020-10-01,2026-08-21,0.3894334656084438,0.3894335203308543,-0.31482170328653303,-0.3148217032865245,0.33565260192193525,55698.864472796966,55713.71205059218,1.5043996586847743,,,,,,,,,,3,0.000000;0.000000;0.000000,0.9999998594820227,-0.3148216642157151,55713.70358290686,False,-14.83911010989658,0.0,4.493294062679035e-05,0.33559261849667865,1.0,1.0661672890336034,1.0659767576164885,-0.00019053141711489197,XAU/USD,0.15706638668273576,23769.322409554356,0.7395820210591625,0.17569092382583087,-0.29352938193938205,1.0,0.15706638668273576,-0.29352938193938205,0.1785262318139429,2.3433088883681497,True,1.0,55698.864472796966,-0.31482170328653303,False,1.392547478377671,0.0931009900301338,0.9258233309235402,0.00871377861399969,1440,0.0034920025601282937,0.006837353056226698,-0.000940554467236723,0.003885085581439209,0.031528105897881915,-0.007645635223257724,-0.01711027527000716,0.30924612286287806,0.5667622905583702,-0.0774375093474912,0.1953044796207664,1.3775025442412667,-1.2977710008845054,-1.3625925170808224,0.2920231636182078,0.9999835589757659,0.9999962413421453,close,0.5605343248566287,103.56476441532132,99,48.46849330006472,0.9816541614667504,False,68,31,run+ledger,19.179758710235827,this run,-1.53728556653755,2.39442755249192,False,False,True,False,False,False,1,6,False,True,underpowered
commodities,2m,ha:chart:ssl_hybrid@allow_short=0,False,3,5.934769969354557,0.4899445316473296,-0.3691607921412895,0.24505900507076328,-0.6142197972120528,0.017686138311116165,0.3815928523393217,0.7851495907756709,10409,-1.779589210185037,0.8572572428127552,-2.6368464529977924,-8.510025428568358,0.0,1.1781882901170062,0.19506287610325368,2.922519931652452,1093236,2020-10-01,2026-08-21,0.25783938217077296,0.3894335203308543,-0.9425430469252212,-0.3148217032865245,0.33565260192193525,649.4764035618124,55713.71205059218,0.006528347070015763,-0.005130699237909697,0.309851771317373,0.0,-3.2976317765611984,-2.1230508271665953,2000.0,-3.294180326114356,0.8168995675620397,-6.984564468741204,3,-2.991330;-4.219257;-2.671955,0.6620883121507316,-0.21578420971411827,36722.341086386325,False,-36072.86468282452,0.0,0.2347240652167744,-0.6220275241694104,0.4899445316473296,1.1984289000295698,-0.39166464953040786,-1.5900935495599777,XAU/USD,0.15706638668273576,23769.322409554356,0.7395820210591625,0.17569092382583087,-0.29352938193938205,1.0,0.15706638668273576,-0.29352938193938205,-0.5262271788240253,0.02732414464203438,False,1.0,649.4764035618124,-0.9425430469252212,False,1.7143974859323086,0.20778190367838337,0.8353992630179443,0.004187251866381914,1440,0.0030275156717191366,0.0026262054022687976,-0.009094153377775194,0.010566516814839623,0.01487337137680929,-0.0041413967064783275,-0.0040647605597510916,0.8749937236478066,0.3745961765093888,-1.4144975296468854,1.0675910774222352,1.4256558620217565,-0.8803799850364622,-0.7198989215572619,0.8453437248577083,0.37611770277128725,0.4218935941115156,close,0.31136249915722136,167.04562227872782,99,48.46849330006472,7.422204825913159e-06,False,68,31,run+ledger,19.179758710235827,this run,-2.813846308049929,1.034257097864892,False,False,True,False,False,False,1,6,False,True,underpowered
commodities,2m,RANDOM_75,False,3,5.934769969354557,0.7511529989864951,-0.418122794636528,0.30077987382740523,-0.7189026684639332,0.008444127656064771,0.46249792117079663,0.9260935897038803,30065,-1.53728556653755,0.8572572428127552,-2.3945428093503054,-5.086132591636029,0.0,-5.109291936405968,-0.8323585859312733,2.922519931652452,1093236,2020-10-01,2026-08-21,0.33595554848756537,0.3894335203308543,-0.963839388163701,-0.3148217032865245,0.33565260192193525,402.0944925579458,55713.71205059218,0.004109087942683354,-0.003817861722424475,0.4707983455421609,0.0,-3.839797521557793,-1.9602767457888752,2000.0,-2.3816659137735505,0.7133624015934606,-5.78270786362756,3,-3.183012;-2.146127;-1.815859,0.8626775327458838,-0.2758092339314815,47618.23943639128,False,-47216.144943833344,0.0,0.6887938967208043,-0.5187083987378482,0.7511529989864951,1.1134997449089146,-0.43380961576298743,-1.547309360671902,XAU/USD,0.15706638668273576,23769.322409554356,0.7395820210591625,0.17569092382583087,-0.29352938193938205,1.0,0.15706638668273576,-0.29352938193938205,-0.5751891813192638,0.016916531553979815,False,1.0,402.0944925579458,-0.963839388163701,False,-4.333188492397291,-0.4714898935925409,0.6372909351178999,0.005532731534178659,1440,0.008178636812917977,0.00411808237305202,0.003674347383877412,0.018156922594536724,0.005061044200283665,0.00029808782652084856,-0.0032912201637705103,1.6096876521853087,0.41155493020400563,0.5165714626040089,1.5719734079286367,0.4326356960778191,0.06473289563558467,-0.6399948165022108,0.405206570848347,0.5443887325162073,0.6096791392567983,close,0.6104610941606146,134.14203932759966,99,48.46849330006472,9.19536985076741e-05,False,68,31,run+ledger,19.179758710235827,this run,-1.53728556653755,0.0,False,False,True,False,False,False,1,6,False,True,underpowered
commodities,2m,RANDOM_50,False,3,5.934769969354557,0.5020620738187668,-0.535238366890636,0.25441717045493917,-0.7896555373455751,0.0027596730236981834,0.4561141033313385,0.8936158412525314,40104,-2.813846308049929,0.8572572428127552,-3.671103550862684,-4.229263170638274,0.0,-7.244212624404226,-1.149935819665084,2.922519931652452,1093236,2020-10-01,2026-08-21,0.27046294911095975,0.3894335203308543,-0.9899479308039825,-0.3148217032865245,0.33565260192193525,105.94688547832209,55713.71205059218,0.0029669648473024503,-0.0027843719214058807,0.8680243822019349,0.0,-6.414210235887593,-2.878466335107078,2000.0,-3.6575808069836753,1.5119474382625273,-4.190037054306977,3,-5.395902;-2.928652;-2.648188,0.6945035159818299,-0.22573254056253667,38391.10089076595,False,-38285.15400528762,0.0,0.9184405396467515,-0.7892980978664956,0.5020620738187668,1.1926342716787872,-0.5406732518304717,-1.733307523509259,XAU/USD,0.15706638668273576,23769.322409554356,0.7395820210591625,0.17569092382583087,-0.29352938193938205,1.0,0.15706638668273576,-0.29352938193938205,-0.6923047535733717,0.004457295149302846,False,1.0,105.94688547832209,-0.9899479308039825,False,-6.752609899769737,-0.8912407513447433,0.37280002656218203,0.003581527174909227,1440,-0.001646217184228569,0.0060328776864372715,0.0005241668434066808,0.011148589629822361,-0.0067396513629428625,-0.002858946340120022,-0.002632147265355848,-0.4692860083691007,0.6620904965584687,0.08761649129081357,1.096087819143159,-0.7252199878385281,-0.742958862673351,-0.5725023747330902,0.2501703063672185,0.3448290124612457,0.3900771643211475,close,0.4207893005789796,168.28458692023972,99,48.46849330006472,3.977596030324548e-12,False,68,31,run+ledger,19.179758710235827,this run,-2.813846308049929,0.0,False,False,True,False,False,False,1,6,False,True,underpowered
commodities,2m,chart:ssl_hybrid@allow_short=0,False,3,5.934769969354557,0.4852514309200697,-0.5874883740956505,0.25778161453331516,-0.8452699886289656,0.001338344954543876,0.35831312908676805,0.6687528636065508,13611,-3.1960559368603425,0.8572572428127552,-4.053313179673098,-7.040251495045329,0.0,1.5518788190060449,0.20967390368940314,2.922519931652452,1093236,2020-10-01,2026-08-21,0.2750447757689933,0.3894335203308543,-0.9951771072102464,-0.3148217032865245,0.33565260192193525,52.203817911265595,55713.71205059218,0.005825254105966629,-0.0048639464845988455,0.5757341456517102,0.0,-5.2610123212304805,-3.074233420749836,2000.0,-5.089285629559931,1.5479242576145877,-5.694659309889018,3,-3.791780;-6.802665;-4.673412,0.7062688787943091,-0.22931950814737379,39006.250020987514,False,-38954.04620307624,0.0,0.30819503975915497,-0.8440341166531093,0.4852514309200697,1.2007526923847598,-0.5903354989169124,-1.791088191301672,XAU/USD,0.15706638668273576,23769.322409554356,0.7395820210591625,0.17569092382583087,-0.29352938193938205,1.0,0.15706638668273576,-0.29352938193938205,-0.7445547607783862,0.0021962686614188744,False,1.0,52.203817911265595,-0.9951771072102464,False,2.31019505805444,0.19937794238063747,0.8419671135294757,0.007702323402790423,1440,-0.004714698742019769,0.009425444580001021,-0.011247914287374866,0.0006738046515398412,0.024567990415665857,-0.003792276135335376,-0.011279121186874512,-0.4792851946617039,1.1115359859753164,-1.3640697201929943,0.040866356856507864,1.250614205177453,-0.8811702816432697,-1.0648802021123045,0.8339221946183848,0.5319121045124489,0.5586246696396311,close,0.92578512021836,269.9985745583974,99,48.46849330006472,4.773959005888173e-15,False,68,31,run+ledger,19.179758710235827,this run,-2.813846308049929,-0.38220962881041354,False,False,False,False,False,False,0,6,False,True,underpowered
commodities,2m,ha:chart:range_filter_macd@allow_short=0,False,3,5.934769969354557,0.18120286927982612,-0.6449618839507532,0.20750006117764142,-0.8524619451283946,0.0006998484298815324,0.31079654808468365,0.5224954048557474,16107,-5.006446727235308,0.8572572428127552,-5.863703970048063,-9.086852976059413,0.0,5.017208515270482,1.0900344423402326,2.922519931652452,1093236,2020-10-01,2026-08-21,0.2087535772375333,0.3894335203308543,-0.9978945906195342,-0.3148217032865245,0.33565260192193525,21.428188548222636,55713.71205059218,0.003541566516969583,-0.003056621547408909,0.6452953498308834,0.0,-7.3111071554792995,-4.784137019264292,2000.0,-7.946060063961158,0.5678913266730186,-24.235234990125498,3,-8.597388;-7.686195;-7.554597,0.5360441932686759,-0.1761765297272999,30618.32767396494,False,-30596.89948541672,0.0,0.3648667111246943,-0.9971371867849514,0.18120286927982612,1.6522235785420218,-0.6463226577371606,-2.2985462362791824,XAU/USD,0.15706638668273576,23769.322409554356,0.7395820210591625,0.17569092382583087,-0.29352938193938205,1.0,0.15706638668273576,-0.29352938193938205,-0.8020282706334889,0.0009015060748895949,False,1.0,21.428188548222636,-0.9978945906195342,False,5.246910731697168,1.0549410863282078,0.29145226981706585,0.0021996071846025478,1440,0.0012910183496656169,0.004650369890437895,-0.005346341384415207,0.006949169280999889,0.0014641818990633877,-0.0005387776592104025,0.001018202791385986,0.48657267434305973,0.7319569353724393,-1.3658809967815617,0.9413390868595451,0.2133737677495925,-0.14372661097396983,0.3156789679089742,0.27569797244517824,0.1611219476244071,0.16842209512074646,close,-0.6436532169182116,513.6497704250787,99,48.46849330006472,0.0,False,68,31,run+ledger,19.179758710235827,this run,-2.813846308049929,-2.192600419185379,False,False,False,False,False,False,0,6,False,True,underpowered
commodities,2m,chart:range_filter_macd@allow_short=0,False,3,5.934769969354557,0.213862789004387,-0.7423138894276993,0.19805237941528198,-0.9403662688429812,0.00010945226601003074,0.30297079875847216,0.45992445773860446,15787,-6.952921176451668,0.8572572428127552,-7.810178419264424,-7.146620754726007,0.0,2.640456403013787,0.5328091867669986,2.922519931652452,1093236,2020-10-01,2026-08-21,0.19675311521944025,0.3894335203308543,-0.9996829923412264,-0.3148217032865245,0.33565260192193525,3.1986050178231134,55713.71205059218,0.00385697209759106,-0.0036451028868319225,1.0928491502924107,0.0,-9.897778646272092,-5.629867899254497,2000.0,-10.49303281554381,0.8540488373656121,-21.28035911631249,3,-9.533365;-11.169532;-10.776201,0.5052290184272865,-0.16626759010540682,29223.74414367974,False,-29220.545538661918,0.0,0.35746400915643056,-0.9984283637905331,0.213862789004387,1.5330410699721215,-0.7425492832375025,-2.275590353209624,XAU/USD,0.15706638668273576,23769.322409554356,0.7395820210591625,0.17569092382583087,-0.29352938193938205,1.0,0.15706638668273576,-0.29352938193938205,-0.899380276110435,0.00013456862432634583,False,1.0,3.1986050178231134,-0.9996829923412264,False,2.9071741538371514,0.5452925715947539,0.5855523123048352,0.005401238328596958,1440,0.006368733443979156,0.004099442761988999,-0.005182371700724046,0.008654400320749326,0.0012379692735499815,-0.0004966544250945555,-0.0046275899800606165,1.890625051876295,0.6348104083632738,-1.4509203001095112,1.2004947317597205,0.16781882270194473,-0.14229070402595442,-1.6357995342521205,0.5941656738202341,0.187086063631335,0.20827439571567263,close,-3.8829795654582835,373.61610460601094,99,48.46849330006472,0.0,False,68,31,run+ledger,19.179758710235827,this run,-2.813846308049929,-4.139074868401739,False,False,False,False,False,False,0,6,False,True,underpowered
commodities,2m,chart:bb_outside_in@allow_short=0,False,3,5.934769969354557,0.5063369970741298,-0.7540748916536301,0.254165419469905,-1.0082403111235352,6.321817171681709e-05,0.3336767908577852,0.7198074814088692,42703,-5.174043658817876,0.8572572428127552,-6.031300901630631,-6.520793689049623,0.0,-4.313456857542094,-0.7515388963637192,2.922519931652452,1093236,2020-10-01,2026-08-21,0.2701210500991778,0.3894335203308543,-0.9997602595102903,-0.3148217032865245,0.33565260192193525,2.4241259225670513,55713.71205059218,0.002966613412632081,-0.002063885780852442,0.9249335570544124,0.0,-8.22348506012832,-5.212732990196568,2000.0,-7.537507727463726,1.6554569370227752,-7.886249442337858,3,-7.281394;-9.306096;-6.025034,0.6936255766316387,-0.22546436987177687,38345.39748200584,False,-38342.973356083276,0.0,1.006756234448708,-0.9392694505136189,0.5063369970741298,1.1906573553794146,-0.7542557172886591,-1.944913072668074,XAU/USD,0.15706638668273576,23769.322409554356,0.7395820210591625,0.17569092382583087,-0.29352938193938205,1.0,0.15706638668273576,-0.29352938193938205,-0.9111412783363658,0.00010198548704075155,False,1.0,2.4241259225670513,-0.9997602595102903,False,-3.769641823050971,-0.48028513849441845,0.6310246548897469,0.005795554366105349,1440,0.0041519619685135975,-0.0015960018061127873,0.007575755485111519,0.0035847245583477735,0.003484262371961272,-0.004960357299320204,-0.00541958295522899,0.9431169735716785,-0.19463088513599427,1.2719804249409046,0.36128653517595166,0.3890848288906304,-1.3117359537520699,-1.2086997604778527,0.4523284011805875,0.38145272983297057,0.4538483073991916,close,-0.13788189454753746,198.64826803847313,99,48.46849330006472,0.0,False,68,31,run+ledger,19.179758710235827,this run,-2.7919378455192283,-2.3821058132986477,False,False,False,False,False,False,0,6,False,True,underpowered
commodities,2m,ha:chart:bb_outside_in@allow_short=0,False,3,5.934769969354557,0.4975979568912842,-0.7936090597092299,0.2535695027718079,-1.047178562481038,2.24056860212065e-05,0.33777489773601715,0.7141821083071883,49382,-5.84114630995909,0.8572572428127552,-6.698403552771845,-4.809585742054191,0.0,1.476104603943277,0.2573870951878573,2.922519931652452,1093236,2020-10-01,2026-08-21,0.2693122637185342,0.3894335203308543,-0.9999153031192543,-0.3148217032865245,0.33565260192193525,0.8567350388192934,55713.71205059218,0.002832138348534007,-0.002022680234827827,1.3927194382256576,0.0,-10.035832671864288,-5.440429931504881,2000.0,-8.873673638703174,2.923403762755787,-5.257451532295379,3,-8.895220;-11.786244;-5.939556,0.6915487487819032,-0.2248297116145066,38237.39375837063,False,-38236.53702333181,0.0,1.1187291224906695,-0.9593700504300459,0.4975979568912842,1.1947355303555929,-0.7936762816146046,-1.9884118119701975,XAU/USD,0.15706638668273576,23769.322409554356,0.7395820210591625,0.17569092382583087,-0.29352938193938205,1.0,0.15706638668273576,-0.29352938193938205,-0.9506754463919657,3.604372998343944e-05,False,1.0,0.8567350388192934,-0.9999153031192543,False,2.238106627589261,0.22911222038474827,0.8187816955766833,0.003496689066461056,1440,0.0020001975309210194,0.0005969697240955718,-0.003780873830405742,0.009472839357064888,0.010894000598427772,-0.006748856885512806,-0.0041665308136066715,0.3864616840165043,0.07092664805848432,-0.4381607514556078,0.7833564020234831,0.9737705864550831,-1.401137810807212,-0.7266618948768747,0.7968799639425441,0.5344974552423009,0.59586592695611,close,0.04019482507477862,203.92925697489562,99,48.46849330006472,0.0,False,68,31,run+ledger,19.179758710235827,this run,-2.813846308049929,-3.0273000019091607,False,False,False,False,False,False,0,6,False,True,underpowered
commodities,2m,ha:chart:ssl_hybrid,False,3,5.934769969354557,0.9997917497533316,-0.7293684132053487,0.3265824761785303,-1.0559508893838792,7.996451276634521e-05,0.3500648446130938,0.6674322494183791,20819,-3.3805194474885094,0.8572572428127552,-4.237776690301264,-8.04881126567214,0.0,2.341049125418397,0.19379458178808517,2.922519931652452,1093236,2020-10-01,2026-08-21,0.37509304187876813,0.3894335203308543,-0.9996053697201088,-0.3148217032865245,0.33565260192193525,4.278552570911703,55713.71205059218,0.006768727513663424,-0.005462334777129203,0.5265096360720016,0.0,-5.362624919118801,-3.3783030009450132,2000.0,-5.356312397747087,1.131684096571953,-8.197875398454155,3,-4.985263;-6.626941;-4.456733,0.9631760552098781,-0.30452350814321505,53505.64172651877,False,-53501.36317394786,0.0,0.46949306337417557,-0.7294421319087108,0.9997917497533316,1.0662023642571952,-0.7296563576980115,-1.7958587219552067,XAU/USD,0.15706638668273576,23769.322409554356,0.7395820210591625,0.17569092382583087,-0.29352938193938205,1.0,0.15706638668273576,-0.29352938193938205,-0.8864347998880845,0.00018000313585682566,False,1.0,4.278552570911703,-0.9996053697201088,False,1.9878258723779245,0.15550010745688284,0.8764270692330498,0.006129673402151092,1440,0.0025530435378611147,-0.0016348132138312658,-0.017236270564613593,0.017213984951343592,-0.0017534821391346398,-0.0006606400507358965,0.008978932057575172,0.2585055417943914,-0.1452728157482245,-1.5795444488224637,1.0722690942350235,-0.10106715803492472,-0.11029426419601775,0.9653116275420996,0.8463367296949393,-0.24776434185725021,0.07837158580836678,close,-0.33773360192498275,113.52839626187668,99,48.46849330006472,1.1102230246251565e-16,False,68,31,run+ledger,19.179758710235827,this run,-1.53728556653755,-1.8432338809509594,False,False,False,False,False,False,0,6,False,True,underpowered
