class,tf,rule,pit,n_names,years,exposure,cagr,cashmatch_bench_cagr,cashmatch_excess_cagr,cashmatch_ratio,win_rate,profit_factor,n_trades,sharpe,bench_sharpe,dsharpe,boot_t,dsr,alpha_vs_bh_ann,alpha_vs_bh_t,avg_breadth,bars,start,end,vol,bench_vol,dd,bench_dd,bench_cagr,wealth,bench_wealth,avg_win,avg_loss,boot_se,boot_p_gt0,boot_ci_lo,boot_ci_hi,boot_draws,fold_dsharpe,fold_sd,fold_t,n_folds_scored,fold_edges,cash_w,cashmatch_bench_dd,cashmatch_bench_wealth,cashmatch_beats,edge_wealth,edge_headroom,cost_drag_ann,roe_ann,const_weight,const_mar,mar,vs_constant,index_symbol,index_cagr,index_wealth,index_sharpe,index_vol,index_dd,idx_cash_w,idx_cashmatch_bench_cagr,idx_cashmatch_bench_dd,idx_cashmatch_excess_cagr,idx_cashmatch_ratio,idx_cashmatch_beats,volmatch_k,volmatch_wealth,volmatch_dd,volmatch_beats,alpha_ann,alpha_t,alpha_p,r2,factor_n,beta_Mkt-RF,beta_SMB,beta_HML,beta_RMW,beta_CMA,beta_Mom,beta_ST_Rev,t_Mkt-RF,t_SMB,t_HML,t_RMW,t_CMA,t_Mom,t_ST_Rev,alpha_vs_bh_p,beta_BH,r2_vs_bh,fill,skew,kurtosis,n_trials,sr_star_ann,psr,dsr_pass,n_trials_ledger,n_trials_measured,n_trials_source,trial_dispersion,dispersion_source,rand_sharpe,vs_random,t_bar_maxt,t_bar_bonferroni,n_candidates_maxt,edge_gate_dsharpe,edge_gate_t,edge_gate_vs_random,edge_gate_vs_constant,edge_gate_wealth,edge_gate_headroom,edge_passed,edge_n,edge_powered,edge_rankable,edge_verdict
commodities,1d,RANDOM_75,False,5,27.110504741473694,0.7495611629182666,0.10394751671865543,0.09609436144220962,0.007853155276445811,1.2135443863915514,0.5291970802919708,2.0197040125625514,274,0.5411520029263093,0.5010877801588381,0.040064222767471125,0.516981840444718,0.02618028670057282,0.01751635819510859,1.2081886381403188,3.955430608886451,7292,2000-01-03,2026-08-08,0.17700518909530483,0.21883434711247254,-0.4427930051270276,-0.5347226937091212,0.11001743388063567,146000.226924051,169400.13563467926,0.15473727262342996,-0.08611632764101053,0.07749638310894459,0.678,-0.11848664032329585,0.18833499877262272,2000.0,-0.02494681240001359,0.4349206553180002,-0.2810028005880291,24,-0.056601;0.255240;-0.959930;0.409254;0.285782;0.233167;-0.028184;-0.109886;0.199532;0.873183;-0.417418;-0.015199;0.344888;-0.021589;-0.609924;-0.549317;-0.560799;0.771170;0.048594;-0.379490;-0.327231;-0.108256;-0.169494;0.293784,0.8088546950279742,-0.4532339549958938,120308.93023878557,True,25691.296685265428,5.0,0.0010048995248567404,0.13283599994412287,0.7495611629182666,0.2146077366030018,0.234754197819442,0.020146461216440203,XAU/USD,0.1051177472326581,150254.60519031223,0.5575343510664825,0.17222572427229788,-0.44659535407497697,1.0,0.1051177472326581,-0.44659535407497697,-0.001170230514002668,0.9716855382843498,False,1.0,146000.226924051,-0.4427930051270276,False,0.06286695319864989,1.8172395332646776,0.06918044408473656,0.05611150406552656,6660,0.21349058941199292,0.0937774045546127,0.06815702385858347,0.01721072198180773,0.037255706175031586,0.05612843360568305,-0.018137145808191334,9.898612598211486,3.0256076177628697,1.9865244969766482,0.46317653352668436,0.7200941034680295,2.6417269819203297,-0.613927737691452,0.22697471109142486,0.7480025450441123,0.8501257704701703,close,-0.08761596534915647,9.254076681377638,1187,0.9147552993503075,0.9975248763884713,False,0,19,override,0.2769,override,0.5411520029263093,0.0,2.747575788349894,2.9551668474978343,16,False,False,True,True,True,True,4,6,True,True,fail
commodities,1d,bb_outside_in@allow_short=0,False,5,27.110504741473694,0.4648610349241178,0.08043907581472887,0.07678407291070677,0.0036550029040220977,1.096219278357278,0.5045317220543807,1.949281256599357,331,0.5280373694633919,0.5010877801588381,0.02694958930455371,0.2727231041805668,0.023253686654145067,0.028693399379144682,1.6306142695864447,3.955430608886451,7292,2000-01-03,2026-08-08,0.12603722313133878,0.21883434711247254,-0.3825722017635559,-0.5347226937091212,0.11001743388063567,81455.53960037827,169400.13563467926,0.09432455883335827,-0.0492745763368572,0.09881667116369688,0.6125,-0.1889488618530051,0.20956769562123667,2000.0,0.0047032678983712495,0.6022928200617771,0.03825583201685885,24,0.135369;-0.133852;-0.892175;0.431374;0.327013;0.154170;0.022418;-1.515173;0.696084;-0.409488;0.517864;-0.639031;0.557607;0.273473;0.655793;0.689710;-1.077121;0.481259;-0.048404;-0.758624;0.320287;-0.147223;0.427282;0.044266,0.575948084907167,-0.34062388859026704,74305.88132188495,True,7149.658278493307,3.0,0.001169042540357016,0.15514813599243116,0.4648610349241178,0.23687781470404645,0.21025854843589306,-0.02661926626815339,XAU/USD,0.1051177472326581,150254.60519031223,0.5575343510664825,0.17222572427229788,-0.44659535407497697,0.7318141564733229,0.08448202970876939,-0.3426656613731144,-0.004042953894040524,0.9037008020868886,False,1.0,81455.53960037827,-0.3825722017635559,False,0.0548765416363359,2.225529026553008,0.026045744765605727,0.03945777554689833,6660,0.12700458663478326,0.042247028217202075,0.03359414881145493,-0.009484947211282235,0.03341484361174986,-0.002985288177459418,-0.045954205358557945,8.072694849434034,1.729113442463009,1.1835367313671838,-0.3545748895278544,0.8888393156763744,-0.20478302559523906,-2.834452674434744,0.10297173629195155,0.43185887735545125,0.5618766721320252,close,-0.5756599901698138,17.809909507252396,1187,0.9147552993503075,0.9967185681637664,False,0,19,override,0.2769,override,0.46755853190796187,0.06047883755542999,2.747575788349894,2.9551668474978343,16,False,False,True,False,True,True,3,6,True,True,fail
commodities,1d,BUYHOLD,False,5,27.110504741473694,1.0,0.11001382473515564,0.11001743388063567,-3.6091454800324385e-06,0.9999118557966816,1.0,,5,0.5010729066660808,0.5010877801588381,-1.4873492757305762e-05,,0.016352359872687683,-3.5822541413951294e-06,-1.1288938476209642,3.955430608886451,7292,2000-01-03,2026-08-08,0.2188343547678121,0.21883434711247254,-0.5347591860431161,-0.5347226937091212,0.11001743388063567,169385.2039946817,169400.13563467926,5.6045184034400775,,,,,,,,,,24,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;-0.000417;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000,1.0,-0.5347226937091212,169400.13563467926,False,-14.931639997541879,0.5,1.2787171244965241e-05,0.11001382473515564,1.0,0.20574670791975594,0.20572591851893038,-2.0789400825560467e-05,XAU/USD,0.1051177472326581,150254.60519031223,0.5575343510664825,0.17222572427229788,-0.44659535407497697,1.0,0.1051177472326581,-0.44659535407497697,0.004896077502497542,1.1273212144156162,True,0.999999965017652,169385.1911151014,-0.5347591720491054,False,0.06062534400136871,1.3851870803098658,0.16599527018584626,0.0731320826168218,6660,0.29589882611630514,0.12488496880501394,0.09564108946159536,0.031445000735025375,0.028778736266853594,0.08017346706865788,0.006234788292709131,11.811840349871218,3.046304618637595,2.1481070433049387,0.6475991096091939,0.4361206308246736,2.9133642484607067,0.1637810836967184,0.2589426164566295,0.9999999148604788,0.9999999951395088,close,-0.4961398335586281,9.04132043445585,1187,0.9147552993503075,0.9951571777659127,False,0,19,override,0.2769,override,0.5411520029263093,-0.04007909626022843,2.747575788349894,2.9551668474978343,16,False,False,False,False,False,False,0,6,True,True,fail
commodities,1d,ema_cross_sniper@allow_short=0,False,5,27.110504741473694,0.5410449808008776,0.0821316619321999,0.08497561080321048,-0.002843948871010582,0.9313169468875452,0.3523809523809524,1.678499226373185,630,0.4832922614888319,0.5010877801588381,-0.017795518670006227,-0.15333645861767445,0.013232050022681074,0.035496211253565536,1.7930725369698672,3.955430608886451,7292,2000-01-03,2026-08-08,0.14685955738313067,0.21883434711247254,-0.3468953227169438,-0.5347226937091212,0.11001743388063567,84986.69234848178,169400.13563467926,0.10201526034195002,-0.03307019899037705,0.11605536498255224,0.4155,-0.2549386547101794,0.19892746327220098,2000.0,-0.13215084810340208,0.6061514996929892,-1.0680569035738876,24,-0.246006;-0.117814;-0.953343;-0.064056;-0.643016;1.047212;-0.781900;-0.540899;-0.038062;0.842217;-0.017397;0.971534;0.295230;-0.218898;-0.796926;0.337853;-0.865781;0.586978;0.165502;-0.414956;-0.968304;-0.550194;-0.533275;0.332680,0.6710992096119648,-0.38843162042572765,91254.31748290066,False,-6267.625134418875,0.0,0.00229480542419261,0.13818928440501166,0.5410449808008776,0.22848728270140742,0.23676209090664757,0.008274808205240153,XAU/USD,0.1051177472326581,150254.60519031223,0.5575343510664825,0.17222572427229788,-0.44659535407497697,0.852715574306066,0.09402643694240331,-0.3910276853930137,-0.011894775010203418,0.7435105159932112,False,1.0,84986.69234848178,-0.3468953227169438,False,0.06665770614976133,2.2753972956406874,0.022882107465410417,0.03416320902860215,6660,0.10973506364717113,0.09449853086432705,0.040707688926131504,-0.024533983328164873,-0.017799154315084942,0.0206746322420766,-0.1273487345079546,7.1727084627178925,4.369424194930726,1.574357633094459,-0.7739360263584593,-0.42563235994948817,1.2288824231845377,-7.844779468604161,0.07296132627175522,0.5139707094893339,0.5786852662701019,close,-0.7255088102141767,15.465658497937376,1187,0.9147552993503075,0.9935393057623728,False,0,19,override,0.2769,override,0.47919020698511694,0.00410205450371498,2.747575788349894,2.9551668474978343,16,False,False,True,True,False,False,2,6,True,True,fail
commodities,1d,heikin_reversal,False,5,27.110504741473694,0.5003062717132931,0.08081521060557906,0.08393131197419446,-0.003116101368615398,0.9249182596035244,0.5268886043533931,1.3328857220620811,1562,0.4809240472209472,0.5010877801588381,-0.02016373293789092,-0.18686162973576181,0.011924919465726602,0.008591975776352926,0.4533487170178698,3.955430608886451,7292,2000-01-03,2026-08-08,0.14414562581199916,0.21883434711247254,-0.5180387594127568,-0.5347226937091212,0.11001743388063567,82227.82275293028,169400.13563467926,0.03589042144578903,-0.029987553729430096,0.10790729464579833,0.4375,-0.2252266720060157,0.19482106715229963,2000.0,0.06224806841381745,0.5703934028527907,0.5346345323249222,24,0.432569;-0.368729;0.025284;0.676130;0.210403;0.550422;-0.816253;0.177022;-0.488080;-1.035725;-0.273899;0.183810;-0.500231;-0.307560;1.188553;-0.103840;0.632899;-0.553440;-0.235951;0.342947;0.779922;1.035136;-0.009911;-0.047527,0.658697447242657,-0.38234258484806605,88902.79967894468,False,-6674.976926014402,0.5,0.005791604945411951,0.1462551267742922,0.5003062717132931,0.23263902865596914,0.15600224720094366,-0.07663678145502548,XAU/USD,0.1051177472326581,150254.60519031223,0.5575343510664825,0.17222572427229788,-0.44659535407497697,0.8369575823882,0.09280461953458263,-0.38486511031322734,-0.011989408929003575,0.7415006910723697,False,1.0,82227.82275293028,-0.5180387594127568,False,0.039148189594134415,1.3526509444833505,0.1761671690390214,0.05967212416401646,6660,0.1561379913229083,0.029018990250592958,0.05783842288866843,0.024912039147056336,0.03737238126476064,0.0509622501456608,0.07637111173107712,7.732227981957533,0.9297499982104096,1.90402930100748,0.7210288783033763,0.905940948993991,2.477818022189821,2.376830252538344,0.6502976579327988,0.5039873391038829,0.6047520836402992,close,0.14181374510056435,16.915929966954902,1187,0.9147552993503075,0.993874223544754,False,0,19,override,0.2769,override,0.46755853190796187,0.013365515312985354,2.747575788349894,2.9551668474978343,16,False,False,True,False,False,False,1,6,True,True,fail
commodities,1d,RANDOM_50,False,5,27.110504741473694,0.5019016273541781,0.074925648042242,0.07969853593153231,-0.0047728878892903115,0.8868231639806489,0.5445026178010471,1.609654989191461,382,0.46755853190796187,0.5010877801588381,-0.033529248250876276,-0.30935757452458723,0.009803701740371429,0.015689395838237315,0.9604700254930642,3.955430608886451,7292,2000-01-03,2026-08-08,0.13332691949797015,0.21883434711247254,-0.304277605372938,-0.5347226937091212,0.11001743388063567,70906.32071406358,169400.13563467926,0.09032417740733832,-0.06707880262512354,0.10838347275770817,0.367,-0.2545595606768261,0.172322634004555,2000.0,-0.10500815095085457,0.6978073390533173,-0.7372131941509799,24,-0.198415;-0.181871;-0.942897;0.230838;0.200471;0.079990;-0.234676;-0.753055;0.322909;0.851320;-0.614811;0.559067;0.388429;0.827568;-0.542640;-0.761958;-2.332010;0.689692;0.556146;-0.175128;0.290826;-0.209954;-0.336067;-0.233969,0.6092595666869661,-0.35764671758247735,79955.42244948713,False,-9049.101735423548,0.0,0.001401424787020327,0.13275558060638049,0.5019016273541781,0.23246304984847546,0.2462410861634373,0.013778036314961828,XAU/USD,0.1051177472326581,150254.60519031223,0.5575343510664825,0.17222572427229788,-0.44659535407497697,0.7741405650132341,0.08786771396590187,-0.35987956569724566,-0.012942065923659873,0.7229175165036725,False,1.0,70906.32071406358,-0.304277605372938,False,0.04567314355732531,1.700844620926172,0.0889721679020683,0.02863353068284491,6660,0.11673646850508519,0.058764009524224205,0.02303951953591763,0.002741980909552841,0.03612634194638002,0.043774938592726,-0.025764893345833664,6.878620126224886,2.5566742467942825,0.8240347129808786,0.10048888755605216,0.9905330876187478,2.8520785570800395,-1.4160963142247334,0.3368187097938484,0.49454521163585796,0.6394492401491609,close,0.2718228237845201,16.037437426550454,1187,0.9147552993503075,0.9926571517750731,False,0,19,override,0.2769,override,0.46755853190796187,0.0,2.747575788349894,2.9551668474978343,16,False,False,True,True,False,False,2,6,True,True,fail
commodities,1d,renko_delta,False,5,27.110504741473694,0.5490354726641068,0.0744895762164337,0.08489927984714951,-0.010409703630715805,0.7699854328585122,0.4039301310043668,1.5909800468135422,458,0.435305951662946,0.5010877801588381,-0.06578182849589215,-0.4916113592580251,0.006581238005237189,0.01561944495308196,0.8178338120866637,3.955430608886451,7292,2000-01-03,2026-08-08,0.14666056413539003,0.21883434711247254,-0.3987152121357649,-0.5347226937091212,0.11001743388063567,70130.60290210576,169400.13563467926,0.12483873258627888,-0.05317331043708892,0.13380860156521762,0.2835,-0.32303589689750195,0.19424601466638067,2000.0,-0.1912101759501705,0.62942310163308,-1.4882433246904956,24,-0.947135;-0.549230;-0.918733;0.476738;-0.619313;0.444077;-0.846113;-0.611921;-0.340929;0.292436;-0.061308;0.486096;0.379767;0.093165;-0.997190;0.609017;0.034409;1.429921;-0.212457;-0.722760;-0.953777;-0.570758;-0.489307;0.006262,0.670189876820443,-0.3879865962645481,91080.42816050592,False,-20949.82525840015,0.0,0.0016987265184657686,0.12144778177855664,0.5490354726641068,0.22774911967376715,0.18682401360465165,-0.04092510606911551,XAU/USD,0.1051177472326581,150254.60519031223,0.5575343510664825,0.17222572427229788,-0.44659535407497697,0.8515601531366592,0.09393707788875671,-0.390577259504604,-0.01944750167232301,0.6149014041868452,False,1.0,70130.60290210576,-0.3987152121357649,False,0.04805421563773041,1.6358628662561185,0.10186829119569074,0.03416355925944936,6660,0.13134484268080768,0.07810826719495007,0.05721474766159069,-0.005858434846515992,0.0008299416415718346,0.022905871321390023,-0.07239573852229922,7.324651126959742,3.4981394090339615,2.117630100106315,-0.19599118901386106,0.02133679595907753,1.4601980523223062,-3.261583060920397,0.41345208823027146,0.5349718348379928,0.6254199788195659,close,-0.4231518650033235,14.7630859792851,1187,0.9147552993503075,0.987809355835287,False,0,19,override,0.2769,override,0.4815646281032843,-0.04625867644033832,2.747575788349894,2.9551668474978343,16,False,False,False,False,False,False,0,6,True,True,fail
commodities,1d,pivot_center@allow_short=0,False,5,27.110504741473694,0.5428346132748217,0.07094198481336633,0.08396697640231254,-0.013024991588946211,0.7205547087036873,0.2924251321197886,1.3684793213814699,1703,0.4173180365499816,0.5010877801588381,-0.08376974360885653,-0.81478993292352,0.00515465440504248,0.025412491802751704,1.298870559304843,3.955430608886451,7292,2000-01-03,2026-08-08,0.14423800922567107,0.21883434711247254,-0.30617800878689494,-0.5347226937091212,0.11001743388063567,64116.497223574035,169400.13563467926,0.06134997182336915,-0.01852756835138106,0.10281146124165423,0.1915,-0.2927904518012,0.10285927272348584,2000.0,-0.13017762188285045,0.5596334935638512,-1.1395627788870644,24,0.064683;0.151310;-0.853885;0.217523;-0.933348;0.543461;-1.380416;-0.569194;0.655198;-0.067171;0.191420;0.822669;-0.186993;-0.136521;-0.190525;0.205602;-0.126438;0.767911;0.083816;-0.614032;0.021689;-0.529342;-0.810857;-0.450823,0.6591196086395807,-0.38255055616122335,88982.13619188294,False,-24865.6389683089,0.0,0.006090136212554023,0.11626014254760242,0.5428346132748217,0.22831996026957843,0.23170176425944147,0.0033818039898630414,XAU/USD,0.1051177472326581,150254.60519031223,0.5575343510664825,0.17222572427229788,-0.44659535407497697,0.837493991301922,0.09284632099063383,-0.3850755800999507,-0.021904336177267503,0.5775814967484781,False,1.0,64116.497223574035,-0.30617800878689494,False,0.05591191731541753,1.9860850383165831,0.047023882286706176,0.033727168281767694,6660,0.11766887865082606,0.0833834618486689,0.02649791131179073,-0.01333125496992265,-0.014829308795106935,0.007062886394724431,-0.11341511137647853,8.031807273534264,4.0048748118973805,1.0584057236278102,-0.442618915005452,-0.37420197618657786,0.4636941568764101,-6.879469811760663,0.19398835473662124,0.5030506855329221,0.5767395267005537,close,-0.665089410528224,15.444375893242713,1187,0.9147552993503075,0.9843054312620438,False,0,19,override,0.2769,override,0.4797220066806333,-0.06240397013065169,2.747575788349894,2.9551668474978343,16,False,False,False,True,False,False,1,6,True,True,fail
commodities,1d,bar_updn@allow_short=0,False,5,27.110504741473694,0.5523313219967088,0.06387909707131079,0.08554372166035762,-0.021664624589046833,0.5789570427462889,0.40988372093023256,1.2187880570415237,2408,0.36500200022713764,0.5010877801588381,-0.1360857799317005,-1.2989971499035529,0.0021441060833881642,0.0051272819193349355,0.26313290002996254,3.955430608886451,7292,2000-01-03,2026-08-08,0.148343739880889,0.21883434711247254,-0.3890971813294256,-0.5347226937091212,0.11001743388063567,53587.46053445409,169400.13563467926,0.0414091268470583,-0.0235988564177159,0.10476218515321956,0.108,-0.34082948051425077,0.07603019823222645,2000.0,-0.14587303108658953,0.5463055799253135,-1.308112186751385,24,-0.284743;-0.648544;-0.012779;0.056550;-0.217796;-0.136410;-0.837016;-0.349596;0.171577;-0.215592;0.644421;0.146313;-0.519644;0.143509;0.790614;-0.639038;-1.051909;1.075971;-0.422105;-0.366530;0.684220;-0.030892;-0.764644;-0.716888,0.6778814287532567,-0.3917436250811289,92558.61243221327,False,-38971.15189775918,0.0,0.00879745086296643,0.1018235507376859,0.5523313219967088,0.22745122025594341,0.1641726029807143,-0.06327861727522913,XAU/USD,0.1051177472326581,150254.60519031223,0.5575343510664825,0.17222572427229788,-0.44659535407497697,0.8613332329283736,0.09469177664587103,-0.3943800230134832,-0.030812679574560242,0.46114885789023885,False,1.0,53587.46053445409,-0.3890971813294256,False,0.03817687363142611,1.319730541084919,0.186924999335758,0.03129549641462015,6660,0.13710223825154122,0.03911517328090254,0.036522625072357984,-0.016817052415283015,0.005740293573836389,0.028445532376077047,-0.0410902481191035,7.930442767557088,1.4000098564703871,1.174053765424551,-0.5360078776222001,0.12991447094376224,1.6619545346889426,-1.5188252348012257,0.7924481466339539,0.5451125550035802,0.6323748421232069,close,-0.11842239144658157,14.258511712686593,1187,0.9147552993503075,0.9710399179896434,False,0,19,override,0.2769,override,0.48254400889630417,-0.11754200866916653,2.747575788349894,2.9551668474978343,16,False,False,False,False,False,False,0,6,True,True,fail
commodities,1d,range_filter@allow_short=0,False,5,27.110504741473694,0.49292375205704886,0.057760044111146325,0.08063619903641817,-0.02287615492527184,0.5598602158031396,0.4340659340659341,1.5223068867014917,364,0.34345129452583933,0.5010877801588381,-0.1576364856329988,-1.379999952167348,0.001590560178033995,0.009650663696078123,0.497226088060864,3.955430608886451,7292,2000-01-03,2026-08-08,0.13569921676651409,0.21883434711247254,-0.2687474423697983,-0.5347226937091212,0.11001743388063567,45829.82096178192,169400.13563467926,0.11231574902289508,-0.0565885169468378,0.1142293413745588,0.0695,-0.3886615582161827,0.05877507716854131,2000.0,-0.2718097459037936,0.5524646634486425,-2.4102724703649288,24,-0.537099;-0.711917;-1.158161;-0.105157;-1.082173;0.182035;-0.572737;-0.787857;0.283242;0.437141;-0.006460;0.179110;0.135523;-0.005486;-0.962902;0.753042;-0.686183;0.780567;-0.685695;0.095796;-0.633568;-0.588236;-0.347740;-0.498520,0.6201001742051482,-0.3631199469193924,81859.39930744568,False,-36029.578345663766,0.0,0.0013085948419246664,0.09836742629330852,0.49292375205704886,0.2334690105569986,0.21492313973975652,-0.01854587081724207,XAU/USD,0.1051177472326581,150254.60519031223,0.5575343510664825,0.17222572427229788,-0.44659535407497697,0.7879149142201691,0.08895929060568042,-0.365415760699788,-0.031199246494534094,0.45471972854672293,False,1.0,45829.82096178192,-0.2687474423697983,False,0.03771876627408714,1.3471102314810155,0.1779447334011457,0.02787942523948783,6660,0.09743234245618314,0.07463032972807279,0.04408679800991003,-0.00034845194501330334,-0.030629413726870024,0.015527003540081862,-0.10044991241318939,7.002519904548399,4.205623627439843,2.0739879366910774,-0.013010074015185358,-0.8484018783214157,1.0106467852930183,-6.227223627931719,0.6190296264962134,0.46294899022318237,0.5453635682449056,close,-0.7147120456418031,18.351930411516708,1187,0.9147552993503075,0.9619068832534912,False,0,19,override,0.2769,override,0.46755853190796187,-0.12410723738212254,2.747575788349894,2.9551668474978343,16,False,False,False,False,False,False,0,6,True,True,fail
