class,tf,rule,pit,n_names,years,exposure,cagr,cashmatch_bench_cagr,cashmatch_excess_cagr,cashmatch_ratio,win_rate,profit_factor,n_trades,sharpe,bench_sharpe,dsharpe,boot_t,dsr,alpha_vs_bh_ann,alpha_vs_bh_t,avg_breadth,bars,start,end,vol,bench_vol,dd,bench_dd,bench_cagr,wealth,bench_wealth,avg_win,avg_loss,boot_se,boot_p_gt0,boot_ci_lo,boot_ci_hi,fold_dsharpe,fold_sd,fold_t,n_folds_scored,fold_edges,cash_w,cashmatch_bench_dd,cashmatch_bench_wealth,cashmatch_beats,edge_wealth,edge_headroom,cost_drag_ann,roe_ann,const_weight,const_mar,mar,vs_constant,index_symbol,index_cagr,index_wealth,index_sharpe,index_vol,index_dd,idx_cash_w,idx_cashmatch_bench_cagr,idx_cashmatch_bench_dd,idx_cashmatch_excess_cagr,idx_cashmatch_ratio,idx_cashmatch_beats,volmatch_k,volmatch_wealth,volmatch_dd,volmatch_beats,alpha_ann,alpha_t,alpha_p,r2,factor_n,beta_Mkt-RF,beta_SMB,beta_HML,beta_RMW,beta_CMA,beta_Mom,beta_ST_Rev,t_Mkt-RF,t_SMB,t_HML,t_RMW,t_CMA,t_Mom,t_ST_Rev,alpha_vs_bh_p,beta_BH,r2_vs_bh,fill,skew,kurtosis,n_trials,sr_star_ann,psr,dsr_pass,n_trials_ledger,n_trials_measured,n_trials_source,trial_dispersion,dispersion_source,rand_sharpe,vs_random,t_bar_maxt,t_bar_bonferroni,n_candidates_maxt,edge_gate_dsharpe,edge_gate_t,edge_gate_vs_random,edge_gate_vs_constant,edge_gate_wealth,edge_gate_headroom,edge_passed,edge_n,edge_powered,edge_rankable,edge_verdict,boot_draws
commodities,1d,MININDEX~SAREXT|vote,False,5,24.053006292833572,0.597521315158013,0.10718100175493639,0.08200573497755714,0.025175266777379246,1.738869462342893,0.44920127795527154,1.4113943205036599,1565,0.7686366171473334,0.6116185334675628,0.15701808367977066,1.0458564131504642,0.18941439890864392,0.0683473688302182,2.881477160907814,4.077040894470822,6529,2003-01-03,2026-08-26,0.14647623954720226,0.22467245603568817,-0.2946497639945804,-0.5347226937091233,0.11854304629258672,115768.62283467523,147993.87900665603,0.05293704923834676,-0.030588587533906312,0.15013349988148034,0.843,-0.14020740642554244,0.4454527389386436,0.14272622625737125,0.7421769210299989,0.8812639101901695,21,-0.371893;-0.080066;0.969811;0.059493;-0.866139;-0.329978;-0.457742;1.450442;0.997700;0.352918;1.709164;0.640598;-0.185742;-0.863295;1.058211;0.385872;-0.657286;-0.385474;-0.279721;-0.155535;0.005913,0.651954592617865,-0.37961172288484824,66576.94861044518,True,49191.67422423006,3.0,0.006165410878840975,0.18577810524340022,0.597521315158013,0.2150872140603718,0.36375729714451016,0.14867008308413837,XAU/USD,0.11314787208606725,131745.63804824458,0.6987393151350796,0.1755173203740475,-0.4465953540749782,0.83454008547444,0.09591790826071556,-0.3841638641686117,0.011263093494220833,1.2788211538645942,True,1.0,115768.62283467523,-0.2946497639945804,False,0.10279928410554061,3.3289076757996323,0.0008718730081698212,0.025212302736000614,5907,0.10747337827566349,0.03514844969279012,0.05994194546304098,-0.05382372724153492,-0.04524999243700595,0.016758809771044242,-0.05902669461474123,5.848682877498325,1.3557843616897796,2.2741259326111027,-1.5835666587907216,-0.9886715250685235,0.9261809733595986,-2.3964354213332175,0.00395815919357978,0.4350963596712971,0.431657835479324,close,-0.3432025470403123,17.39045481890479,1474,0.9503162210876853,0.9999016732742806,False,1052,422,run+ledger,0.2825066861339364,this run,0.4473815480379429,0.32125506910939056,3.921360764813548,3.8234843492855743,380,True,False,True,True,True,True,5,6,True,True,fail,2000.0
commodities,1d,MININDEX~SAREXT|and,False,5,24.053006292833572,0.44276560984326335,0.09611442935224579,0.07480718222967875,0.02130724712256704,1.6034666681603948,0.4630091438071488,1.504141868371616,1203,0.7600299081852071,0.6116185334675628,0.14841137471764432,1.0703830105796885,0.17940778837777377,0.05791237414179474,2.867471195521966,4.077040894470822,6529,2003-01-03,2026-08-26,0.1323179096940625,0.22467245603568817,-0.20125076164727584,-0.5347226937091233,0.11854304629258672,90918.88276480013,147993.87900665603,0.05270890659209495,-0.030214672008510086,0.13865258813970618,0.8435,-0.12000452601746138,0.41582329674050217,0.17376810141097931,0.7662389537262924,1.0392390966448086,21,-0.281437;-0.452702;0.798328;-0.244879;-0.629046;-0.027847;0.062204;1.613408;1.270357;0.037348;0.810734;1.576164;-0.299810;-0.640168;1.317322;0.470090;0.184558;-0.168778;-0.832596;-0.508542;-0.405578,0.588936944157696,-0.34803990052500466,56701.44853656884,True,34217.434228231294,5.0,0.0047813843004286755,0.23031349335892282,0.44276560984326335,0.2123858129096544,0.4775854191334774,0.265199606223823,XAU/USD,0.11314787208606725,131745.63804824458,0.6987393151350796,0.1755173203740475,-0.4465953540749782,0.7538738023807445,0.08728022451702411,-0.3520632536566214,0.008834204835221682,1.2148761977330371,True,1.0,90918.88276480013,-0.20125076164727584,False,0.09135760921914825,3.2805436175637928,0.0010360724337812321,0.032200354298610456,5907,0.11291605732853552,0.03905173708763561,0.05819741258459706,-0.045035860177978504,-0.0431762137550034,0.022010077602639233,-0.05395800560515465,6.532362388212895,1.7223379253602904,2.437863038502301,-1.451525959365911,-1.031372319908302,1.3257586239530477,-2.3160301325501638,0.004137664671307606,0.42238290423669633,0.4996263219353497,close,-0.47078356985067915,24.388816035325824,1474,0.9503162210876853,0.9998763880791421,False,1052,422,run+ledger,0.2825066861339364,this run,0.4372775988989388,0.3227523092862683,3.921360764813548,3.8234843492855743,380,True,False,True,True,True,True,5,6,True,True,fail,2000.0
commodities,1d,MININDEX~MIDPOINT_9|vote,False,5,24.053006292833572,0.6044978812477664,0.10168766170342614,0.08289089742759859,0.01879676427582755,1.512749216608017,0.34016248675379723,1.3393922201128268,2831,0.7276943296359062,0.6116185334675628,0.1160757961683434,0.8629569832701571,0.14028427697708468,0.06422413682052777,2.695970942517743,4.077040894470822,6529,2003-01-03,2026-08-26,0.14824080622716154,0.22467245603568817,-0.2528119053016248,-0.5347226937091233,0.11854304629258672,102714.79856744868,147993.87900665603,0.04427458277641945,-0.01704104096765114,0.1345093653781868,0.8095,-0.15579019570302613,0.36828118738800325,0.1182189589036163,0.7955713344097997,0.6809538055523261,21,-0.292991;-0.539012;0.644393;-0.721326;-0.772720;0.689173;0.008218;1.020898;1.794027;-0.219054;1.300515;-0.244099;-0.278216;-1.393978;0.648388;0.063817;-0.333554;1.182346;0.514328;-0.535573;-0.052981,0.6598085445935312,-0.3834702985111639,67899.42274619872,True,34815.37582124997,2.0,0.011169913512226877,0.173750803088649,0.6044978812477664,0.21520791696788352,0.4022265548851611,0.1870186379172776,XAU/USD,0.11314787208606725,131745.63804824458,0.6987393151350796,0.1755173203740475,-0.4465953540749782,0.8445936042736034,0.09698373143309968,-0.388088000762683,0.004703930270326451,1.10840294214916,True,1.0,102714.79856744868,-0.2528119053016248,False,0.09949062644524254,3.257968655022235,0.0011221280021143087,0.026047993993157936,5907,0.12102767196876761,0.03325533131272937,0.029606520857114092,-0.026053746070676648,0.021232500538873402,0.00090080113636095,-0.06324571640045938,6.530606149584172,1.2486452866030473,0.9352934817134454,-0.7796569013367395,0.4277370086760202,0.05153420591504438,-2.4278323259279664,0.007018378877306608,0.44538369293767455,0.44264127145954735,close,-0.38835913317389753,14.367440370416354,1474,0.9503162210876853,0.9997899445449369,False,1052,422,run+ledger,0.2825066861339364,this run,0.4461869676158953,0.28150736202001087,3.921360764813548,3.8234843492855743,380,True,False,True,True,True,False,4,6,True,True,fail,2000.0
commodities,1d,MININDEX~MIDPOINT_9|and,False,5,24.053006292833572,0.45012253024965543,0.09231437630193229,0.07512885909160238,0.017185517210329904,1.4643880699982452,0.36222326895902024,1.420487219824577,2123,0.7309267009112532,0.6116185334675628,0.11930816744369044,0.865140775762459,0.14437875582215903,0.05343417688182863,2.531854825143603,4.077040894470822,6529,2003-01-03,2026-08-26,0.13294354541278544,0.22467245603568817,-0.24781874912752044,-0.5347226937091233,0.11854304629258672,83632.72674884877,147993.87900665603,0.043849664541978806,-0.017532208225712127,0.1379060735387749,0.8005,-0.15210185297832146,0.3850601745473925,0.19835604717376115,0.7797850210465397,1.1656823049845957,21,-0.296263;-0.168535;0.782832;-0.878332;-0.814539;0.823845;0.027374;0.747505;1.688109;-0.369864;0.965153;1.194539;-0.063488;-0.836061;0.888909;0.271986;-0.266655;1.344340;-0.161121;-0.864005;0.149750,0.591721601119044,-0.34945804678503845,57111.040756395254,True,26521.685992453517,2.0,0.008420430452679458,0.21672883855248104,0.45012253024965543,0.21251490832238157,0.37250763562860995,0.15999272730622838,XAU/USD,0.11314787208606725,131745.63804824458,0.6987393151350796,0.1755173203740475,-0.4465953540749782,0.7574383264823524,0.0876650986824532,-0.3535048279812716,0.004649277619479086,1.1080443666456439,True,1.0,83632.72674884877,-0.24781874912752044,False,0.08735899691178545,3.1118222521541035,0.0018593641518149795,0.029376670878029865,5907,0.11682038855269423,0.03196843063927019,0.041841199220364854,-0.016755281298027017,-0.006120685964111305,0.015589021825587385,-0.05531952356725519,6.73569833645288,1.4638662589066693,1.46083028355409,-0.5414037860404405,-0.13586249148202711,0.9463883114762262,-2.2251309397598384,0.011346095633693265,0.42843962605791547,0.5067071784832005,close,-0.4400308355625105,19.349259768089542,1474,0.9503162210876853,0.9997956284476803,False,1052,422,run+ledger,0.2825066861339364,this run,0.44069730813098607,0.29022939278026716,3.921360764813548,3.8234843492855743,380,True,False,True,True,True,False,4,6,True,True,fail,2000.0
commodities,1d,volmanaged,False,5,24.053006292833572,0.8593946255000815,0.10997536100292749,0.09429215048612427,0.015683210516803214,1.4081499067320846,0.5173769135291684,1.1307409577374061,14502,0.6944732940372266,0.6116185334675628,0.08285476056966379,1.3327045385133112,0.1064247984684853,0.024065846404257196,1.95682876852702,4.077040894470822,6529,2003-01-03,2026-08-26,0.17147499188910575,0.22467245603568817,-0.5194944301415456,-0.5347226937091233,0.11854304629258672,123004.78791024131,147993.87900665603,0.012152834974266287,-0.011521616884675588,0.06217038974151901,0.902,-0.030445975368849444,0.21114800365838263,0.03452433819414636,0.2236525183338459,0.7073937475489107,21,0.095251;0.040815;0.400838;-0.045214;-0.095106;0.092811;-0.098611;-0.212953;0.025805;-0.405464;-0.067819;-0.075530;-0.094007;0.104625;0.607369;-0.092642;0.173707;-0.094074;0.106194;0.393834;-0.034818,0.7632221364147448,-0.432711913264347,87352.05486445718,True,35652.73304578414,20.0,0.0006866519536496407,0.12908605691061958,0.8593946255000815,0.21949019171342532,0.21169690110625963,-0.007793290607165687,XAU/USD,0.11314787208606725,131745.63804824458,0.6987393151350796,0.1755173203740475,-0.4465953540749782,0.9769690622194603,0.11078993506078993,-0.4381790106540022,-0.0008145740578624494,0.9825095366768666,False,1.0,123004.78791024131,-0.5194944301415456,False,0.08225153472298312,2.1832679829002095,0.02901608091177632,0.0747519848807694,5907,0.23020216419596728,0.10134648269483677,0.07741863261429602,-0.04263819290955784,0.014482993907879351,0.09157942062314442,-0.02262823658023285,11.925311332642126,3.545342749029715,2.392338564783626,-1.1149851418663526,0.263265512114856,4.10854767890021,-1.0166794183081787,0.050367603524817284,0.7348323299337808,0.9187195553623019,close,-0.29177778388672854,5.551802272898028,1474,0.9503162210876853,0.999639644939851,False,1052,422,run+ledger,0.2825066861339364,this run,0.5693481979183135,0.1251250961189131,3.921360764813548,3.8234843492855743,380,False,False,True,False,True,True,3,6,True,True,fail,2000.0
commodities,1d,mc_adaptive_ewma,False,5,24.053006292833572,0.46814468780313484,0.0908956820388176,0.0762289924649524,0.014666689573865188,1.3848299577407488,0.5826589595375723,1.4945554952639173,865,0.7117428739259782,0.6116185334675628,0.10012434045841545,1.0560035876288303,0.12281302853422571,0.03154151223888277,1.7431834566211992,4.077040894470822,6529,2003-01-03,2026-08-26,0.13508807364684658,0.22467245603568817,-0.3348467544084316,-0.5347226937091233,0.11854304629258672,81058.78585882213,147993.87900665603,0.05004690750759977,-0.04675074495534539,0.09481439422306932,0.862,-0.08814687919549594,0.28427997828146023,0.06494281094159768,0.5358338850226544,0.5554059855145131,21,-0.424010;0.014751;0.298209;0.019634;-0.226088;1.019792;0.009765;0.006953;-0.293705;0.898315;0.005234;-1.096736;0.762671;-0.550695;0.030833;-0.423074;0.692507;0.582976;-0.110679;-0.409597;0.556743,0.6012667330497712,-0.3543029198226664,58533.38556530344,True,22525.400293518684,3.0,0.0034724696080181247,0.20422719310666348,0.46814468780313484,0.21283099372284348,0.27145457091080827,0.05862357718796479,XAU/USD,0.11314787208606725,131745.63804824458,0.6987393151350796,0.1755173203740475,-0.4465953540749782,0.7696566547333246,0.08898213689030054,-0.35842998567905227,0.0019135451485170485,1.0431328457286837,True,1.0,81058.78585882213,-0.3348467544084316,False,0.06905397904168745,2.339424363747197,0.019313481829136503,0.07754395256763047,5907,0.1811737917167962,0.05247069546496186,0.02461636932639568,0.036600038812784425,0.017972227806120598,0.06783350004331534,0.06234534687320477,10.047403727074874,1.758901106183915,0.818916972332204,0.9962035952243922,0.3969759930624128,3.2190556276791344,1.856732193926636,0.0813015742613139,0.47374834222588696,0.6393607223743004,close,-0.22548612308435528,13.209034779390961,1474,0.9503162210876853,0.999733660838056,False,1052,422,run+ledger,0.2825066861339364,this run,0.44907452783197616,0.2626683460940021,3.921360764813548,3.8234843492855743,380,False,False,True,True,True,True,4,6,True,True,fail,2000.0
commodities,1d,MININDEX~TRIMA_9|or,False,5,24.053006292833572,0.9981926788175831,0.12526734988644028,0.11439166822611035,0.010875681660329928,1.263142206147743,0.4040492957746479,1.6828651649997426,1136,0.6567533070721175,0.6116185334675628,0.045134773604554757,0.6864046781119882,0.07733589473331048,0.018506655631527678,1.1440664022627798,4.077040894470822,6529,2003-01-03,2026-08-26,0.2151348913885396,0.22467245603568817,-0.4507610817929629,-0.5347226937091233,0.11854304629258672,170944.0948980697,147993.87900665603,0.07332368731098014,-0.029540578288811695,0.06575534089992162,0.7575,-0.08305025029141244,0.17571440674257188,0.037147105495046795,0.3394693599042953,0.5014574005369846,21,-0.277775;-0.145890;0.452871;-0.099644;-0.131791;-0.151843;0.357455;0.463769;0.079735;-0.114630;0.823458;-0.105304;-0.259741;-0.539946;-0.162177;-0.111461;-0.260744;-0.061138;0.597448;0.140917;0.286522,0.9575490257442436,-0.5175104541925317,135332.4226409986,True,35611.67225707113,3.0,0.004440470574295279,0.12550783106266183,0.9981926788175831,0.22166339649918487,0.2779018751755864,0.05623847867640153,XAU/USD,0.11314787208606725,131745.63804824458,0.6987393151350796,0.1755173203740475,-0.4465953540749782,1.0,0.11314787208606725,-0.4465953540749782,0.012119477800373035,1.2975313447225543,True,1.0,170944.0948980697,-0.4507610817929629,True,0.08946131582322453,1.9892358805862753,0.046675173239029366,0.07769372683463294,5907,0.29904544179062326,0.06706322981690835,0.06622622992009278,-0.01681076492590633,0.018096393631536853,0.06858990906182258,0.037010957143901804,11.20876628661287,1.4544306100713194,1.38414254833103,-0.30035404168935453,0.23668854468900763,2.2358739171270408,0.85925999280734,0.25259609990999055,0.896092832703401,0.8754548434812536,close,-0.4952858694995004,9.69767701709589,1474,0.9503162210876853,0.9992737376165761,False,1052,422,run+ledger,0.2825066861339364,this run,0.6282723498217375,0.028480957250380023,3.921360764813548,3.8234843492855743,380,False,False,True,True,True,True,4,6,True,True,fail,2000.0
commodities,1d,mc_run_length_reversion,False,5,24.053006292833572,0.45901873691734313,0.08375650590788042,0.07492140502041633,0.008835100887464087,1.2176110854906552,0.5746606334841629,1.4587253888699625,884,0.6733363793636186,0.6116185334675628,0.06171784589605578,0.558846562288198,0.08921432639709681,0.02625755148135313,1.4155956794457276,4.077040894470822,6529,2003-01-03,2026-08-26,0.1325399907086104,0.22467245603568817,-0.3584344688045129,-0.5347226937091233,0.11854304629258672,69217.00817188785,147993.87900665603,0.049961564917617274,-0.04627414025613897,0.11043790918808194,0.711,-0.14710765998096165,0.28052533021635223,0.054014254750606415,0.574284973755699,0.4310132117553522,21,-0.469757;-0.089506;0.002046;0.115876;-0.658935;1.020777;-0.092549;0.051403;-0.435814;1.119000;0.267607;-0.576887;0.591671;-0.580017;-0.179392;-0.408179;0.849535;0.952993;0.050262;-0.690493;0.294658,0.5899254098488914,-0.34854354220244776,56846.56537435826,True,12370.442797529595,3.0,0.003548551573728383,0.1915186745988473,0.45901873691734313,0.21267096712458344,0.23367313469386367,0.021002167569280222,XAU/USD,0.11314787208606725,131745.63804824458,0.6987393151350796,0.1755173203740475,-0.4465953540749782,0.7551390963931793,0.08741687613717097,-0.35257521180192863,-0.003660370229290555,0.9220998535360355,False,1.0,69217.00817188785,-0.3584344688045129,False,0.062448191754702946,2.1383582313834797,0.03248767974301314,0.07538194162465728,5907,0.1797241453525134,0.052263438283078015,0.0324981908698422,0.038723130870905925,0.01508814139041836,0.06368947524912606,0.04628087233300061,10.59235263570015,1.756752840250524,1.1343808681775849,1.1484718838081263,0.3328933690293882,3.11201205038009,1.4001064774579226,0.15689391703531763,0.4570548752158045,0.6198834432922837,close,-0.33903470898410887,13.247214930334113,1474,0.9503162210876853,0.9994644779047017,False,1052,422,run+ledger,0.2825066861339364,this run,0.44483252210519997,0.2285038572584186,3.921360764813548,3.8234843492855743,380,False,False,True,True,True,True,4,6,True,True,fail,2000.0
commodities,1d,MININDEX~SAREXT|or,False,5,24.053006292833572,0.9997855720631031,0.1229816297831341,0.11419429932039216,0.008787330462741938,1.2079866059654345,0.5058977719528178,1.6456836336051368,763,0.6481899755482466,0.6116185334675628,0.03657144208068386,0.5227837808080709,0.07142679720933104,0.01445134972717202,0.8789411659283266,4.077040894470822,6529,2003-01-03,2026-08-26,0.21468640537128966,0.22467245603568817,-0.4640680698646802,-0.5347226937091233,0.11854304629258672,162784.74898720038,147993.87900665603,0.0740713005293949,-0.046083937012393356,0.06995519643733993,0.693,-0.09847602585886941,0.1754198240844977,0.05098176318961775,0.37971117084424794,0.6152776289390953,21,-0.268640;0.086608;0.537622;0.031928;-0.140288;-0.291223;0.028133;0.308770;0.000307;0.004554;1.094050;-0.065428;-0.211279;-0.146082;-0.162269;0.055037;-0.626380;-0.276068;0.566241;0.014113;0.530912,0.9555528486197157,-0.5166896751022925,134757.0810663925,True,28027.667920807886,3.0,0.0029678895767775936,0.12300956570838273,0.9997855720631031,0.22168745880668592,0.2650077386685856,0.04332027986189971,XAU/USD,0.11314787208606725,131745.63804824458,0.6987393151350796,0.1755173203740475,-0.4465953540749782,1.0,0.11314787208606725,-0.4465953540749782,0.009833757697066847,1.2355987750242587,True,1.0,162784.74898720038,-0.4640680698646802,True,0.08547289305828895,1.8949346055945162,0.05810106582925734,0.07570608253266586,5907,0.2924986274707111,0.06706940619943552,0.07747709140264303,-0.01473164388816886,0.0005419066095986233,0.07588797493975569,0.039100910489106265,11.016146512326282,1.479698130413015,1.6213575574624772,-0.260271360686649,0.007105484854013256,2.4424824535514857,0.9106584792699901,0.3794331767662269,0.8969375059313623,0.877209664627042,close,-0.4859003953560863,9.7122598440997,1474,0.9503162210876853,0.9991655285690138,False,1052,422,run+ledger,0.2825066861339364,this run,0.6282723498217375,0.019917625726509125,3.921360764813548,3.8234843492855743,380,False,False,True,True,True,True,4,6,True,True,fail,2000.0
commodities,1d,mc_adaptive_bounce,False,5,24.053006292833572,0.45757900648389244,0.08286824151186356,0.07487954056254242,0.007988700949321137,1.1949511364844534,0.5730464326160816,1.4526420217835538,883,0.6674771576198033,0.6116185334675628,0.05585862415224052,0.5055483280606929,0.0846941655838645,0.025070540864742655,1.3519071256018953,4.077040894470822,6529,2003-01-03,2026-08-26,0.1324585851647328,0.22467245603568817,-0.3584344688045119,-0.5347226937091233,0.11854304629258672,67865.26197738771,147993.87900665603,0.05002306105314463,-0.046219030070291774,0.11049116583278362,0.6955,-0.15213095971445909,0.2758444490218367,0.05126820047272815,0.5751580436205629,0.40847974224879285,21,-0.469757;-0.089506;0.002046;0.115876;-0.658935;1.020777;-0.150216;0.051403;-0.435814;1.119000;0.267607;-0.576887;0.591671;-0.580017;-0.179392;-0.408179;0.849535;0.952993;0.050262;-0.690493;0.294658,0.5895630799695908,-0.34835895960391294,56793.33648491045,True,11071.925492477269,3.0,0.0035380192797502775,0.1900413991087877,0.45757900648389244,0.21264571495990656,0.23119495674691773,0.018549241787011173,XAU/USD,0.11314787208606725,131745.63804824458,0.6987393151350796,0.1755173203740475,-0.4465953540749782,0.7546752929138184,0.08736678967507294,-0.35238758076559906,-0.0044985481632093816,0.9050942748279847,False,1.0,67865.26197738771,-0.3584344688045119,False,0.06122990971689905,2.0981027224547777,0.03589607213001256,0.07538158112395121,5907,0.17969007994791275,0.051946862515915876,0.03230176838864105,0.03817605086767703,0.015182748132324224,0.06344637579171088,0.046129633713192245,10.592655276485612,1.746642559291934,1.1274312942524436,1.1326127208002525,0.3349871700407835,3.099845474418277,1.394740727798383,0.17640502777197886,0.45665994560407525,0.6195536508965864,close,-0.34033141221880575,13.275085737857234,1474,0.9503162210876853,0.9994084713407279,False,1052,422,run+ledger,0.2825066861339364,this run,0.44416329378914354,0.22331386383065976,3.921360764813548,3.8234843492855743,380,False,False,True,True,True,True,4,6,True,True,fail,2000.0
