class,tf,rule,pit,n_names,years,exposure,cagr,cashmatch_bench_cagr,cashmatch_excess_cagr,cashmatch_ratio,win_rate,profit_factor,n_trades,sharpe,bench_sharpe,dsharpe,boot_t,dsr,alpha_vs_bh_ann,alpha_vs_bh_t,avg_breadth,bars,start,end,vol,bench_vol,dd,bench_dd,bench_cagr,wealth,bench_wealth,avg_win,avg_loss,boot_se,boot_p_gt0,boot_ci_lo,boot_ci_hi,boot_draws,fold_dsharpe,fold_sd,fold_t,n_folds_scored,fold_edges,cash_w,cashmatch_bench_dd,cashmatch_bench_wealth,cashmatch_beats,edge_wealth,edge_headroom,cost_drag_ann,roe_ann,const_weight,const_mar,mar,vs_constant,index_symbol,index_cagr,index_wealth,index_sharpe,index_vol,index_dd,idx_cash_w,idx_cashmatch_bench_cagr,idx_cashmatch_bench_dd,idx_cashmatch_excess_cagr,idx_cashmatch_ratio,idx_cashmatch_beats,volmatch_k,volmatch_wealth,volmatch_dd,volmatch_beats,alpha_ann,alpha_t,alpha_p,r2,factor_n,beta_Mkt-RF,beta_SMB,beta_HML,beta_RMW,beta_CMA,beta_Mom,beta_ST_Rev,t_Mkt-RF,t_SMB,t_HML,t_RMW,t_CMA,t_Mom,t_ST_Rev,alpha_vs_bh_p,beta_BH,r2_vs_bh,fill,skew,kurtosis,n_trials,sr_star_ann,psr,dsr_pass,n_trials_ledger,n_trials_measured,n_trials_source,trial_dispersion,dispersion_source,rand_sharpe,vs_random,edge_gate_dsharpe,edge_gate_t,edge_gate_vs_random,edge_gate_vs_constant,edge_gate_wealth,edge_gate_headroom,edge_passed,edge_n,edge_powered,edge_rankable,edge_verdict
crypto,4h,chart:sp100_momentum,False,20,3.633127994524299,0.20603999638679774,0.15974676064446514,0.12778409925277967,0.031962661391685465,1.1068684403002476,0.26853526220614826,1.7075811792331586,1106,0.7617229106539694,0.6396056572878375,0.12211725336613188,0.3035571057041022,0.25263490932920457,0.06547892367945003,0.25271879406938086,19.81401481853573,7963,2023-01-07,2026-08-26,0.22915546980906068,0.6075820684997757,-0.3472831577234531,-0.6967710804549214,0.22485980888738033,17133.24510971524,20894.361739051303,0.1631143229778093,-0.03506861919650303,0.40228757973851514,0.6105,-0.9137181205279715,0.6617138352700231,2000.0,-0.8975398928633651,,,1,-0.897540,0.3771596985653063,-0.30967863814435104,15479.025768471367,True,1654.2193412438744,1.0,0.03347788589550363,1.0529667359081771,0.20603999638679774,0.42171997770266634,0.4599899450686115,0.03826996736594518,BTC/USD,0.5243641416533005,46257.77815909062,1.1507656192805853,0.4570981144933069,-0.5344740218167789,0.5013266573262491,0.26801084931478036,-0.30538759440074126,-0.10826408867031523,0.723070562133368,False,1.0,17133.24510971524,-0.3472831577234531,False,0.07265701491667563,0.23992478142543247,0.8103885690692303,0.008287624424996198,871,-0.0020133181120058977,0.024273126110819488,0.029378109328843806,-0.013247385353229627,-0.07782685473419573,0.025228123234112207,0.015214026282871848,-0.14257387592889595,0.8926443537799899,1.1493192203996712,-0.4818105983580201,-1.866199433673511,1.3584426920809352,0.6416799449501511,0.8004855236430046,0.20187899523703196,0.29535159694825985,close,-0.8743882984021678,63.167581331820806,1059,1.1144606240894745,0.9248790524454429,False,1053,6,run+ledger,0.34066903362515494,this run,0.03436825117064242,0.7273546594833269,False,False,True,True,True,False,3,6,False,True,underpowered
crypto,4h,ALWAYS_FLAT,False,20,3.633127994524299,0.0,0.0,0.0,0.0,1.0,,,0,,0.6396056572878375,,,,0.0,,19.81401481853573,7963,2023-01-07,2026-08-26,0.0,0.6075820684997757,0.0,-0.6967710804549214,0.22485980888738033,10000.0,20894.361739051303,,,,,,,0.0,,,,0,,0.0,0.0,10000.0,False,0.0,0.0,0.0,,,,,,BTC/USD,0.5243641416533005,46257.77815909062,1.1507656192805853,0.4570981144933069,-0.5344740218167789,0.0,0.0,0.0,0.0,1.0,False,,,,,0.0,,,,871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,close,,,1059,1.1144606240894745,,False,1053,6,run+ledger,0.34066903362515494,this run,,,False,False,False,False,True,False,1,6,False,False,unrankable
crypto,4h,BUYHOLD,False,20,3.633127994524299,1.0000000000000002,0.2244507842579757,0.22485980888738033,-0.0004090246294046196,0.9987873015298554,0.6,6.645749845209437,20,0.6390558361892097,0.6396056572878375,-0.0005498210986277785,,0.18357258732974502,1.4084146046426885e-15,2.380209121162148,19.81401481853573,7963,2023-01-07,2026-08-26,0.6075824101501699,0.6075820684997757,-0.6967710804549216,-0.6967710804549214,0.22485980888738033,20869.02317853571,20894.361739051303,2.334505123619832,-0.5269168667180539,,,,,,,,,1,0.000000,1.0,-0.6967710804549214,20894.361739051303,False,-25.338560515595354,0.0,0.0003338431067306548,0.2244507842579755,1.0000000000000002,0.32271690831452093,0.32212987960325773,-0.0005870287112632044,BTC/USD,0.5243641416533005,46257.77815909062,1.1507656192805853,0.4570981144933069,-0.5344740218167789,1.0,0.5243641416533005,-0.5344740218167789,-0.29991335739532476,0.45114625062108626,False,0.9999994376888,20869.022527285913,-0.6967708189414338,False,0.035556404611574055,0.036843659005772016,0.9706096628105771,0.015898624425813246,871,0.10108666320567175,0.08524643024569653,0.10905602444937802,-0.05715417532186263,-0.028578897360516522,0.10019546404747633,0.003045535590555274,1.167051499748492,0.9940695675280498,1.2555497859350613,-0.5730607703605864,-0.25282754498194215,1.8444325403209467,0.04692835015510848,0.017302815571356378,1.0000000000000004,1.0,close,-0.6515597765326674,13.707814027421401,1059,1.1144606240894745,0.8872967561881255,False,1053,6,run+ledger,0.34066903362515494,this run,0.5922024292660621,0.046853406923147545,False,False,True,False,False,False,1,6,False,True,underpowered
crypto,4h,RANDOM_75,False,20,3.633127994524299,0.7529859591840332,0.18080313239651535,0.20686472751844343,-0.02606159512192807,0.923748949422472,0.4766803840877915,1.3531602340042173,1458,0.5922024292660621,0.6396056572878375,-0.04740322802177532,-0.6264258296496756,0.16082007095829204,-0.13478292923651033,-1.0604980711435734,19.81401481853573,7963,2023-01-07,2026-08-26,0.46061992519633915,0.6075820684997757,-0.6124809253099541,-0.6967710804549214,0.22485980888738033,18290.689754850242,20894.361739051303,0.12328751195823395,-0.08299083389502303,0.07567253101342461,0.264,-0.21585617030311366,0.08720991560995887,2000.0,-0.5922013190977871,,,1,-0.592201,0.7581196830474091,-0.5693140931742915,19800.498573000365,False,-1509.8088181501223,0.5,0.04438086003913324,0.2469672184433962,0.7529859591840332,0.36412555713039463,0.2951979807453065,-0.06892757638508812,BTC/USD,0.5243641416533005,46257.77815909062,1.1507656192805853,0.4570981144933069,-0.5344740218167789,1.0,0.5243641416533005,-0.5344740218167789,-0.3435610092567851,0.39540787479987816,False,1.0,18290.689754850242,-0.6124809253099541,False,-0.10782295612937567,-0.14428477025096506,0.8852756040458467,0.016822753913358746,871,0.06952242092067733,0.06966086218732855,0.08719620817891066,-0.053882029510603495,-0.03563051199894965,0.08387850137548958,-0.0006375004583087556,1.0886173716772996,1.0747026271189497,1.2734017631638532,-0.7027812439890578,-0.41000897919235335,2.0315170160075775,-0.012908872480730154,0.2889180670219944,0.7582311373057077,0.9775445382253244,close,-0.6494943339468958,13.441726587654646,1059,1.1144606240894745,0.8694567294256849,False,1053,6,run+ledger,0.34066903362515494,this run,0.5922024292660621,0.0,False,False,True,False,False,False,1,6,False,True,underpowered
crypto,4h,RANDOM_50,False,20,3.633127994524299,0.5038092478884432,0.07825525851623993,0.16262414255490065,-0.08436888403866072,0.7605577889215906,0.47628760836308004,1.1625389676884201,1961,0.3979884847124128,0.6396056572878375,-0.24161717257542464,-1.3756551399406014,0.08663088317529943,-0.1388057336341185,-0.9712299318074998,19.81401481853573,7963,2023-01-07,2026-08-26,0.31183074246584774,0.6075820684997757,-0.4912007213884766,-0.6967710804549214,0.22485980888738033,13148.666369396507,20894.361739051303,0.07948196948302717,-0.06217811237702913,0.17563789467312083,0.064,-0.6365116708221589,0.04287648265282948,2000.0,-1.236047419409414,,,1,-1.236047,0.5132323000180228,-0.410105731380337,17288.188433439424,False,-4139.522064042918,0.0,0.059809440021020906,0.16131052165793536,0.5038092478884432,0.3976995031650837,0.15931421740390744,-0.23838528576117624,BTC/USD,0.5243641416533005,46257.77815909062,1.1507656192805853,0.4570981144933069,-0.5344740218167789,0.6821965188185298,0.3637435600963643,-0.3966106300732699,-0.2854883015801244,0.4259714726374184,False,1.0,13148.666369396507,-0.4912007213884766,False,-0.12096194771291689,-0.23541952271532132,0.8138831348932123,0.014277557400065422,871,0.0323908945757386,0.06714413948039545,0.04460270099267203,-0.03439321074273707,-0.03740055437179606,0.04671976249001426,-0.004537995046299599,0.7349979803797695,1.4355992649304996,0.8892965999054144,-0.6669368451622334,-0.6014911743360031,1.6723969128106753,-0.1320176569031404,0.33143379180617094,0.5018444951375616,0.9218059907384626,close,-0.6255229951659415,13.346092857538517,1059,1.1144606240894745,0.775312127705936,False,1053,6,run+ledger,0.34066903362515494,this run,0.3979884847124128,0.0,False,False,True,False,False,False,1,6,False,True,underpowered
crypto,4h,RANDOM_25,False,20,3.633127994524299,0.24981122486823196,-0.008668207325747357,0.0991261076534653,-0.10779431497921266,0.6872778707127714,0.46524064171123,1.0389931287947596,1496,0.03436825117064242,0.6396056572878375,-0.605237406117195,-4.088304795664302,0.019790545703026963,-0.19261754806607767,-1.3829670632124467,19.81401481853573,7963,2023-01-07,2026-08-26,0.17054597366427235,0.6075820684997757,-0.3377858687651777,-0.6967710804549214,0.22485980888738033,9688.650023267386,20894.361739051303,0.06223652836062195,-0.052113703327904236,0.14804116531601477,0.0,-0.9123850782204794,-0.3223662357604833,2000.0,-1.1023595652232148,,,1,-1.102360,0.28069619316675953,-0.23591181584864285,14097.136596613173,False,-4408.486573345786,0.0,0.04564753391107762,-0.034250016493264424,0.24981122486823196,0.4209375037022118,-0.025661841205599188,-0.44659934490781095,BTC/USD,0.5243641416533005,46257.77815909062,1.1507656192805853,0.4570981144933069,-0.5344740218167789,0.3731058349547613,0.1992718475783284,-0.23477872551738954,-0.20794005490407574,0.5006628707773717,False,1.0,9688.650023267386,-0.3377858687651777,False,-0.18305075731012801,-0.6191311815237698,0.535829943167522,0.012624949722185863,871,0.024048351911342733,0.02981310679206614,0.03186252747266806,-0.01929358807714778,-0.020397583901410415,0.020811876499889484,-0.003712401937354407,0.8427819543589816,1.0190271550889083,1.0654755192562944,-0.6574703152054361,-0.5662671085653826,1.386638371111728,-0.1989587137581196,0.16667496530366543,0.26905956494925864,0.7660986804146629,close,-0.6780225817855923,23.968108483917824,1059,1.1144606240894745,0.526107273162873,False,1053,6,run+ledger,0.34066903362515494,this run,0.03436825117064242,0.0,False,False,True,False,False,False,1,6,False,True,underpowered
crypto,4h,sp100_momentum,False,20,3.633127994524299,0.12528081264738303,-0.026059145633146708,0.09826677947845508,-0.12432592511160179,0.6463095747525566,0.21481481481481482,0.8165263184553657,135,-0.07117251061329115,0.6396056572878375,-0.7107781679011286,-1.8835242348985772,0.011744112137701879,-0.2365926486263034,-1.0678200393312074,19.81401481853573,7963,2023-01-07,2026-08-26,0.1688799996429242,0.6075820684997757,-0.2794396030331343,-0.6967710804549214,0.22485980888738033,9085.261019290194,20894.361739051303,0.25621612786601433,-0.08584764947135315,0.37736608572992536,0.0345,-1.3497938145015222,0.04181766561402925,2000.0,0.32922783735392225,,,1,0.329228,0.27795421951789634,-0.23382555610861178,14057.135116354324,False,-4971.87409706413,0.0,0.004073930545089171,-0.19003491027749775,0.12528081264738303,0.42232001487726334,-0.0932550195115213,-0.5155750343887846,BTC/USD,0.5243641416533005,46257.77815909062,1.1507656192805853,0.4570981144933069,-0.5344740218167789,0.3694611600621622,0.19731331172110123,-0.23269791404068219,-0.22337245735424793,0.4722787678384489,False,1.0,9085.261019290194,-0.2794396030331343,False,-0.23251916276105428,-0.9295323267041983,0.3526132801847206,0.0061317791360852025,871,0.006976289022969515,-0.004305093352984396,0.009326810948071761,-0.03207672815540803,0.02309349060244663,0.008108874724782684,0.001978998268193143,0.6381228409832186,-0.16078154891888807,0.5984693417875991,-1.4343390046079145,0.8998418729062876,0.8340778544329522,0.22482439644868918,0.2856016968415165,0.11456405420482862,0.2614573585039698,close,-3.3163390038185883,130.34846901000716,1059,1.1144606240894745,0.44591463893556454,False,1053,6,run+ledger,0.34066903362515494,this run,0.03436825117064242,-0.10554076178393357,True,False,False,False,False,False,1,6,False,True,underpowered
