ir_net,ir_hit_rate,ir_gross,headroom,t_stat,loo_retention,loo_dropped,n_assets,n_ir,years,legacy_gate_ir,legacy_gate_breadth,legacy_gate_headroom,legacy_gate_t,legacy_passed,legacy_gate_loo,class,timeframe,rule,op,leg_a,leg_b,scenario,ir_train,total_pnl_dollars,avg_cagr,avg_sharpe,avg_max_drawdown,avg_exposure,turnover_per_year,n_trades,is_baseline,generic_fallback,rankable
0.3589899574690467,0.6875,0.41223874759756,,0.5756602331763669,0.8748593723726733,SHIB/USD,32,32,2.57138945927447,False,False,False,False,0,True,crypto,1d,MININDEX or MAMA,or,MININDEX,MAMA,binance,0.30809560683398957,6202507.794252047,0.08959148233518568,0.516039981919149,-0.9099895495566338,0.9870124128272205,14.900413694075462,1585,False,False,True
0.3157509272285395,0.78125,0.38618448130296396,,0.5063240589667679,0.8639906184867877,SHIB/USD,32,32,2.57138945927447,False,True,False,False,1,True,crypto,1d,MININDEX or WMA_50,or,MININDEX,WMA_50,binance,0.2872368466798395,5708340.744573429,0.09640580292885868,0.5140571589071488,-0.9198892258286381,0.9868866101361212,20.592663854669265,2183,False,False,True
0.1803621673054981,0.6153846153846154,0.20721987389550842,,0.2892207013791751,0.7501135985743019,DOT/USD,32,26,2.57138945927447,False,False,False,False,0,False,crypto,1d,MININDEX or MAXINDEX,or,MININDEX,MAXINDEX,binance,-0.03927168254021286,2631709.4992485903,-0.053860234192925696,0.36650257460250163,-0.9336455448386685,0.9820178016333304,1.1758462920032753,254,False,False,True
0.1803621673054981,0.6153846153846154,0.20721987389550842,,0.2892207013791751,0.7501135985743019,DOT/USD,32,26,2.57138945927447,False,False,False,False,0,False,crypto,1d,MININDEX vote MAXINDEX,vote,MININDEX,MAXINDEX,binance,-0.03927168254021286,2631709.4992485903,-0.053860234192925696,0.36650257460250163,-0.9336455448386685,0.9820178016333304,1.1758462920032753,254,False,False,True
0.16652475470832667,0.65625,0.22385948559564453,,0.2670316456785512,0.7709398812304429,GRT/USD,32,32,2.57138945927447,False,False,False,False,0,False,crypto,1d,TRIMA_50 vote MININDEX,vote,TRIMA_50,MININDEX,binance,0.09313858902508387,14905656.208253594,0.31011986312806494,0.6338963761111293,-0.7708673168731316,0.48271653675267207,31.24724712062885,5717,False,False,True
0.15201053257794617,0.6875,0.2113154471306114,,0.24375728849359052,0.7630230603989839,OP/USD,32,32,2.57138945927447,False,False,False,False,0,False,crypto,1d,MA_50 vote MININDEX,vote,MA_50,MININDEX,binance,0.08860664862010054,16069401.14266899,0.2983939781414904,0.6305732698720453,-0.7885360302510481,0.4882333491895289,32.88501185837545,6041,False,False,True
0.15201053257794617,0.6875,0.2113154471306114,,0.24375728849359052,0.7630230603989839,OP/USD,32,32,2.57138945927447,False,False,False,False,0,False,crypto,1d,SMA_50 vote MININDEX,vote,SMA_50,MININDEX,binance,0.08860664862010054,16069401.14266899,0.2983939781414904,0.6305732698720453,-0.7885360302510481,0.4882333491895289,32.88501185837545,6041,False,False,True
0.1420701103518508,0.59375,0.20149216075633167,,0.22781727218536554,0.7395852412126852,FIL/USD,32,32,2.57138945927447,False,False,False,False,0,False,crypto,1d,MININDEX and MAXINDEX,and,MININDEX,MAXINDEX,binance,-0.017575266549642733,3275595.4366020765,0.08194668317886197,0.4578278385507563,-0.8801396509272795,0.7089327223412664,22.030194619573365,4605,False,False,True
0.1420701103518508,0.59375,0.20149216075633167,,0.22781727218536554,0.7395852412126852,FIL/USD,32,32,2.57138945927447,False,False,False,False,0,False,crypto,1d,MININDEX gate MAXINDEX,gate,MININDEX,MAXINDEX,binance,-0.017575266549642733,3275595.4366020765,0.08194668317886197,0.4578278385507563,-0.8801396509272795,0.7089327223412664,22.030194619573365,4605,False,False,True
0.14009695964968452,0.65625,0.18392499531099976,,0.22465321600588567,0.7165442970250732,OP/USD,32,32,2.57138945927447,False,False,False,False,0,False,crypto,1d,MA_50 and MAXINDEX,and,MA_50,MAXINDEX,binance,-0.07505067670186674,5570780.506819564,0.2359470360166453,0.5646044670118131,-0.7336100837323192,0.3684603204121861,21.757514600613057,4602,False,False,True
0.14009695964968452,0.65625,0.18392499531099976,,0.22465321600588567,0.7165442970250732,OP/USD,32,32,2.57138945927447,False,False,False,False,0,False,crypto,1d,SMA_50 and MAXINDEX,and,SMA_50,MAXINDEX,binance,-0.07505067670186674,5570780.506819564,0.2359470360166453,0.5646044670118131,-0.7336100837323192,0.3684603204121861,21.757514600613057,4602,False,False,True
0.13566297639911978,0.625,0.17752373647516545,,0.21754307885910967,0.7255946763977912,OP/USD,32,32,2.57138945927447,False,False,False,False,0,False,crypto,1d,TRIMA_50 and MAXINDEX,and,TRIMA_50,MAXINDEX,binance,-0.06450601303431737,5478524.763299191,0.23292189214340114,0.5640313227078633,-0.7306030212978143,0.38064968425787193,20.566253715926806,4358,False,False,True
0.1264734706662654,0.625,0.18219639077016453,,0.20280719864049204,0.6788124245308436,OP/USD,32,32,2.57138945927447,False,False,False,False,0,False,crypto,1d,TRIMA_50 vote MAXINDEX,vote,TRIMA_50,MAXINDEX,binance,0.03235745516901583,7797963.395750517,0.21744554305144442,0.5595485463480545,-0.805870073329574,0.5281146590826378,33.63040976595953,6160,False,False,True
0.10860522220838681,0.6875,0.18392464627822297,,0.1741544749090697,0.6734678566272533,OP/USD,32,32,2.57138945927447,False,False,False,False,0,False,crypto,1d,MININDEX vote WMA_50,vote,MININDEX,WMA_50,binance,0.05693110368207899,7004913.034168613,0.2660534895669837,0.6115543120475946,-0.7866992429092662,0.48390542069578996,40.77354832724917,7500,False,False,True
0.10545576668072425,0.65625,0.1767038990889938,,0.16910414894392303,0.6464346981393984,OP/USD,32,32,2.57138945927447,False,False,False,False,0,False,crypto,1d,WMA_50 vote MAXINDEX,vote,WMA_50,MAXINDEX,binance,-0.0026869637056060325,3808623.259381894,0.15032514244021047,0.5369258038535939,-0.8125278229373172,0.5275067919137,42.89617348696169,7925,False,False,True
0.10203438724664363,0.5,0.19313142926844706,,0.16361777796938817,0.7074769890013402,ARB/USD,32,32,2.57138945927447,False,False,False,False,0,False,crypto,1d,IMI vote MAXINDEX,vote,IMI,MAXINDEX,binance,-0.089529071766038,4222443.689724954,0.060110668564309966,0.45476409750779057,-0.8348266906481517,0.5567255386701582,57.042978322809546,10548,False,False,True
