ir_net,ir_hit_rate,ir_gross,headroom,t_stat,loo_retention,loo_dropped,n_assets,n_ir,years,gate_ir,gate_breadth,gate_headroom,gate_t,gates_passed,gate_loo,class,timeframe,rule,scenario,ir_train,total_pnl_dollars,avg_cagr,avg_sharpe,avg_max_drawdown,avg_exposure,turnover_per_year,n_trades,is_baseline,generic_fallback,rankable
-0.4282457810945048,0.2,-0.4282457810945048,0.0,-0.6828653151887248,,AVAX/USD,10,10,2.5426344208685077,False,False,False,False,0,False,crypto,5m,CDL3STARSINSOUTH,binance,-1.0760934108459612,235.72331418630802,0.00037227630688077,-0.15494574987296364,-0.0014913558280789884,3.63469549065616e-06,0.12693665282756594,8,False,False,True
-0.4290608912181971,0.2,-0.4281960769774436,0.0,-0.6841650604660889,,AVAX/USD,10,10,2.5426344208685077,False,False,False,False,0,False,crypto,5m,CDLMATHOLD,binance,-1.0832150961699027,-2406.04222352517,-0.004046674621893509,-0.35417612771911344,-0.03636940536167581,7.721452569634948e-05,2.698071222984076,168,False,False,True
-0.43033238586631023,0.2,-0.4288180197619507,0.0,-0.6861925400863795,,AVAX/USD,10,10,2.5426344208685077,False,False,False,False,0,False,crypto,5m,CDLCONCEALBABYSWALL,binance,-1.0824786051714148,-2079.391997708999,-0.0033843541732941794,-0.28850300821330677,-0.043724097269066155,7.060729332429417e-05,2.467190401461541,152,False,False,True
-0.4322493400062332,0.2,-0.4267113091237116,0.0,-0.6892492461900924,,AVAX/USD,10,10,2.5426344208685077,False,False,False,False,0,False,crypto,5m,CDLBREAKAWAY,binance,-1.0960033225062402,-7481.596402667929,-0.012796853292896527,-0.6247870474054296,-0.10056779793926048,0.0003970079853688156,13.88356312626928,851,False,False,True
-0.43318004064966437,0.2,-0.42537903514113024,0.0,-0.6907333079515384,,SOL/USD,10,10,2.5426344208685077,False,False,False,False,0,False,crypto,5m,CDLUPSIDEGAP2CROWS,binance,-1.1127462148845462,-13818.460039778472,-0.02439520046355319,-0.8750053724443946,-0.16212166568023462,0.0006415625998391386,22.370353743227877,1386,False,False,True
-0.4438516136474594,0.2,-0.42854389981000285,0.0,-0.707749814314016,,SOL/USD,10,10,2.5426344208685077,False,False,False,False,0,False,crypto,5m,CDLKICKINGBYLENGTH,binance,-1.1167982613732454,-17018.896646349633,-0.030338579582305503,-1.1125345887191802,-0.18981008403526517,0.0007297826015888934,25.535338883358676,1584,False,False,True
-0.4451107895205236,0.2,-0.427960602173903,0.0,-0.709757650858816,,AVAX/USD,10,10,2.5426344208685077,False,False,False,False,0,False,crypto,5m,CDL2CROWS,binance,-1.1649701131727088,-30398.624908082027,-0.06004907645428305,-1.3374642051501324,-0.32962751415597086,0.0014696407708640862,51.24632923493215,3176,False,False,True
-0.44622907597104833,0.2,-0.4309232410218076,0.0,-0.7115408301993275,,AVAX/USD,10,10,2.5426344208685077,False,False,False,False,0,False,crypto,5m,CDLKICKING,binance,-1.114840213839312,-16350.175989624811,-0.02890828088263193,-1.0972052684251408,-0.17964243504163904,0.0007297826015888934,25.566801842773227,1585,False,False,True
-0.44654234254611425,0.2,-0.4284603265841415,0.0,-0.7120403538092828,,SOL/USD,10,10,2.5426344208685077,False,False,False,False,0,False,crypto,5m,CDLABANDONEDBABY,binance,-1.1379379757146304,-23484.541895809733,-0.043143539968939104,-1.1833615420268446,-0.2555044490344375,0.0009639941258723321,33.61196852570616,2082,False,False,True
-0.4487787875800522,0.2,-0.4202888601532798,0.0,-0.7156065085980098,,AVAX/USD,10,10,2.5426344208685077,False,False,False,False,0,False,crypto,5m,CDLUNIQUE3RIVER,binance,-1.2482530932791758,-47896.77157247577,-0.10378925537410884,-1.882064835744759,-0.49011164847945954,0.0027647298699284483,96.40770318671129,5932,False,False,True
