,ADD,ATAN,IMI,LINEARREG_ANGLE,LINEARREG_SLOPE,MAXINDEX,MULT,TRIMA_50
ADD,1.0,0.9082843248946766,0.8167600122379012,0.8178878182125435,0.8178878182125435,0.10705989865181109,0.9917204614435258,0.6679295030213414
ATAN,0.9082843248946766,1.0,0.8124089414498027,0.777868774601877,0.777868774601877,0.1280838145850092,0.9069435500697894,0.6487897964371572
IMI,0.8167600122379012,0.8124089414498027,1.0,0.7773287656541903,0.7773287656541903,0.14945491773289307,0.8161533974566011,0.6184273901164079
LINEARREG_ANGLE,0.8178878182125435,0.777868774601877,0.7773287656541903,1.0,1.0,0.10898814693859253,0.8155141305375924,0.5974161837066333
LINEARREG_SLOPE,0.8178878182125435,0.777868774601877,0.7773287656541903,1.0,1.0,0.10898814693859253,0.8155141305375924,0.5974161837066333
MAXINDEX,0.10705989865181109,0.1280838145850092,0.14945491773289307,0.10898814693859253,0.10898814693859253,1.0,0.10017890472657046,0.13257685985889384
MULT,0.9917204614435258,0.9069435500697894,0.8161533974566011,0.8155141305375924,0.8155141305375924,0.10017890472657046,1.0,0.6667958874649065
TRIMA_50,0.6679295030213414,0.6487897964371572,0.6184273901164079,0.5974161837066333,0.5974161837066333,0.13257685985889384,0.6667958874649065,1.0
