rule,symbol,scenario,ir_union,ret_pct,bench_pct,years_oos
ACCBANDS,BTC/USD,gross,-0.48488111364916875,24.86717340821576,275.7583618315889,3.574504278177206
ACCBANDS,BTC/USD,binance,-0.5714130750142068,1.7876600210986249,275.7583618315889,3.574504278177206
ACCBANDS,BTC/USD,kraken,-0.6999404642238435,-25.150223503587497,275.7583618315889,3.574504278177206
ACCBANDS,BTC/USD,coinbase,-0.9628779438423015,-60.77360823277418,275.7583618315889,3.574504278177206
ACCBANDS,ETH/USD,gross,0.02758553032643697,60.437465829919375,46.82026269964654,3.5781930759196974
ACCBANDS,ETH/USD,binance,-0.03719893369929259,30.22457503156668,46.82026269964654,3.5781930759196974
ACCBANDS,ETH/USD,kraken,-0.13381755915118568,-4.85476119903746,46.82026269964654,3.5781930759196974
ACCBANDS,ETH/USD,coinbase,-0.3333028118404336,-50.81057567785614,46.82026269964654,3.5781930759196974
ACCBANDS,XRP/USD,gross,-0.9381600574986172,-89.73387458186633,214.7212634936457,3.576451983779322
ACCBANDS,XRP/USD,binance,-0.9915826374794043,-91.68707048921154,214.7212634936457,3.576451983779322
ACCBANDS,XRP/USD,kraken,-1.0710259807820814,-93.94827400338009,214.7212634936457,3.576451983779322
ACCBANDS,XRP/USD,coinbase,-1.2342675878800964,-96.895111761561,214.7212634936457,3.576451983779322
ACCBANDS,BNB/USD,gross,-0.5871767791867131,-50.929860422780806,127.98769634427396,3.577695448066847
ACCBANDS,BNB/USD,binance,-0.6613631386526955,-59.937270994870005,127.98769634427396,3.577695448066847
ACCBANDS,BNB/USD,kraken,-0.7717613886153044,-70.47077987724184,127.98769634427396,3.577695448066847
ACCBANDS,BNB/USD,coinbase,-0.998595540929844,-84.4485773557758,127.98769634427396,3.577695448066847
ACCBANDS,SOL/USD,gross,-0.099866507572122,263.19655356499754,444.52662721893137,3.5729485593727963
ACCBANDS,SOL/USD,binance,-0.14468941132615984,200.6709424596939,444.52662721893137,3.5729485593727963
ACCBANDS,SOL/USD,kraken,-0.21166027982005575,126.28962428653088,444.52662721893137,3.5729485593727963
ACCBANDS,SOL/USD,coinbase,-0.35052669898952765,24.513340550471163,444.52662721893137,3.5729485593727963
ACCBANDS,DOGE/USD,gross,-0.16731180575390842,-49.726273893826445,-2.665011009874041,3.5777300177365596
ACCBANDS,DOGE/USD,binance,-0.21132890258329395,-58.13150146749522,-2.665011009874041,3.5777300177365596
ACCBANDS,DOGE/USD,kraken,-0.27709020790933614,-68.20456121727011,-2.665011009874041,3.5777300177365596
ACCBANDS,DOGE/USD,coinbase,-0.4134259636237308,-82.17144313654154,-2.665011009874041,3.5777300177365596
ACCBANDS,ADA/USD,gross,-0.19344483092363526,-69.68040244950716,-29.612349978020703,3.576821770448599
ACCBANDS,ADA/USD,binance,-0.24020138570002522,-75.42535836190211,-29.612349978020703,3.576821770448599
ACCBANDS,ADA/USD,kraken,-0.310030205735625,-82.08404090324395,-29.612349978020703,3.576821770448599
ACCBANDS,ADA/USD,coinbase,-0.45470634877520066,-90.77996700467506,-29.612349978020703,3.576821770448599
ACCBANDS,TRX/USD,gross,-0.9762654885825655,-0.7202193761773223,526.9054758592694,3.577944244690496
ACCBANDS,TRX/USD,binance,-1.107418517163002,-23.432530694072195,526.9054758592694,3.577944244690496
