symbol,first_bar,last_bar,n_bars,span_years,entry,tradable_years,dv_rank_window,dv_med_held,dv_min_year,dv_p10_year,dv_last5y,spread_cs_bps,spread_roll_bps,tick_bps,stale_pct,zerovol_pct,vol_ann_pct,maxdd_pct,reject,passes,score,rank,selected
XLI,1998-12-22,2026-08-07,5042,26.59,2006-07-24,20.04,902.5,545.8,0.3,2.0,1079.3,0.0,61.6,0.21,0.71,0.0,21.3,-62.3,,True,902.5,11,False
SMH,2000-06-05,2026-08-07,6529,26.17,2000-08-21,25.96,835.8,344.5,30.6,61.9,1463.5,0.0,96.6,0.89,0.6,0.0,34.9,-85.3,,True,835.8,12,False
XLU,1998-12-22,2026-08-07,5046,26.59,2006-07-18,20.05,658.4,340.7,0.1,1.4,804.3,12.1,71.2,0.22,0.97,0.0,19.0,-44.2,,True,658.4,13,False
MDY,1995-05-04,2026-08-07,6689,26.59,2000-01-03,26.59,365.4,316.8,48.1,77.7,417.7,0.0,68.3,0.15,0.34,0.0,22.0,-55.3,,True,365.4,14,False
SLV,2006-04-28,2026-08-07,5101,20.28,2006-04-28,20.28,359.5,220.0,45.5,81.6,504.7,0.0,,1.1,1.61,0.0,33.3,-76.3,,True,359.5,15,False
XLB,1998-12-22,2026-08-07,5229,26.59,2005-10-24,20.79,346.4,216.0,0.3,2.0,439.4,0.0,61.1,0.21,0.92,0.0,23.4,-58.9,,True,346.4,16,False
EWJ,1996-03-18,2026-08-07,5683,26.59,2004-01-07,22.58,335.8,245.4,2.9,13.0,341.8,0.0,80.7,0.16,2.15,0.0,20.5,-54.5,,True,335.8,17,False
TQQQ,2010-02-11,2026-08-07,4066,16.48,2010-06-09,16.16,3059.1,678.2,26.6,70.2,4299.6,0.0,209.5,0.25,0.25,0.0,61.2,-81.6,leveraged/inverse/roll-decay product; only 16.2y tradable,False,3059.1,0,False
HYG,2007-04-11,2026-08-07,4142,19.32,2010-02-19,16.46,1719.4,800.3,0.6,17.3,2348.8,0.0,,0.09,1.55,0.0,8.2,-22.0,only 16.5y tradable,False,1719.4,0,False
EEM,2008-01-02,2026-08-07,4301,18.6,2009-07-02,17.1,1625.7,1675.4,0.0,1080.8,1295.4,0.0,83.2,0.09,0.74,0.0,21.9,-39.8,only 17.1y tradable,False,1625.7,0,False
LQD,2002-07-30,2026-08-07,4374,24.02,2009-03-19,17.39,1485.0,486.4,3.5,4.4,2253.8,0.0,,0.08,0.96,0.0,7.6,-25.0,only 17.4y tradable,False,1485.0,0,False
