rule,symbol,scenario,ir_wf,ret_pct,bench_pct,years_oos,n_folds,n_switches,long_frac,exposure,turnover_yr
tsmom12,AAPL,gross,-0.9470263229861081,55.00851261050668,133.79506822826008,3.95109911236787,5,0,0.8648517258142927,0.8648517258142927,10.629953540909698
tsmom12,AAPL,retail,-0.9526719826511594,54.586069662317094,133.79506822826008,3.95109911236787,5,0,0.8648517258142927,0.8648517258142927,10.629953540909698
tsmom12,AAPL,wide,-0.9613134175949213,53.9342139703485,133.79506822826008,3.95109911236787,5,0,0.8648517258142927,0.8648517258142927,10.629953540909698
tsmom12,AAPL,pessimistic,-0.9828506943262724,52.316291694196096,133.79506822826008,3.95109911236787,5,0,0.8648517258142927,0.8648517258142927,10.629953540909698
tsmom12,MSFT,gross,-0.6309526418022393,26.430055615635094,93.53173619838225,3.8707593561206077,5,0,0.6960116731517509,0.6960116731517509,8.525458951050267
tsmom12,MSFT,retail,-0.6335615704312759,26.157646368993316,93.53173619838225,3.8707593561206077,5,0,0.6960116731517509,0.6960116731517509,8.525458951050267
tsmom12,MSFT,wide,-0.6375508587900798,25.739755689619393,93.53173619838225,3.8707593561206077,5,0,0.6960116731517509,0.6960116731517509,8.525458951050267
tsmom12,MSFT,pessimistic,-0.6475125028892121,24.700892964821254,93.53173619838225,3.8707593561206077,5,0,0.6960116731517509,0.6960116731517509,8.525458951050267
tsmom12,AMZN,gross,-0.30667226220239896,115.12468981076336,155.54299708015532,3.960508725278532,5,0,0.7210884353741497,0.7210884353741497,6.3123203947093485
tsmom12,AMZN,retail,-0.30849502159351483,114.77811179466909,155.54299708015532,3.960508725278532,5,0,0.7210884353741497,0.7210884353741497,6.3123203947093485
tsmom12,AMZN,wide,-0.3113415437475803,114.23789688663435,155.54299708015532,3.960508725278532,5,0,0.7210884353741497,0.7210884353741497,6.3123203947093485
tsmom12,AMZN,pessimistic,-0.318454399511478,112.89306034861069,155.54299708015532,3.960508725278532,5,0,0.7210884353741497,0.7210884353741497,6.3123203947093485
tsmom12,NVDA,gross,-0.72040191865585,604.4814900283228,1158.3885199954052,3.9269025216404874,5,0,0.8234435797665369,0.8234435797665369,5.347726327371916
tsmom12,NVDA,retail,-0.7217442217742676,603.5323306670241,1158.3885199954052,3.9269025216404874,5,0,0.8234435797665369,0.8234435797665369,5.347726327371916
tsmom12,NVDA,wide,-0.7238306892368375,602.0490247120688,1158.3885199954052,3.9269025216404874,5,0,0.8234435797665369,0.8234435797665369,5.347726327371916
tsmom12,NVDA,pessimistic,-0.7290422648966602,598.3537792550374,1158.3885199954052,3.9269025216404874,5,0,0.8234435797665369,0.8234435797665369,5.347726327371916
tsmom12,GOOGL,gross,-0.6827175030162286,118.76751516772308,233.8216813324925,3.938539355621642,5,0,0.7553501945525292,0.7553501945525292,8.886543167340205
tsmom12,GOOGL,retail,-0.6857841575494084,118.27371938182677,233.8216813324925,3.938539355621642,5,0,0.7553501945525292,0.7553501945525292,8.886543167340205
tsmom12,GOOGL,wide,-0.6905318834767168,117.50642561611326,233.8216813324925,3.938539355621642,5,0,0.7553501945525292,0.7553501945525292,8.886543167340205
tsmom12,GOOGL,pessimistic,-0.7023838393159932,115.59963660793086,233.8216813324925,3.938539355621642,5,0,0.7553501945525292,0.7553501945525292,8.886543167340205
tsmom12,META,gross,-0.3776024808790486,157.16722634003716,238.41145694561567,3.9342998084142984,5,0,0.7237354085603113,0.7237354085603113,4.066797341112834
tsmom12,META,retail,-0.3784282600102389,156.90010750678186,238.41145694561567,3.9342998084142984,5,0,0.7237354085603113,0.7237354085603113,4.066797341112834
tsmom12,META,wide,-0.37970147189173076,156.48701034790412,238.41145694561567,3.9342998084142984,5,0,0.7237354085603113,0.7237354085603113,4.066797341112834
tsmom12,META,pessimistic,-0.3828829343097449,155.45699029992917,238.41145694561567,3.9342998084142984,5,0,0.7237354085603113,0.7237354085603113,4.066797341112834
tsmom12,TSLA,gross,-0.6734689629480853,-30.141578660096037,43.30106959364544,3.933038159178772,5,0,0.6256684491978609,0.6256684491978609,13.475587536904683
tsmom12,TSLA,retail,-0.675775925482357,-30.385331428386987,43.30106959364544,3.933038159178772,5,0,0.6256684491978609,0.6256684491978609,13.475587536904683
tsmom12,TSLA,wide,-0.6793215026375401,-30.758810291994255,43.30106959364544,3.933038159178772,5,0,0.6256684491978609,0.6256684491978609,13.475587536904683
tsmom12,TSLA,pessimistic,-0.6881797302081204,-31.683928106145043,43.30106959364544,3.933038159178772,5,0,0.6256684491978609,0.6256684491978609,13.475587536904683
tsmom12,JPM,gross,-0.7001943334479951,152.46215532879765,248.04029033289464,3.936213378360025,5,0,0.8128342245989305,0.8128342245989305,3.302666484360228
tsmom12,JPM,retail,-0.7017912977055819,152.25321517907537,248.04029033289464,3.936213378360025,5,0,0.8128342245989305,0.8128342245989305,3.302666484360228
tsmom12,JPM,wide,-0.7042933506540142,151.92421005329234,248.04029033289464,3.936213378360025,5,0,0.8128342245989305,0.8128342245989305,3.302666484360228
tsmom12,JPM,pessimistic,-0.7105399849054077,151.10342938413734,248.04029033289464,3.936213378360025,5,0,0.8128342245989305,0.8128342245989305,3.302666484360228
tsmom12,JNJ,gross,-0.8703833541767989,21.75032457648016,70.70113577324064,3.927557632824524,5,0,0.6171039844509232,0.6171039844509232,15.276669525750709
tsmom12,JNJ,retail,-0.8795860789012884,21.27767581870412,70.70113577324064,3.927557632824524,5,0,0.6171039844509232,0.6171039844509232,15.276669525750709
tsmom12,JNJ,wide,-0.8937567822625104,20.549123493798916,70.70113577324064,3.927557632824524,5,0,0.6171039844509232,0.6171039844509232,15.276669525750709
tsmom12,JNJ,pessimistic,-0.9290811765395299,18.746518560998847,70.70113577324064,3.927557632824524,5,0,0.6171039844509232,0.6171039844509232,15.276669525750709
tsmom12,XOM,gross,-1.0119257074157397,44.59978798375606,105.11214411136235,3.930924190805121,5,0,0.8317938745746233,0.8317938745746233,11.702082708081534
tsmom12,XOM,retail,-1.0198096511085195,44.168408860706364,105.11214411136235,3.930924190805121,5,0,0.8317938745746233,0.8317938745746233,11.702082708081534
tsmom12,XOM,wide,-1.0318641317832256,43.5029350748922,105.11214411136235,3.930924190805121,5,0,0.8317938745746233,0.8317938745746233,11.702082708081534
tsmom12,XOM,pessimistic,-1.0618734836957446,41.85236980558962,105.11214411136235,3.930924190805121,5,0,0.8317938745746233,0.8317938745746233,11.702082708081534
tsmom12,UNH,gross,-0.4831437866391238,-30.432663507282843,0.11392981144926484,3.9271021935364727,5,0,0.5367396593673966,0.5367396593673966,22.91766181896894
tsmom12,UNH,retail,-0.48862308961855966,-30.84061481420126,0.11392981144926484,3.9271021935364727,5,0,0.5367396593673966,0.5367396593673966,22.91766181896894
tsmom12,UNH,wide,-0.49710037119171196,-31.46693812848237,0.11392981144926484,3.9271021935364727,5,0,0.5367396593673966,0.5367396593673966,22.91766181896894
tsmom12,UNH,pessimistic,-0.5182769727206431,-33.00831298330157,0.11392981144926484,3.9271021935364727,5,0,0.5367396593673966,0.5367396593673966,22.91766181896894
tsmom12,V,gross,-0.8773030300272356,34.1256333556911,98.54039573818515,3.947688087376362,5,0,0.7813411078717201,0.7813411078717201,9.372574322251037
tsmom12,V,retail,-0.8820430662984173,33.806875572709096,98.54039573818515,3.947688087376362,5,0,0.7813411078717201,0.7813411078717201,9.372574322251037
tsmom12,V,wide,-0.889336223825935,33.311414868602164,98.54039573818515,3.947688087376362,5,0,0.7813411078717201,0.7813411078717201,9.372574322251037
tsmom12,V,pessimistic,-0.9075157484011801,32.08055962890135,98.54039573818515,3.947688087376362,5,0,0.7813411078717201,0.7813411078717201,9.372574322251037
tsmom12,PG,gross,0.016599133507841726,25.779310109220745,21.165746285728602,3.940662557430602,5,0,0.5972762645914397,0.5972762645914397,12.94198608907359
tsmom12,PG,retail,0.00963203384200749,25.35662620775565,21.165746285728602,3.940662557430602,5,0,0.5972762645914397,0.5972762645914397,12.94198608907359
tsmom12,PG,wide,-0.0011648031759792644,24.70448440449249,21.165746285728602,3.940662557430602,5,0,0.5972762645914397,0.5972762645914397,12.94198608907359
tsmom12,PG,pessimistic,-0.02812261028277073,23.088652273267552,21.165746285728602,3.940662557430602,5,0,0.5972762645914397,0.5972762645914397,12.94198608907359
tsmom12,HD,gross,-0.5743288651056963,-4.37722365632891,35.50231558481227,3.935563496404313,5,0,0.5722627737226277,0.5722627737226277,8.63916946863232
tsmom12,HD,retail,-0.5773091203613462,-4.588415771086574,35.50231558481227,3.935563496404313,5,0,0.5722627737226277,0.5722627737226277,8.63916946863232
tsmom12,HD,wide,-0.5819001499036563,-4.9144639864308175,35.50231558481227,3.935563496404313,5,0,0.5722627737226277,0.5722627737226277,8.63916946863232
tsmom12,HD,pessimistic,-0.5933630382995897,-5.724860428847045,35.50231558481227,3.935563496404313,5,0,0.5722627737226277,0.5722627737226277,8.63916946863232
tsmom12,MA,gross,-0.4980519107716039,52.8175139140892,89.70073955064109,3.94299710257669,5,0,0.7635036496350365,0.7635036496350365,6.84758301809451
tsmom12,MA,retail,-0.5014578383628804,52.5530701153617,89.70073955064109,3.94299710257669,5,0,0.7635036496350365,0.7635036496350365,6.84758301809451
tsmom12,MA,wide,-0.5067473653160592,52.14074255913565,89.70073955064109,3.94299710257669,5,0,0.7635036496350365,0.7635036496350365,6.84758301809451
