ir_net,ir_hit_rate,ir_gross,headroom,t_stat,loo_retention,loo_dropped,n_assets,n_ir,years,legacy_gate_ir,legacy_gate_breadth,legacy_gate_headroom,legacy_gate_t,legacy_passed,legacy_gate_loo,class,timeframe,rule,scenario,ir_train,total_pnl_dollars,avg_cagr,avg_sharpe,avg_max_drawdown,avg_exposure,turnover_per_year,n_trades,is_baseline,generic_fallback,rankable
0.0002771751790026589,0.4,0.0002771751790026589,,0.0009039482262152974,-281.81014975796165,XAG/USD,5,5,10.636002737850788,False,False,False,False,0,False,commodities,1d,MININDEX,gross,-0.051385811869148854,375280.2286466634,0.06058209455700099,0.4015217618887939,-0.6410577050970608,0.8440302103897663,9.019271028627946,952,False,True,True
-0.015448548070457976,0.4,-0.015448548070457976,,-0.05038217230034974,,XPD/USD,5,5,10.636002737850788,False,False,False,False,0,False,commodities,1d,COS,gross,-0.3652605115058499,-11295.345560529437,-0.017705413858632578,0.08988379125569232,-0.8076076141635136,0.9964705040946884,211.40122852146368,10535,False,True,True
-0.03395795163859367,0.6,-0.03395795163859368,,-0.11074667746247631,,XPT/USD,5,5,10.636002737850788,False,False,False,False,0,False,commodities,1d,CDLSHORTLINE,gross,-0.3636037703756039,22820.31542767446,0.02043762402616951,0.189741793615983,-0.6782654602028488,0.6375950959842102,46.52525953856407,3581,False,False,True
-0.04167569039029571,0.4,-0.04167569039029571,,-0.13591645016758278,,WTI/USD,5,5,10.636002737850788,False,False,False,False,0,False,commodities,1d,MIDPOINT_9,gross,-0.09566055861532195,187428.28116569412,0.039007848402099365,0.2880358027812592,-0.6993379462134943,0.996744773844609,94.52226838065465,5016,False,False,True
-0.08388835922348624,0.4,-0.08388835922348623,,-0.2735841419604698,,WTI/USD,5,5,10.636002737850788,False,False,False,False,0,False,commodities,1d,SUM,gross,-0.3649918944419794,25702.98631435514,-0.019776816997588886,0.08441126453038103,-0.7559079139476552,0.9910833787655285,12.483121709808078,663,False,True,True
-0.09636881465176343,0.2,-0.09636881465176345,,-0.31428650783372153,,WTI/USD,5,5,10.636002737850788,False,False,False,False,0,False,commodities,1d,MIDPRICE_9,gross,-0.11690240272894323,45779.84713987654,0.020260591843810814,0.2376845270190862,-0.6917223720760902,0.9970552213343608,90.56149350458253,4842,False,False,True
-0.09934783669889934,0.4,-0.09934783669889935,,-0.3240019582036081,,XPD/USD,5,5,10.636002737850788,False,False,False,False,0,False,commodities,1d,LINEARREG_21,gross,-0.06555896010163248,74908.75425381602,0.031184463327992674,0.26513967440455055,-0.6131335514864467,0.9962847411523035,100.49153601787553,5384,False,False,True
-0.11868245463581459,0.2,-0.11868245463581457,,-0.3870577255039599,,XPD/USD,5,5,10.636002737850788,False,False,False,False,0,False,commodities,1d,TEMA_9,gross,-0.15232122905881518,30098.39362615794,0.01382453589883521,0.1890198115444421,-0.6690994919332885,0.9955416893827642,173.61580274817175,9251,False,False,True
-0.13514904900126554,0.2,-0.13514904900126554,,-0.44076004048763096,,XPD/USD,5,5,10.636002737850788,False,False,False,False,0,False,commodities,1d,CDLLONGLINE,gross,-0.22015397829591463,55993.94948288595,0.006861637562523759,0.19816780940198064,-0.6440825146819262,0.6665074345099754,56.45556354602661,4487,False,False,True
-0.14055529416326656,0.2,-0.14055529416326656,,-0.45839136571040273,,WTI/USD,5,5,10.636002737850788,False,False,False,False,0,False,commodities,1d,WMA_9,gross,-0.07815612561359983,44803.18321007346,0.020775073458978,0.2315174967136051,-0.702237592375411,0.9985138964609215,121.50079017536709,6452,False,False,True
