class,timeframe,symbol,rule,scenario,ir_test,ir_train,years_test,total_return,pnl_dollars,cagr,sharpe,max_drawdown,exposure,n_trades,turnover_per_year,n_bars,years,bars_per_year
crypto,5m,BTC/USD,ACCBANDS,gross,-1.1488722953478654,-1.6064671584385681,2.5426344208685077,-0.9981481087183388,-9981.481087183389,-0.6283372325750858,-1.2974642436405344,-0.9986159454692456,0.9999624870767979,12948,4073.727593313213,666437,6.356586052171268,104841.96934176011
crypto,5m,BTC/USD,ACCBANDS,binance,-6.276122063789279,-6.174668057156922,2.5426344208685077,-0.9999999999999993,-9999.999999999993,-0.995863691510583,-8.209954239882554,-0.9999999999999993,0.9999624870767979,12948,4073.727593313213,666437,6.356586052171268,104841.96934176011
crypto,5m,BTC/USD,ACCBANDS,kraken,-13.227415235122061,-12.53387005043059,2.5426344208685077,-1.0,-10000.0,-0.9999952335411939,-16.96509092969108,-1.0,0.9999624870767979,12948,4073.727593313213,666437,6.356586052171268,104841.96934176011
crypto,5m,BTC/USD,ACCBANDS,coinbase,-23.927740216002356,-23.18596547300572,2.5426344208685077,-1.0,-10000.0,-0.9999999999968194,-28.73026898285158,-1.0,0.9999624870767979,12948,4073.727593313213,666437,6.356586052171268,104841.96934176011
crypto,5m,ETH/USD,ACCBANDS,gross,0.27955955276171884,-1.121939962187127,2.5426344208685077,-0.9102522683998236,-9102.522683998237,-0.3156273613000311,-0.07420360151958273,-0.9617190703429341,0.9999624745201993,12546,3947.244604897541,666214,6.356586052171268,104806.88761736124
crypto,5m,ETH/USD,ACCBANDS,binance,-2.9471364672951688,-4.774593699988913,2.5426344208685077,-0.9999999999999185,-9999.999999999185,-0.991272363246801,-5.339428205474316,-0.9999999999999221,0.9999624745201993,12546,3947.244604897541,666214,6.356586052171268,104806.88761736124
crypto,5m,ETH/USD,ACCBANDS,kraken,-7.53846763077007,-9.984090065987957,2.5426344208685077,-1.0,-10000.0,-0.9999876567623636,-12.405689411409663,-1.0,0.9999624745201993,12546,3947.244604897541,666214,6.356586052171268,104806.88761736124
crypto,5m,ETH/USD,ACCBANDS,coinbase,-15.690962037956425,-19.346671176308682,2.5426344208685077,-1.0,-10000.0,-0.9999999999873332,-23.306477705237064,-1.0,0.9999624745201993,12546,3947.244604897541,666214,6.356586052171268,104806.88761736124
crypto,5m,XRP/USD,ACCBANDS,gross,-0.9322685406992752,-1.5374503960210613,2.5426344208685077,-0.9999900201382338,-9999.900201382337,-0.8365907923954172,-1.1731570314822384,-0.999992826525951,0.9999309488676364,12451,3917.3543464411014,666173,6.356586052171268,104800.43761422063
crypto,5m,XRP/USD,ACCBANDS,binance,-3.5514130057687754,-4.274343157454493,2.5426344208685077,-1.0,-10000.0,-0.9978513827705722,-5.125582983014656,-1.0,0.9999309488676364,12451,3917.3543464411014,666173,6.356586052171268,104800.43761422063
crypto,5m,XRP/USD,ACCBANDS,kraken,-7.333233124313566,-8.249406080143393,2.5426344208685077,-1.0,-10000.0,-0.9999968182951993,-10.640481495997074,-1.0,0.9999309488676364,12451,3917.3543464411014,666173,6.356586052171268,104800.43761422063
crypto,5m,XRP/USD,ACCBANDS,coinbase,-14.362390678516649,-15.799069728321173,2.5426344208685077,-1.0,-10000.0,-0.9999999999964038,-20.048243783281073,-1.0,0.9999309488676364,12451,3917.3543464411014,666173,6.356586052171268,104800.43761422063
crypto,5m,BNB/USD,ACCBANDS,gross,-0.378821181639542,-1.14961644982348,2.542634420868507,-0.9585589024992615,-9585.589024992614,-0.39396427688985747,-0.2181299998108751,-0.9818815320993336,0.9999669986799472,12274,3861.6640754222612,666640,6.356586052171267,104873.90472316358
crypto,5m,BNB/USD,ACCBANDS,binance,-4.085674144950043,-4.4405371108053755,2.542634420868507,-0.9999999999999308,-9999.999999999309,-0.9914954386663266,-5.340873767769705,-0.9999999999999347,0.9999669986799472,12274,3861.6640754222612,666640,6.356586052171267,104873.90472316358
crypto,5m,BNB/USD,ACCBANDS,kraken,-9.33818541200201,-9.165933765834739,2.542634420868507,-1.0,-10000.0,-0.9999861105985524,-12.260872427966484,-1.0,0.9999669986799472,12274,3861.6640754222612,666640,6.356586052171267,104873.90472316358
crypto,5m,BNB/USD,ACCBANDS,coinbase,-18.45342111550467,-17.81281192117093,2.542634420868507,-1.0,-10000.0,-0.9999999999807122,-23.04631935702649,-1.0,0.9999669986799472,12274,3861.6640754222612,666640,6.356586052171267,104873.90472316358
crypto,5m,SOL/USD,ACCBANDS,gross,0.08006348789963393,-0.7530621113190841,1.9551867062134005,-0.9864899038917277,-9864.899038917278,-0.5854637190903911,-0.34190187657260895,-0.989781043466187,0.9999473828830673,8403,3438.0348324986626,513141,4.887966765533501,104980.46010016045
crypto,5m,SOL/USD,ACCBANDS,binance,-2.4758898030656664,-3.1955133619308826,1.9551867062134005,-0.9999999998859466,-9999.999998859466,-0.9907563602202546,-3.9382924378076187,-0.9999999998931792,0.9999473828830673,8403,3438.0348324986626,513141,4.887966765533501,104980.46010016045
crypto,5m,SOL/USD,ACCBANDS,kraken,-6.16630710956754,-6.742783391029182,1.9551867062134005,-1.0,-10000.0,-0.9999697035587557,-8.968027812815166,-1.0,0.9999473828830673,8403,3438.0348324986626,513141,4.887966765533501,104980.46010016045
crypto,5m,SOL/USD,ACCBANDS,coinbase,-13.024336868225689,-13.498698758803245,1.9551867062134005,-1.0,-10000.0,-0.9999999998181311,-17.625390015241443,-1.0,0.9999473828830673,8403,3438.0348324986626,513141,4.887966765533501,104980.46010016045
crypto,5m,DOGE/USD,ACCBANDS,gross,-0.42711059640993454,-2.331587498773562,2.499608335234619,-0.9999999639137689,-9999.999639137688,-0.9355848454338354,-1.3365333293024317,-0.9999999680647588,0.9999618096716243,11660,3731.6246183522553,654616,6.249020838086547,104754.97153253913
crypto,5m,DOGE/USD,ACCBANDS,binance,-2.4704700550915564,-4.456472562120288,2.499608335234619,-1.0,-10000.0,-0.998964007123993,-4.294861704094295,-1.0,0.9999618096716243,11660,3731.6246183522553,654616,6.249020838086547,104754.97153253913
crypto,5m,DOGE/USD,ACCBANDS,kraken,-5.456304392954819,-7.564477319452859,2.499608335234619,-1.0,-10000.0,-0.9999979229667878,-8.521407151353841,-1.0,0.9999618096716243,11660,3731.6246183522553,654616,6.249020838086547,104754.97153253913
crypto,5m,DOGE/USD,ACCBANDS,coinbase,-11.221241957626328,-13.618658641235825,2.499608335234619,-1.0,-10000.0,-0.9999999999955623,-16.232352873357918,-1.0,0.9999618096716243,11660,3731.6246183522553,654616,6.249020838086547,104754.97153253913
crypto,5m,ADA/USD,ACCBANDS,gross,-0.22206383026308218,-1.5478057428212377,2.5426534337211955,-0.9998874451831526,-9998.874451831527,-0.7607695278308905,-0.6966192464144858,-0.9999470051906721,0.9999609909499004,12228,3847.1621300288484,666512,6.356633584302989,104852.98407727614
crypto,5m,ADA/USD,ACCBANDS,binance,-2.37355321193359,-4.300797506944068,2.5426534337211955,-0.9999999999999998,-9999.999999999998,-0.9966043471149937,-4.3368945156816725,-0.9999999999999998,0.9999609909499004,12228,3847.1621300288484,666512,6.356633584302989,104852.98407727614
