ir_net,ir_hit_rate,ir_gross,headroom,t_stat,loo_retention,loo_dropped,n_assets,n_ir,years,gate_ir,gate_breadth,gate_headroom,gate_t,gates_passed,gate_loo,class,timeframe,rule,op,leg_a,leg_b,scenario,ir_train,total_pnl_dollars,avg_cagr,avg_sharpe,avg_max_drawdown,avg_exposure,turnover_per_year,n_trades,is_baseline,generic_fallback,rankable
-0.10576518995473254,0.5,0.09449621677177941,0.47186434129481913,-0.17149337093737008,,AVAX/USD,10,10,2.629112480036505,False,False,False,False,0,False,crypto,1h,T3_1000 gate LINEARREG_1000,gate,T3_1000,LINEARREG_1000,binance,-0.6255185247174964,-693.376784162565,-0.1238830744887146,0.27052753527474693,-0.9077156131384715,0.8895629877654676,162.6704677641501,5131,False,False,True
-0.10576518995473254,0.5,0.09449621677177941,0.47186434129481913,-0.17149337093737008,,AVAX/USD,10,10,2.629112480036505,False,False,False,False,0,False,crypto,1h,T3_1000 gate TSF_1000,gate,T3_1000,TSF_1000,binance,-0.6255185247174964,-693.376784162565,-0.1238830744887146,0.27052753527474693,-0.9077156131384715,0.8895629877654676,162.6704677641501,5131,False,False,True
-0.10576518995473254,0.5,0.09449621677177941,0.47186434129481913,-0.17149337093737008,,AVAX/USD,10,10,2.629112480036505,False,False,False,False,0,False,crypto,1h,T3_1000 or BBANDS,or,T3_1000,BBANDS,binance,-0.618171176832387,482.9939823602854,-0.1457746905098309,0.258087412112242,-0.9167649547744533,0.9088843440990682,162.73723504734602,5133,False,False,True
-0.10576518995473254,0.5,0.09449621677177941,0.47186434129481913,-0.17149337093737008,,AVAX/USD,10,10,2.629112480036505,False,False,False,False,0,False,crypto,1h,T3_1000 or LINEARREG_1000,or,T3_1000,LINEARREG_1000,binance,-0.48577193642955774,46238.88683163994,-0.10593939344519879,0.3360055348705197,-0.9181920675211179,0.9815938312942445,189.09045927424813,5936,False,False,True
-0.10576518995473254,0.5,0.09449621677177941,0.47186434129481913,-0.17149337093737008,,AVAX/USD,10,10,2.629112480036505,False,False,False,False,0,False,crypto,1h,T3_1000 or TSF_1000,or,T3_1000,TSF_1000,binance,-0.4854482707564821,47333.60509000103,-0.10629135032948989,0.336517375083789,-0.9182067021465553,0.9815938312942445,188.8588516083128,5928,False,False,True
-0.1072259425452973,0.5,0.07749549343243846,0.4195262613797507,-0.17386191380075136,,AVAX/USD,10,10,2.629112480036505,False,False,False,False,0,False,crypto,1h,T3_1000 gate BBANDS,gate,T3_1000,BBANDS,binance,-0.8454998217009418,-49199.142121492056,-0.19270254476548826,0.06279277947554267,-0.823729680961186,0.752373748036344,140.04091533735513,4502,False,False,True
-0.17612850220701953,0.4,0.05636987500870185,0.24245276755802733,-0.2855842321519914,,AVAX/USD,10,10,2.629112480036505,False,False,False,False,0,False,crypto,1h,MIDPOINT_1000 and T3_1000,and,MIDPOINT_1000,T3_1000,binance,-0.612865208221514,30905.211875426918,-0.09397484441865388,0.267968356761873,-0.8858451795706195,0.7736311082748973,175.37601212251516,10737,False,False,True
-0.17619108560632538,0.4,0.05674689690694219,0.24361375630833423,-0.28568570824366457,,AVAX/USD,10,10,2.629112480036505,False,False,False,False,0,False,crypto,1h,MIDPOINT_1000 vote T3_1000,vote,MIDPOINT_1000,T3_1000,binance,-0.48535896381762245,72445.55341038883,-0.06375959888711938,0.337786504074736,-0.8895058238169267,0.8657711545613482,193.570505369373,11306,False,False,True
-0.18453693910702648,0.4,0.010664554938219524,0.05463357230118113,-0.29921812425688465,,AVAX/USD,10,10,2.629112480036505,False,False,False,False,0,False,crypto,1h,LINEARREG_INTERCEPT_1000 and T3_1000,and,LINEARREG_INTERCEPT_1000,T3_1000,binance,-0.5354723233221066,45113.630916476344,-0.05217838133221566,0.3351704245334214,-0.8870160725025636,0.7993335152788633,141.35686646699313,8613,False,False,True
-0.18453693910702648,0.4,0.010664554938219524,0.05463357230118113,-0.29921812425688465,,AVAX/USD,10,10,2.629112480036505,False,False,False,False,0,False,crypto,1h,LINEARREG_INTERCEPT_1000 vote T3_1000,vote,LINEARREG_INTERCEPT_1000,T3_1000,binance,-0.36674982716367377,110719.95119506145,0.0045382324548887245,0.4383332325298638,-0.8881090596898904,0.8913643588076404,149.0646853698895,8854,False,False,True
-0.20505646587061768,0.4,0.03192365081189248,0.1347102502049217,-0.3324895892467736,,AVAX/USD,10,10,2.629112480036505,False,False,False,False,0,False,crypto,1h,MIDPRICE_1000 vote T3_1000,vote,MIDPRICE_1000,T3_1000,binance,-0.45233912366793794,62603.188529540275,-0.056768550722573474,0.35473116804721894,-0.8938113784148081,0.846262375086263,190.9844509484327,11224,False,False,True
-0.20769949539702495,0.4,0.04852608547029285,0.1893881372267092,-0.33677513956029903,,AVAX/USD,10,10,2.629112480036505,False,False,False,False,0,False,crypto,1h,MA_1000 and T3_1000,and,MA_1000,T3_1000,binance,-0.5969657163847937,23809.916591530666,-0.09813712212568163,0.26530066870798175,-0.8932509554423567,0.7948488286571045,188.1066970973127,11364,False,False,True
-0.20769949539702495,0.4,0.04852608547029285,0.1893881372267092,-0.33677513956029903,,AVAX/USD,10,10,2.629112480036505,False,False,False,False,0,False,crypto,1h,MA_1000 vote T3_1000,vote,MA_1000,T3_1000,binance,-0.4158055241140202,123067.46198133644,-0.03376242211694297,0.3801541803163328,-0.8970365317243776,0.8868796721858814,204.73116723892196,11875,False,False,True
-0.20769949539702495,0.4,0.04852608547029285,0.1893881372267092,-0.33677513956029903,,AVAX/USD,10,10,2.629112480036505,False,False,False,False,0,False,crypto,1h,SMA_1000 and T3_1000,and,SMA_1000,T3_1000,binance,-0.5969657163847937,23809.916591530666,-0.09813712212568163,0.26530066870798175,-0.8932509554423567,0.7948488286571045,188.1066970973127,11364,False,False,True
-0.20769949539702495,0.4,0.04852608547029285,0.1893881372267092,-0.33677513956029903,,AVAX/USD,10,10,2.629112480036505,False,False,False,False,0,False,crypto,1h,SMA_1000 vote T3_1000,vote,SMA_1000,T3_1000,binance,-0.4158055241140202,123067.46198133644,-0.03376242211694297,0.3801541803163328,-0.8970365317243776,0.8868796721858814,204.73116723892196,11875,False,False,True
-0.20770884781005305,0.4,0.029721805267895623,0.12518099446130881,-0.33679030406609983,,AVAX/USD,10,10,2.629112480036505,False,False,False,False,0,False,crypto,1h,MIDPRICE_1000 and T3_1000,and,MIDPRICE_1000,T3_1000,binance,-0.6046955489327646,23854.330916659615,-0.09960919787325775,0.2594650188789435,-0.8886122535177753,0.7540927392352554,173.42996929086948,10674,False,False,True
-0.22383163425603278,0.5,0.025187005739664797,0.10114506183191735,-0.3629326576864904,,AVAX/USD,10,10,2.629112480036505,False,False,False,False,0,False,crypto,1h,MIDPOINT_1000 or T3_100,or,MIDPOINT_1000,T3_100,binance,-0.4300924475708148,162487.009884271,-0.08260349185313007,0.3201092015372723,-0.8834958341149877,0.9890557915803617,212.02281547758088,6668,False,False,True
-0.22383432211681847,0.5,0.025212030332239017,0.10123428865474408,-0.36293701592862043,,AVAX/USD,10,10,2.629112480036505,False,False,False,False,0,False,crypto,1h,MIDPOINT_1000 or LINEARREG_INTERCEPT_100,or,MIDPOINT_1000,LINEARREG_INTERCEPT_100,binance,-0.41326613202045587,195593.0952271666,-0.07872308603101098,0.3334950082658156,-0.8852131088843176,0.9981759652633937,215.04301592152402,6755,False,False,True
-0.22396862107594262,0.5,0.024982360931439046,0.10035052173724021,-0.36315477548848546,,ETH/USD,10,10,2.629112480036505,False,False,False,False,0,False,crypto,1h,MIDPOINT_1000 or WMA_1000,or,MIDPOINT_1000,WMA_1000,binance,-0.4406335013677797,147508.4550215202,-0.08607605118152059,0.3117155720738402,-0.8826169703013731,0.9815938312942445,206.44562688782148,6492,False,False,True
-0.22421118085709316,0.5,0.0248297803426192,0.09970159215177281,-0.3635480749714357,,AVAX/USD,10,10,2.629112480036505,False,False,False,False,0,False,crypto,1h,MIDPOINT_1000 or ACCBANDS,or,MIDPOINT_1000,ACCBANDS,binance,-0.4161026284538443,207424.38359723517,-0.0795110748976795,0.3296210281529908,-0.8860756388606974,0.999244384032011,210.50383944165802,6618,False,False,True
-0.22426676352732225,0.5,0.024799828684997645,0.09957107641259541,-0.363638199704227,,AVAX/USD,10,10,2.629112480036505,False,False,False,False,0,False,crypto,1h,MIDPOINT_1000 or MACDEXT,or,MIDPOINT_1000,MACDEXT,binance,-0.459443356149097,104907.7271312585,-0.11345394004790084,0.2866482395992203,-0.8860536491273067,0.9993919884211312,228.60342816515714,7181,False,False,True
-0.22451354704871318,0.5,0.024334206284192382,0.09778752654293955,-0.3640383477869113,,AVAX/USD,10,10,2.629112480036505,False,False,False,False,0,False,crypto,1h,MIDPOINT_1000 or LINEARREG_INTERCEPT_200,or,MIDPOINT_1000,LINEARREG_INTERCEPT_200,binance,-0.41253518712582365,193765.04231169642,-0.07325890474472505,0.33615282384006295,-0.884272265686584,0.9963335059334881,210.40688282419848,6614,False,False,True
-0.22454284664056376,0.5,0.02452000429757558,0.0984490629783472,-0.3640858557219483,,ETH/USD,10,10,2.629112480036505,False,False,False,False,0,False,crypto,1h,MIDPOINT_1000 or EMA_1000,or,MIDPOINT_1000,EMA_1000,binance,-0.44161796508381146,146451.50727495863,-0.08674770630688848,0.3107324497239372,-0.8828693863010525,0.9815938312942445,206.5555204763144,6496,False,False,True
-0.2246252989268386,0.5,0.02456691062751651,0.0985861904409088,-0.36421954829623304,,ETH/USD,10,10,2.629112480036505,False,False,False,False,0,False,crypto,1h,MIDPOINT_1000 or LINEARREG_1000,or,MIDPOINT_1000,LINEARREG_1000,binance,-0.44160818008017877,145576.2977097676,-0.08690733688546354,0.31058781611150965,-0.8830058114276171,0.9815938312942445,206.68905504270634,6500,False,False,True
-0.2246252989268386,0.5,0.02456691062751651,0.0985861904409088,-0.36421954829623304,,ETH/USD,10,10,2.629112480036505,False,False,False,False,0,False,crypto,1h,MIDPOINT_1000 or TSF_1000,or,MIDPOINT_1000,TSF_1000,binance,-0.44160818008017877,145576.2977097676,-0.08690733688546354,0.31058781611150965,-0.8830058114276171,0.9815938312942445,206.68905504270634,6500,False,False,True
-0.22510529464422985,0.5,0.023668229021331588,0.09513966226225087,-0.3649978391842479,,AVAX/USD,10,10,2.629112480036505,False,False,False,False,0,False,crypto,1h,MIDPOINT_1000 or BBANDS,or,MIDPOINT_1000,BBANDS,binance,-0.4416328461187818,145962.01391608204,-0.08650725972888593,0.31028847900405143,-0.8832507575365256,0.9815810011067768,206.22789047495326,6493,False,False,True
