ir_net,ir_hit_rate,ir_gross,headroom,t_stat,loo_retention,loo_dropped,n_assets,n_ir,years,gate_ir,gate_breadth,gate_headroom,gate_t,gates_passed,gate_loo,class,timeframe,rule,op,leg_a,leg_b,scenario,ir_train,total_pnl_dollars,avg_cagr,avg_sharpe,avg_max_drawdown,avg_exposure,turnover_per_year,n_trades,is_baseline,generic_fallback,rankable
0.0762054100760847,0.75,0.0762054100760847,10.850085307255323,0.24845104702713278,0.5661673795185538,V,20,20,10.62943189596167,False,True,True,False,2,False,us_stocks,1d,MININDEX or HT_DCPHASE,or,MININDEX,HT_DCPHASE,gross,-0.039038609174379554,39458642.41273642,0.1689745212123522,0.6290131070478526,-0.6285682332548611,0.9939357230679,6.563442243950492,1574,False,False,True
0.051385905756811776,0.6,0.051385905756811776,12.877815235633815,0.16753248981890914,0.5139971014488682,META,20,20,10.62943189596167,False,False,True,False,1,False,us_stocks,1d,MAXINDEX or TRIX,or,MAXINDEX,TRIX,gross,-0.149344600234044,91069013.7026513,0.16006226857462727,0.587177753320497,-0.6552417081870668,0.993728482150168,6.3459895106736175,1551,False,False,True
0.03599162077650151,0.5263157894736842,0.03599162077650151,9.568888794091132,0.11734279570436423,0.09965892827154343,TSLA,20,19,10.62943189596167,False,False,True,False,1,False,us_stocks,1d,MAXINDEX or MININDEX,or,MAXINDEX,MININDEX,gross,-0.0043843915260721265,27495659.789772335,0.1679084032466623,0.6269345407699014,-0.6219610648592762,0.990764364491669,0.8280579478709857,388,False,False,True
0.03599162077650151,0.5263157894736842,0.03599162077650151,9.568888794091132,0.11734279570436423,0.09965892827154343,TSLA,20,19,10.62943189596167,False,False,True,False,1,False,us_stocks,1d,MAXINDEX vote MININDEX,vote,MAXINDEX,MININDEX,gross,-0.0043843915260721265,27495659.789772335,0.1679084032466623,0.6269345407699014,-0.6219610648592762,0.990764364491669,0.8280579478709857,388,False,False,True
-0.012754906274482359,0.5,-0.012754906274482359,0.0,-0.041584577990777,,ABBV,20,20,10.62943189596167,False,False,False,False,0,False,us_stocks,1d,MAXINDEX or DX,or,MAXINDEX,DX,gross,-0.0483382361496278,100882782.10424106,0.17093141250205743,0.6039100462144595,-0.6074818879825378,0.9948630718156057,20.73560654606913,4971,False,False,True
-0.03560612182703558,0.45,-0.0356061218270356,0.0,-0.116085960821814,,META,20,20,10.62943189596167,False,False,False,False,0,False,us_stocks,1d,MAXINDEX or TRIMA_200,or,MAXINDEX,TRIMA_200,gross,-0.18305233142060756,46303474.41281755,0.15048133755686033,0.5530656439227468,-0.6547951838929945,0.9910051008417545,8.011661092294988,1996,False,False,True
-0.050831705884551236,0.4,-0.05083170588455123,0.0,-0.1657256425309284,,META,20,20,10.62943189596167,False,False,False,False,0,False,us_stocks,1d,MININDEX or HT_PHASOR,or,MININDEX,HT_PHASOR,gross,-0.09002048393458964,24997253.56785628,0.15968378778924294,0.5950877871105968,-0.6244404721272493,0.9949010537314964,20.71921277189826,4958,False,False,True
-0.05758512760140015,0.5,-0.05758512760140015,0.0,-0.18774369472553837,,META,20,20,10.62943189596167,False,False,False,False,0,False,us_stocks,1d,MAXINDEX or MA_200,or,MAXINDEX,MA_200,gross,-0.1709592817302556,49895802.0854535,0.14833708641182347,0.5551494919905008,-0.6550716689653998,0.9910051008417545,8.06601260064968,2004,False,False,True
-0.05758512760140015,0.5,-0.05758512760140015,0.0,-0.18774369472553837,,META,20,20,10.62943189596167,False,False,False,False,0,False,us_stocks,1d,MAXINDEX or SMA_200,or,MAXINDEX,SMA_200,gross,-0.1709592817302556,49895802.0854535,0.14833708641182347,0.5551494919905008,-0.6550716689653998,0.9910051008417545,8.06601260064968,2004,False,False,True
-0.07038306780582694,0.3,-0.07038306780582694,0.0,-0.22946857541846882,,JNJ,20,20,10.62943189596167,False,False,False,False,0,False,us_stocks,1d,MAXINDEX or CDLDOJI,or,MAXINDEX,CDLDOJI,gross,-0.07569959654612513,51045315.27773999,0.1691317757012797,0.6260644978888126,-0.6091187046124917,0.9400219902429517,6.834821813889323,3256,False,False,True
