class,timeframe,symbol,rule,scenario,ir_test,ir_train,years_test,total_return,pnl_dollars,cagr,sharpe,max_drawdown,exposure,n_trades,turnover_per_year,n_bars,years,bars_per_year
crypto,1d,BTC/USD,ACCBANDS,gross,-0.6111141463190374,-0.02615204765596068,3.5712525667351134,2.6860445147628655,26860.445147628656,0.15733186761682738,0.5498411191595491,-0.8462236983310847,0.9874310239117106,40,8.848436062557498,3262,8.928131416837783,365.3620055197792
crypto,1d,BTC/USD,ACCBANDS,binance,-0.6273889498852954,-0.03510781124396313,3.5712525667351134,2.360680475186066,23606.804751860658,0.14541470597847428,0.5344043608525259,-0.848059823661641,0.9874310239117106,40,8.848436062557498,3262,8.928131416837783,365.3620055197792
crypto,1d,BTC/USD,ACCBANDS,kraken,-0.6516668415865225,-0.048523492403236904,3.5712525667351134,1.9244977628134294,19244.977628134293,0.12771749343264038,0.5112810516504315,-0.8507811041034997,0.9874310239117106,40,8.848436062557498,3262,8.928131416837783,365.3620055197792
crypto,1d,BTC/USD,ACCBANDS,coinbase,-0.7018732806876722,-0.07649857540644192,3.5712525667351134,1.183346020453662,11833.460204536621,0.09139912081751422,0.4630849625322368,-0.8563451685334958,0.9874310239117106,40,8.848436062557498,3262,8.928131416837783,365.3620055197792
crypto,1d,ETH/USD,ACCBANDS,gross,0.03681849761948923,-0.08124365725866693,3.416837782340863,0.3455886546204203,3455.886546204203,0.03536008431334192,0.4673522493660957,-0.9246905739935238,0.9839537869062901,40,9.248317307692307,3116,8.542094455852157,364.78173076923076
crypto,1d,ETH/USD,ACCBANDS,binance,0.028188213614687933,-0.09047105830365845,3.416837782340863,0.22099825669475304,2209.9825669475304,0.023650014032730482,0.45445656379331845,-0.9273748745069327,0.9839537869062901,40,9.248317307692307,3116,8.542094455852157,364.78173076923076
crypto,1d,ETH/USD,ACCBANDS,kraken,0.015263223100557917,-0.1042870742895945,3.416837782340863,0.054925635467730105,549.256354677301,0.006279253710983923,0.43515745507221465,-0.9312344496190246,0.9839537869062901,40,9.248317307692307,3116,8.542094455852157,364.78173076923076
crypto,1d,ETH/USD,ACCBANDS,coinbase,-0.011675626975232419,-0.1330725213067679,3.416837782340863,-0.22430512567131455,-2243.0512567131454,-0.029296907560728003,0.3949918134740785,-0.9390328375483141,0.9839537869062901,40,9.248317307692307,3116,8.542094455852157,364.78173076923076
crypto,1d,XRP/USD,ACCBANDS,gross,-0.1914815625938471,-0.45348669570791755,3.2963723477070506,-0.9754909551356256,-9754.909551356255,-0.36239460812633106,0.05943235632130614,-0.9948830658397396,0.9847226834938558,39,9.34360465116279,3011,8.240930869267626,365.3713455149502
crypto,1d,XRP/USD,ACCBANDS,binance,-0.2009659260246079,-0.46134984619299657,3.2963723477070506,-0.9778214395489164,-9778.214395489164,-0.37007850079267823,0.049130992728732184,-0.9951416826168259,0.9847226834938558,39,9.34360465116279,3011,8.240930869267626,365.3713455149502
