ir_net,ir_hit_rate,ir_gross,headroom,t_stat,loo_retention,loo_dropped,n_assets,n_ir,years,gate_ir,gate_breadth,gate_headroom,gate_t,gates_passed,gate_loo,class,timeframe,rule,op,leg_a,leg_b,scenario,ir_train,total_pnl_dollars,avg_cagr,avg_sharpe,avg_max_drawdown,avg_exposure,turnover_per_year,n_trades,is_baseline,generic_fallback,rankable
-0.08180067538559121,0.45,-0.08180067538559121,0.0,-0.1422480349240282,,HD,20,20,3.023979009810632,False,False,False,False,0,False,us_stocks,1h,MININDEX or TRIMA_100,or,MININDEX,TRIMA_100,gross,-0.31651145493267085,983833.0291682131,0.17827788413410023,0.6230106751943774,-0.4729096863481173,0.9970543021316083,69.39201605540927,5280,False,False,True
-0.10343109511055752,0.4,-0.10343109511055752,0.0,-0.17986245174827334,,HD,20,20,3.023979009810632,False,False,False,False,0,False,us_stocks,1h,MININDEX or MA_100,or,MININDEX,MA_100,gross,-0.3130596697249434,996250.6632330422,0.17889510668677408,0.6235762412817187,-0.4739546690339334,0.9970543021316083,67.01104714767507,5100,False,False,True
-0.10343109511055752,0.4,-0.10343109511055752,0.0,-0.17986245174827334,,HD,20,20,3.023979009810632,False,False,False,False,0,False,us_stocks,1h,MININDEX or SMA_100,or,MININDEX,SMA_100,gross,-0.3130596697249434,996250.6632330422,0.17889510668677408,0.6235762412817187,-0.4739546690339334,0.9970543021316083,67.01104714767507,5100,False,False,True
-0.16936670392646996,0.3,-0.16936670392646996,0.0,-0.2945217836104046,,PEP,20,20,3.023979009810632,False,False,False,False,0,False,us_stocks,1h,CDLDOJI or MACDEXT,or,CDLDOJI,MACDEXT,gross,-0.1666685936613636,1121474.302387202,0.1667770874065814,0.5972164533822569,-0.4637751446777358,0.9985026976237998,275.01513644834426,20820,False,False,True
-0.16959108865932865,0.3,-0.16959108865932865,0.0,-0.29491197950017745,,META,20,20,3.023979009810632,False,False,False,False,0,False,us_stocks,1h,MININDEX or KAMA_200,or,MININDEX,KAMA_200,gross,-0.29794604255012946,823964.5266352313,0.17480273716765288,0.6236889974228573,-0.47191411458507265,0.995628634421079,67.13009559306177,5148,False,False,True
-0.17435571183720128,0.3,-0.17435571183720128,0.0,-0.30319746468732356,,PEP,20,20,3.023979009810632,False,False,False,False,0,False,us_stocks,1h,CDLLONGLEGGEDDOJI or MACDEXT,or,CDLLONGLEGGEDDOJI,MACDEXT,gross,-0.16887428937948648,1117360.0388203633,0.16572738429436368,0.5937021890719905,-0.4632422570351625,0.9985026976237998,275.0945020786021,20826,False,False,True
-0.1791530593488224,0.25,-0.1791530593488224,0.0,-0.31153985615486374,,HD,20,20,3.023979009810632,False,False,False,False,0,False,us_stocks,1h,MININDEX or EMA_100,or,MININDEX,EMA_100,gross,-0.32407078773760445,785248.557208955,0.1694419483949834,0.6099907535484148,-0.4792671622112004,0.9970543021316083,66.05865958458136,5028,False,False,True
-0.1986638786013053,0.4,-0.1986638786013053,0.0,-0.3454683742916768,,HD,20,20,3.023979009810632,False,False,False,False,0,False,us_stocks,1h,MININDEX or T3_200,or,MININDEX,T3_200,gross,-0.3446411920613742,832135.4717891457,0.16459372920098292,0.5918424287212922,-0.4730737983327978,0.984867890044885,59.90782323960133,4914,False,False,True
-0.20315461420085312,0.3,-0.20315461420085312,0.0,-0.3532775801617738,,TSLA,20,20,3.023979009810632,False,False,False,False,0,False,us_stocks,1h,MININDEX or DEMA_200,or,MININDEX,DEMA_200,gross,-0.3157542537018745,666765.7049027092,0.16225979106873958,0.6062811677652363,-0.47243494491883675,0.9933843506842314,78.50583593001409,6079,False,False,True
-0.20483743672419513,0.25,-0.20483743672419513,0.0,-0.35620393982742343,,MSFT,20,20,3.023979009810632,False,False,False,False,0,False,us_stocks,1h,MININDEX or T3_100,or,MININDEX,T3_100,gross,-0.3536804172754908,739121.6873335224,0.1580844095542005,0.5867259594984576,-0.4800658754939433,0.9918003420745128,68.43962849231559,5368,False,False,True
-0.20717264796000506,0.3,-0.20717264796000504,0.0,-0.36026477682981556,,MSFT,20,20,3.023979009810632,False,False,False,False,0,False,us_stocks,1h,MININDEX or MA_200,or,MININDEX,MA_200,gross,-0.253626568550318,788284.6412200382,0.17417909785026414,0.6246690390442773,-0.47530623956121076,0.995628634421079,58.426331474788945,4490,False,False,True
